,TX-P80-D2,TX-P80-D3,TX-P80-D5,TX-P85-D2,TX-P85-D3,TX-P85-D5,TX-P90-D2,TX-P90-D3,TX-P90-D5,TX-P80-D2+A80,TX-P80-D2+A90,TX-P80-D3+A80,TX-P80-D3+A90,TX-P80-D5+A80,TX-P80-D5+A90,TX-P85-D2+A80,TX-P85-D2+A90,TX-P85-D3+A80,TX-P85-D3+A90,TX-P85-D5+A80,TX-P85-D5+A90,TX-P90-D2+A80,TX-P90-D2+A90,TX-P90-D3+A80,TX-P90-D3+A90,TX-P90-D5+A80,TX-P90-D5+A90,TX->80-D2,TX->90-D2,TX->80-D3,TX->90-D3,TX->80-D5,TX->90-D5
TX-P80-D2,1.0,0.8058,0.502,0.7545,0.5849,0.348,0.5078,0.3784,0.2112,0.7537,0.4859,0.6133,0.4158,0.4089,0.3045,0.5892,0.384,0.4626,0.3189,0.2923,0.2226,0.4121,0.2716,0.3101,0.2177,0.1806,0.1403,0.2763,0.2657,0.263,0.2552,0.2405,0.2434
TX-P80-D3,0.8058,1.0,0.6229,0.7104,0.7258,0.4319,0.5398,0.4696,0.2621,0.6799,0.4953,0.7611,0.516,0.5074,0.3778,0.5947,0.4233,0.574,0.3957,0.3627,0.2763,0.4518,0.315,0.3848,0.2701,0.2242,0.1741,0.2377,0.2527,0.238,0.2528,0.2213,0.2442
TX-P80-D5,0.502,0.6229,1.0,0.5159,0.6082,0.6933,0.4755,0.5071,0.4208,0.5148,0.4778,0.6058,0.5197,0.8146,0.6066,0.5094,0.454,0.5695,0.4715,0.5823,0.4435,0.4494,0.3799,0.4585,0.3664,0.3599,0.2795,0.167,0.2133,0.1707,0.2175,0.1768,0.2254
TX-P85-D2,0.7545,0.7104,0.5159,1.0,0.7752,0.4613,0.673,0.5016,0.2799,0.6411,0.4485,0.5811,0.4132,0.4314,0.3287,0.7809,0.509,0.6131,0.4226,0.3874,0.2951,0.5463,0.36,0.411,0.2885,0.2394,0.186,0.2226,0.2279,0.212,0.2192,0.1942,0.2109
TX-P85-D3,0.5849,0.7258,0.6082,0.7752,1.0,0.595,0.6573,0.647,0.3611,0.5503,0.4404,0.6288,0.4677,0.5162,0.3998,0.6798,0.5104,0.7909,0.5452,0.4997,0.3806,0.5641,0.4074,0.5302,0.3721,0.3089,0.2399,0.1834,0.2082,0.1845,0.2097,0.1725,0.2048
TX-P85-D5,0.348,0.4319,0.6933,0.4613,0.595,1.0,0.4821,0.5729,0.6069,0.3811,0.3847,0.4541,0.4263,0.6291,0.5181,0.4802,0.463,0.5883,0.5206,0.8398,0.6397,0.4764,0.4326,0.5385,0.4526,0.5191,0.4031,0.1204,0.1619,0.1235,0.1661,0.1284,0.1741
TX-P90-D2,0.5078,0.5398,0.4755,0.673,0.6573,0.4821,1.0,0.7453,0.4159,0.4852,0.3761,0.4794,0.3666,0.4106,0.3261,0.6018,0.4379,0.5576,0.4085,0.4126,0.3233,0.8116,0.5348,0.6107,0.4286,0.3558,0.2763,0.1599,0.1751,0.1525,0.1688,0.1403,0.1644
TX-P90-D3,0.3784,0.4696,0.5071,0.5016,0.647,0.5729,0.7453,1.0,0.5581,0.3898,0.3476,0.4549,0.3775,0.451,0.3718,0.4884,0.4133,0.5841,0.4538,0.4967,0.3974,0.6713,0.5221,0.8194,0.5752,0.4774,0.3707,0.1249,0.1516,0.1265,0.1538,0.1194,0.152
TX-P90-D5,0.2112,0.2621,0.4208,0.2799,0.3611,0.6069,0.4159,0.5581,1.0,0.2414,0.2619,0.2901,0.2959,0.4111,0.3739,0.3063,0.3212,0.3797,0.3701,0.5596,0.4782,0.4307,0.428,0.552,0.5012,0.8553,0.6643,0.075,0.1047,0.077,0.1082,0.0803,0.1146
TX-P80-D2+A80,0.7537,0.6799,0.5148,0.6411,0.5503,0.3811,0.4852,0.3898,0.2414,1.0,0.6447,0.8137,0.5517,0.5425,0.404,0.7817,0.5095,0.6137,0.423,0.3878,0.2954,0.5468,0.3603,0.4114,0.2888,0.2397,0.1861,0.3038,0.307,0.2896,0.2958,0.2657,0.2837
