construct_id,construct_family,count,mean,std,min,10%,25%,50%,75%,90%,99%,max,short_label,note
ABS_TX_A80_D2,absolute,37261.0,14.188910657255576,30.31171003713412,2.0,2.0,2.0,4.0,8.0,27.0,152.0,243.0,TX->80-D2,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
ABS_TX_A80_D3,absolute,27024.0,18.80620929544109,34.485683064963354,3.0,3.0,4.0,6.0,12.0,54.0,156.0,243.0,TX->80-D3,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
ABS_TX_A80_D5,absolute,16744.0,28.275023889154323,41.03172251542212,5.0,5.0,6.0,10.0,23.0,102.0,171.0,243.0,TX->80-D5,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
ABS_TX_A90_D2,absolute,27360.0,10.256980994152046,14.32943324551575,2.0,2.0,3.0,5.0,11.0,24.0,76.0,148.0,TX->90-D2,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
ABS_TX_A90_D3,absolute,20935.0,12.791067590160019,15.524365673707967,3.0,3.0,4.0,7.0,14.0,30.0,80.0,148.0,TX->90-D3,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
ABS_TX_A90_D5,absolute,14619.0,16.837198166769273,17.051808197025085,5.0,5.0,7.0,11.0,19.0,38.0,89.0,148.0,TX->90-D5,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P80_D2_A80_W15,hybrid,38323.0,4.197140098635284,3.667860682637054,2.0,2.0,2.0,3.0,5.0,8.0,19.0,69.0,TX-P80-D2+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P80_D2_A90_W15,hybrid,21741.0,4.769651809944345,4.348229854094503,2.0,2.0,2.0,3.0,6.0,10.0,22.0,69.0,TX-P80-D2+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P80_D3_A80_W15,hybrid,23342.0,5.607274440921944,4.123219326197016,3.0,3.0,3.0,4.0,6.0,10.0,22.0,69.0,TX-P80-D3+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P80_D3_A90_W15,hybrid,14263.0,6.2217626025380355,4.763378482543127,3.0,3.0,3.0,5.0,7.0,12.0,23.0,69.0,TX-P80-D3+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P80_D5_A80_W15,hybrid,10369.0,8.415276304368792,4.878083666153328,5.0,5.0,5.0,7.0,10.0,14.0,24.31999999999971,69.0,TX-P80-D5+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P80_D5_A90_W15,hybrid,7239.0,8.975687249620114,5.392288776352113,5.0,5.0,6.0,7.0,11.0,15.0,26.0,69.0,TX-P80-D5+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P85_D2_A80_W15,hybrid,32060.0,3.921834061135371,3.2697063532079462,2.0,2.0,2.0,3.0,4.0,7.0,17.0,66.0,TX-P85-D2+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P85_D2_A90_W15,hybrid,18569.0,4.413484840325273,3.8808130599458623,2.0,2.0,2.0,3.0,5.0,9.0,19.0,66.0,TX-P85-D2+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P85_D3_A80_W15,hybrid,18547.0,5.322046692187416,3.7187130082026254,3.0,3.0,3.0,4.0,6.0,9.0,20.0,66.0,TX-P85-D3+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P85_D3_A90_W15,hybrid,11615.0,5.858458889367197,4.301465967846712,3.0,3.0,3.0,4.0,7.0,11.0,22.0,66.0,TX-P85-D3+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P85_D5_A80_W15,hybrid,7701.0,8.098948188546942,4.44961112382748,5.0,5.0,5.0,7.0,9.0,14.0,23.0,66.0,TX-P85-D5+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P85_D5_A90_W15,hybrid,5526.0,8.596996018820123,4.93232958523249,5.0,5.0,5.0,7.0,10.0,15.0,24.0,66.0,TX-P85-D5+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P90_D2_A80_W15,hybrid,24189.0,3.6359088842035634,2.7828383439429487,2.0,2.0,2.0,3.0,4.0,6.0,15.0,47.0,TX-P90-D2+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P90_D2_A90_W15,hybrid,14366.0,4.034108311290547,3.2807732031980916,2.0,2.0,2.0,3.0,5.0,8.0,17.0,47.0,TX-P90-D2+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P90_D3_A80_W15,hybrid,13301.0,4.975039470716488,3.1779990051938927,3.0,3.0,3.0,4.0,6.0,8.0,17.0,47.0,TX-P90-D3+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P90_D3_A90_W15,hybrid,8613.0,5.392778358295599,3.6528757196820156,3.0,3.0,3.0,4.0,6.0,9.800000000000182,19.0,47.0,TX-P90-D3+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P90_D5_A80_W15,hybrid,5043.0,7.644061074757089,3.8464191693388323,5.0,5.0,5.0,6.0,9.0,12.0,22.0,47.0,TX-P90-D5+A80,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
HYB_TX_P90_D5_A90_W15,hybrid,3723.0,8.041633091592802,4.2666542189740255,5.0,5.0,5.0,6.0,9.0,13.0,22.779999999999745,47.0,TX-P90-D5+A90,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P80_D2_W15,relative,53220.0,4.009751972942503,3.2986987405716404,2.0,2.0,2.0,3.0,5.0,7.0,17.0,69.0,TX-P80-D2,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P80_D3_W15,relative,32503.0,5.290742393009876,3.688056736010612,3.0,3.0,3.0,4.0,6.0,9.0,20.0,69.0,TX-P80-D3,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P80_D5_W15,relative,13312.0,8.046724759615385,4.472983678874165,5.0,5.0,5.0,7.0,9.0,13.0,23.889999999999418,69.0,TX-P80-D5,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P85_D2_W15,relative,42631.0,3.7766883253970116,2.993644346106883,2.0,2.0,2.0,3.0,4.0,7.0,16.0,66.0,TX-P85-D2,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P85_D3_W15,relative,24535.0,5.087100061137151,3.3950802568796794,3.0,3.0,3.0,4.0,6.0,9.0,18.0,66.0,TX-P85-D3,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P85_D5_W15,relative,9457.0,7.852807444221212,4.134517783933659,5.0,5.0,5.0,7.0,9.0,12.0,23.0,66.0,TX-P85-D5,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P90_D2_W15,relative,30503.0,3.552404681506737,2.6118665985462926,2.0,2.0,2.0,3.0,4.0,6.0,14.0,47.0,TX-P90-D2,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P90_D3_W15,relative,16701.0,4.835339201245435,2.97020315040842,3.0,3.0,3.0,4.0,5.0,8.0,16.0,47.0,TX-P90-D3,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
REL_TX_P90_D5_W15,relative,6005.0,7.505578684429642,3.6063610411381775,5.0,5.0,5.0,6.0,8.0,11.0,22.0,47.0,TX-P90-D5,a median may fall between two integers because it is a median ACROSS events; no individual event has a fractional duration
