stratum,stratum_label,construct_id,counties,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,median_cumulative_classified_days,classified_days_per_1000_valid,warm_season_rate_per_1000,shoulder_rate_per_1000,cool_season_rate_per_1000,pct_days_june_september,long_events_per_100_county_years,pct_classified_days_imputed
all_counties,All counties,ABS_TX_A80_D2,254,184.0,168.0,205.75,13.0,2040.0,518.036,969.135,695.961,153.583,62.48,196.779,17.89
all_counties,All counties,ABS_TX_A80_D3,254,177.0,160.25,198.75,10.0,1958.5,497.975,966.867,670.157,123.51,64.85,196.779,18.05
all_counties,All counties,ABS_TX_A80_D5,254,165.0,149.25,186.0,6.0,1825.0,463.894,962.17,606.23,79.862,69.27,196.779,18.23
all_counties,All counties,ABS_TX_A90_D2,254,100.0,84.0,115.0,10.0,1104.0,274.974,721.053,176.23,8.528,87.58,171.904,18.48
all_counties,All counties,ABS_TX_A90_D3,254,96.0,79.0,111.0,7.0,1066.0,262.383,703.172,149.779,4.237,89.51,171.904,18.84
all_counties,All counties,ABS_TX_A90_D5,254,88.0,70.0,106.0,5.0,977.5,241.181,662.165,112.528,1.854,91.7,171.904,19.19
all_counties,All counties,HYB_TX_P80_D2_A80_W15,254,51.0,34.0,77.0,13.0,598.5,157.605,228.813,225.114,86.59,48.49,25.948,15.9
all_counties,All counties,HYB_TX_P80_D2_A90_W15,254,32.0,16.0,53.0,8.0,403.0,101.607,227.499,129.771,7.246,74.78,23.586,16.06
all_counties,All counties,HYB_TX_P80_D3_A80_W15,254,39.0,24.0,64.0,8.0,479.5,128.247,203.533,188.376,57.012,53.01,25.948,16.42
all_counties,All counties,HYB_TX_P80_D3_A90_W15,254,26.0,12.0,46.0,5.0,337.0,86.952,202.316,105.174,3.078,77.71,23.586,16.71
all_counties,All counties,HYB_TX_P80_D5_A80_W15,254,24.0,12.0,44.0,3.0,319.5,85.499,154.045,129.24,24.406,60.18,25.948,16.49
all_counties,All counties,HYB_TX_P80_D5_A90_W15,254,16.0,5.0,34.0,2.0,238.5,63.665,153.133,70.976,0.952,80.34,23.586,16.69
all_counties,All counties,HYB_TX_P85_D2_A80_W15,254,38.0,24.0,61.0,11.0,469.5,123.2,175.027,173.003,71.285,47.45,16.679,15.22
