sample,state,variable,variable_label,period,period_note,current_published_counties,current_published_pooled_annual_observations,current_published_median_f,current_published_change_vs_base_f,current_rule_counties,current_rule_pooled_annual_observations,current_rule_median_f,revised_counties,revised_annual_observations_per_county,revised_median_f,revised_median_ci_low_f,revised_median_ci_high_f,revised_iqr_f,revised_change_vs_base_f,revised_change_ci_low_f,revised_change_ci_high_f,absolute_difference_f,percent_difference,change_absolute_difference_f,coverage_criterion,current_aggregation,revised_aggregation
consistent_county,AL,Tavg,Average daily temperature,1980-1989,,42,357,62.659,0.0,42,357,62.659,26,10,62.827,61.974,64.326,3.244,0.0,0.0,0.0,0.168,0.268,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tavg,Average daily temperature,1990-1999,,42,378,63.2,0.541,42,378,63.2005,26,10,63.491,62.466,64.612,2.885,0.663,0.123,0.926,0.291,0.46,0.122,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tavg,Average daily temperature,2000-2009,,42,383,63.025,0.366,42,383,63.025,26,10,63.18,62.789,64.769,3.454,0.353,-0.158,1.207,0.155,0.246,-0.013,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tavg,Average daily temperature,2010-2019,,42,406,63.906,1.248,42,406,63.906,26,10,64.27,63.557,65.372,3.612,1.443,0.949,2.141,0.364,0.57,0.195,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tavg,Average daily temperature,2020-2025,six-year recent period,42,243,64.336,1.678,42,243,64.336,26,6,65.067,63.906,66.202,3.754,2.239,1.558,2.835,0.731,1.136,0.561,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmax,Average daily high temperature,1980-1989,,44,396,74.451,0.0,44,396,74.451,28,10,74.535,73.548,76.054,3.288,0.0,0.0,0.0,0.084,0.113,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmax,Average daily high temperature,1990-1999,,44,394,74.704,0.253,44,394,74.7045,28,10,75.118,74.12,75.886,2.572,0.583,-0.344,1.06,0.414,0.554,0.33,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmax,Average daily high temperature,2000-2009,,44,407,74.813,0.361,44,407,74.813,28,10,75.414,74.124,76.5,3.33,0.879,-0.101,1.435,0.601,0.803,0.518,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmax,Average daily high temperature,2010-2019,,44,424,75.368,0.917,44,424,75.368,28,10,75.719,74.668,76.728,4.071,1.184,0.257,2.006,0.351,0.466,0.267,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmax,Average daily high temperature,2020-2025,six-year recent period,44,252,75.833,1.381,44,252,75.83250000000001,28,6,76.155,74.855,77.91,3.876,1.619,0.938,2.642,0.322,0.425,0.238,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
