state,variable,month,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,min_across_counties_f,max_across_counties_f,contributing_monthly_summaries,monthly_records_total,counties_with_any_record,pct_monthly_records_passing_coverage,season,month_name,variable_label,coverage_requirement_days,unit_of_analysis
AL,Tavg,1,65,44.1,41.41,47.02,38.93,51.01,2404,2563,65,93.8,cool,Jan,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,2,65,48.28,45.44,50.86,43.16,59.39,2366,2572,65,91.99,cool,Feb,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,3,66,55.93,53.42,58.07,50.7,61.68,2446,2576,66,94.95,cool,Mar,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,4,66,62.61,60.88,64.28,55.84,70.62,2432,2577,66,94.37,cool,Apr,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,5,66,70.29,68.86,72.07,66.49,76.58,2466,2578,66,95.66,shoulder,May,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,6,66,77.4,76.19,78.43,71.16,81.07,2447,2571,66,95.18,warm,Jun,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,7,66,80.4,79.37,80.97,74.46,83.71,2461,2563,66,96.02,warm,Jul,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,8,66,79.89,78.6,80.45,71.39,82.33,2474,2558,66,96.72,warm,Aug,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,9,66,74.64,72.93,75.87,69.9,78.73,2446,2554,66,95.77,warm,Sep,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,10,66,64.11,62.0,65.79,59.94,69.89,2441,2557,66,95.46,shoulder,Oct,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,11,66,53.97,52.22,56.43,50.01,61.8,2398,2564,66,93.53,cool,Nov,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tavg,12,65,46.9,44.53,49.63,42.35,53.98,2397,2555,65,93.82,cool,Dec,Average daily temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tmax,1,65,55.33,52.46,58.4,49.17,61.27,2474,2564,65,96.49,cool,Jan,Average daily high temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tmax,2,65,60.15,57.2,62.52,53.76,69.58,2436,2572,65,94.71,cool,Feb,Average daily high temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
AL,Tmax,3,66,68.89,65.98,70.51,62.56,73.34,2496,2576,66,96.89,cool,Mar,Average daily high temperature,25,"county; each county contributes one value per month, averaged over its qualifying monthly county-level summaries"
