state,variable,county_fips,sample
AL,Tavg,01003,consistent_county
AL,Tavg,01005,consistent_county
AL,Tavg,01007,consistent_county
AL,Tavg,01015,consistent_county
AL,Tavg,01021,consistent_county
AL,Tavg,01025,consistent_county
AL,Tavg,01041,consistent_county
AL,Tavg,01043,consistent_county
AL,Tavg,01045,consistent_county
AL,Tavg,01047,consistent_county
AL,Tavg,01049,consistent_county
AL,Tavg,01053,consistent_county
AL,Tavg,01061,consistent_county
AL,Tavg,01063,consistent_county
AL,Tavg,01071,consistent_county
AL,Tavg,01073,consistent_county
AL,Tavg,01079,consistent_county
AL,Tavg,01081,consistent_county
AL,Tavg,01083,consistent_county
AL,Tavg,01089,consistent_county
AL,Tavg,01093,consistent_county
AL,Tavg,01097,consistent_county
AL,Tavg,01101,consistent_county
AL,Tavg,01109,consistent_county
AL,Tavg,01121,consistent_county
AL,Tavg,01125,consistent_county
AL,Tmax,01003,consistent_county
AL,Tmax,01005,consistent_county
AL,Tmax,01007,consistent_county
AL,Tmax,01015,consistent_county
AL,Tmax,01021,consistent_county
AL,Tmax,01025,consistent_county
AL,Tmax,01035,consistent_county
AL,Tmax,01041,consistent_county
AL,Tmax,01043,consistent_county
AL,Tmax,01045,consistent_county
AL,Tmax,01047,consistent_county
AL,Tmax,01049,consistent_county
AL,Tmax,01053,consistent_county
AL,Tmax,01057,consistent_county
AL,Tmax,01061,consistent_county
AL,Tmax,01063,consistent_county
AL,Tmax,01071,consistent_county
AL,Tmax,01073,consistent_county
AL,Tmax,01079,consistent_county
AL,Tmax,01081,consistent_county
AL,Tmax,01083,consistent_county
AL,Tmax,01089,consistent_county
AL,Tmax,01093,consistent_county
AL,Tmax,01097,consistent_county
AL,Tmax,01101,consistent_county
AL,Tmax,01109,consistent_county
AL,Tmax,01121,consistent_county
AL,Tmax,01125,consistent_county
AL,Tmin,01003,consistent_county
AL,Tmin,01005,consistent_county
AL,Tmin,01007,consistent_county
AL,Tmin,01015,consistent_county
AL,Tmin,01021,consistent_county
AL,Tmin,01025,consistent_county
AL,Tmin,01041,consistent_county
AL,Tmin,01043,consistent_county
AL,Tmin,01045,consistent_county
AL,Tmin,01047,consistent_county
AL,Tmin,01049,consistent_county
AL,Tmin,01053,consistent_county
AL,Tmin,01061,consistent_county
AL,Tmin,01063,consistent_county
AL,Tmin,01065,consistent_county
AL,Tmin,01071,consistent_county
AL,Tmin,01073,consistent_county
AL,Tmin,01079,consistent_county
AL,Tmin,01081,consistent_county
AL,Tmin,01083,consistent_county
AL,Tmin,01089,consistent_county
AL,Tmin,01093,consistent_county
