construct_id,construct_family,season,classified_days,valid_daily_observations,pct_of_classified_days,classified_days_per_1000_valid,season_label,short_label
ABS_TX_A80_D2,absolute,cool,77786,506476,14.71,153.583,November-April,TX->80-D2
ABS_TX_A80_D2,absolute,shoulder,120560,173228,22.8,695.961,May and October,TX->80-D2
ABS_TX_A80_D2,absolute,warm,330347,340868,62.48,969.135,June-September,TX->80-D2
ABS_TX_A80_D3,absolute,cool,62555,506476,12.31,123.51,November-April,TX->80-D3
ABS_TX_A80_D3,absolute,shoulder,116090,173228,22.84,670.157,May and October,TX->80-D3
ABS_TX_A80_D3,absolute,warm,329574,340868,64.85,966.867,June-September,TX->80-D3
ABS_TX_A80_D5,absolute,cool,40448,506476,8.54,79.862,November-April,TX->80-D5
ABS_TX_A80_D5,absolute,shoulder,105016,173228,22.18,606.23,May and October,TX->80-D5
ABS_TX_A80_D5,absolute,warm,327973,340868,69.27,962.17,June-September,TX->80-D5
ABS_TX_A90_D2,absolute,cool,4319,506476,1.54,8.528,November-April,TX->90-D2
ABS_TX_A90_D2,absolute,shoulder,30528,173228,10.88,176.23,May and October,TX->90-D2
ABS_TX_A90_D2,absolute,warm,245784,340868,87.58,721.053,June-September,TX->90-D2
ABS_TX_A90_D3,absolute,cool,2146,506476,0.8,4.237,November-April,TX->90-D3
ABS_TX_A90_D3,absolute,shoulder,25946,173228,9.69,149.779,May and October,TX->90-D3
ABS_TX_A90_D3,absolute,warm,239689,340868,89.51,703.172,June-September,TX->90-D3
ABS_TX_A90_D5,absolute,cool,939,506476,0.38,1.854,November-April,TX->90-D5
ABS_TX_A90_D5,absolute,shoulder,19493,173228,7.92,112.528,May and October,TX->90-D5
ABS_TX_A90_D5,absolute,warm,225711,340868,91.7,662.165,June-September,TX->90-D5
HYB_TX_P80_D2_A80_W15,hybrid,cool,43856,506476,27.27,86.59,November-April,TX-P80-D2+A80
HYB_TX_P80_D2_A80_W15,hybrid,shoulder,38996,173228,24.24,225.114,May and October,TX-P80-D2+A80
HYB_TX_P80_D2_A80_W15,hybrid,warm,77995,340868,48.49,228.813,June-September,TX-P80-D2+A80
HYB_TX_P80_D2_A90_W15,hybrid,cool,3670,506476,3.54,7.246,November-April,TX-P80-D2+A90
HYB_TX_P80_D2_A90_W15,hybrid,shoulder,22480,173228,21.68,129.771,May and October,TX-P80-D2+A90
HYB_TX_P80_D2_A90_W15,hybrid,warm,77547,340868,74.78,227.499,June-September,TX-P80-D2+A90
HYB_TX_P80_D3_A80_W15,hybrid,cool,28875,506476,22.06,57.012,November-April,TX-P80-D3+A80
HYB_TX_P80_D3_A80_W15,hybrid,shoulder,32632,173228,24.93,188.376,May and October,TX-P80-D3+A80
HYB_TX_P80_D3_A80_W15,hybrid,warm,69378,340868,53.01,203.533,June-September,TX-P80-D3+A80
HYB_TX_P80_D3_A90_W15,hybrid,cool,1559,506476,1.76,3.078,November-April,TX-P80-D3+A90
HYB_TX_P80_D3_A90_W15,hybrid,shoulder,18219,173228,20.53,105.174,May and October,TX-P80-D3+A90
HYB_TX_P80_D3_A90_W15,hybrid,warm,68963,340868,77.71,202.316,June-September,TX-P80-D3+A90
HYB_TX_P80_D5_A80_W15,hybrid,cool,12361,506476,14.17,24.406,November-April,TX-P80-D5+A80
HYB_TX_P80_D5_A80_W15,hybrid,shoulder,22388,173228,25.66,129.24,May and October,TX-P80-D5+A80
HYB_TX_P80_D5_A80_W15,hybrid,warm,52509,340868,60.18,154.045,June-September,TX-P80-D5+A80
HYB_TX_P80_D5_A90_W15,hybrid,cool,482,506476,0.74,0.952,November-April,TX-P80-D5+A90
HYB_TX_P80_D5_A90_W15,hybrid,shoulder,12295,173228,18.92,70.976,May and October,TX-P80-D5+A90
HYB_TX_P80_D5_A90_W15,hybrid,warm,52198,340868,80.34,153.133,June-September,TX-P80-D5+A90
HYB_TX_P85_D2_A80_W15,hybrid,cool,36104,506476,28.71,71.285,November-April,TX-P85-D2+A80
HYB_TX_P85_D2_A80_W15,hybrid,shoulder,29969,173228,23.84,173.003,May and October,TX-P85-D2+A80
HYB_TX_P85_D2_A80_W15,hybrid,warm,59661,340868,47.45,175.027,June-September,TX-P85-D2+A80
HYB_TX_P85_D2_A90_W15,hybrid,cool,3334,506476,4.07,6.583,November-April,TX-P85-D2+A90
HYB_TX_P85_D2_A90_W15,hybrid,shoulder,19090,173228,23.29,110.202,May and October,TX-P85-D2+A90
HYB_TX_P85_D2_A90_W15,hybrid,warm,59530,340868,72.64,174.642,June-September,TX-P85-D2+A90
HYB_TX_P85_D3_A80_W15,hybrid,cool,22633,506476,22.93,44.687,November-April,TX-P85-D3+A80
HYB_TX_P85_D3_A80_W15,hybrid,shoulder,24405,173228,24.72,140.884,May and October,TX-P85-D3+A80
HYB_TX_P85_D3_A80_W15,hybrid,warm,51670,340868,52.35,151.584,June-September,TX-P85-D3+A80
HYB_TX_P85_D3_A90_W15,hybrid,cool,1351,506476,1.99,2.667,November-April,TX-P85-D3+A90
HYB_TX_P85_D3_A90_W15,hybrid,shoulder,15134,173228,22.24,87.365,May and October,TX-P85-D3+A90
HYB_TX_P85_D3_A90_W15,hybrid,warm,51561,340868,75.77,151.264,June-September,TX-P85-D3+A90
HYB_TX_P85_D5_A80_W15,hybrid,cool,9164,506476,14.69,18.094,November-April,TX-P85-D5+A80
HYB_TX_P85_D5_A80_W15,hybrid,shoulder,15720,173228,25.2,90.747,May and October,TX-P85-D5+A80
HYB_TX_P85_D5_A80_W15,hybrid,warm,37486,340868,60.1,109.972,June-September,TX-P85-D5+A80
HYB_TX_P85_D5_A90_W15,hybrid,cool,356,506476,0.75,0.703,November-April,TX-P85-D5+A90
HYB_TX_P85_D5_A90_W15,hybrid,shoulder,9729,173228,20.48,56.163,May and October,TX-P85-D5+A90
HYB_TX_P85_D5_A90_W15,hybrid,warm,37422,340868,78.77,109.784,June-September,TX-P85-D5+A90
HYB_TX_P90_D2_A80_W15,hybrid,cool,26675,506476,30.33,52.668,November-April,TX-P90-D2+A80
HYB_TX_P90_D2_A80_W15,hybrid,shoulder,20527,173228,23.34,118.497,May and October,TX-P90-D2+A80
HYB_TX_P90_D2_A80_W15,hybrid,warm,40747,340868,46.33,119.539,June-September,TX-P90-D2+A80
HYB_TX_P90_D2_A90_W15,hybrid,cool,2749,506476,4.74,5.428,November-April,TX-P90-D2+A90
