state,variable,month,period,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,monthly_summaries_used,sample,counties_in_both_periods,median_paired_county_difference_f,p25_paired_difference_f,p75_paired_difference_f,month_name,season,variable_label,base_period
AL,Tavg,1,1980-1989,26,42.294,39.855,45.584,255,consistent_county,26,0.0,0.0,0.0,Jan,cool,Average daily temperature,1980-1989
AL,Tavg,1,1990-1999,26,45.412,43.838,48.113,259,consistent_county,26,3.25,2.753,3.735,Jan,cool,Average daily temperature,1980-1989
AL,Tavg,1,2000-2009,26,44.949,42.621,47.723,257,consistent_county,26,2.527,2.188,3.235,Jan,cool,Average daily temperature,1980-1989
AL,Tavg,1,2010-2019,26,44.501,40.9,47.205,260,consistent_county,26,1.854,1.24,2.407,Jan,cool,Average daily temperature,1980-1989
AL,Tavg,1,2020-2025,26,45.714,42.689,48.502,156,consistent_county,26,3.041,2.662,3.941,Jan,cool,Average daily temperature,1980-1989
AL,Tavg,2,1980-1989,26,46.855,44.249,49.72,254,consistent_county,26,0.0,0.0,0.0,Feb,cool,Average daily temperature,1980-1989
AL,Tavg,2,1990-1999,26,49.468,47.686,52.258,260,consistent_county,26,2.493,2.06,2.813,Feb,cool,Average daily temperature,1980-1989
AL,Tavg,2,2000-2009,26,48.097,45.905,50.486,258,consistent_county,26,1.078,0.508,1.414,Feb,cool,Average daily temperature,1980-1989
AL,Tavg,2,2010-2019,26,49.748,46.007,52.695,260,consistent_county,26,2.644,2.025,3.184,Feb,cool,Average daily temperature,1980-1989
AL,Tavg,2,2020-2025,26,51.757,48.162,54.79,155,consistent_county,26,4.524,3.913,5.244,Feb,cool,Average daily temperature,1980-1989
AL,Tavg,3,1980-1989,26,54.839,53.372,57.409,256,consistent_county,26,0.0,0.0,0.0,Mar,cool,Average daily temperature,1980-1989
AL,Tavg,3,1990-1999,26,55.039,53.388,57.391,260,consistent_county,26,0.031,-0.19,0.365,Mar,cool,Average daily temperature,1980-1989
AL,Tavg,3,2000-2009,26,56.01,54.327,58.416,259,consistent_county,26,1.049,0.863,1.735,Mar,cool,Average daily temperature,1980-1989
AL,Tavg,3,2010-2019,26,56.007,53.143,58.528,260,consistent_county,26,1.097,0.468,1.648,Mar,cool,Average daily temperature,1980-1989
AL,Tavg,3,2020-2025,26,58.878,57.114,61.737,156,consistent_county,26,4.215,3.559,4.504,Mar,cool,Average daily temperature,1980-1989
AL,Tavg,4,1980-1989,26,61.742,60.66,63.629,252,consistent_county,26,0.0,0.0,0.0,Apr,cool,Average daily temperature,1980-1989
AL,Tavg,4,1990-1999,26,62.239,61.457,63.551,259,consistent_county,26,0.302,-0.038,0.972,Apr,cool,Average daily temperature,1980-1989
AL,Tavg,4,2000-2009,26,62.548,61.336,64.427,258,consistent_county,26,0.811,0.524,1.551,Apr,cool,Average daily temperature,1980-1989
AL,Tavg,4,2010-2019,26,63.809,62.103,65.083,259,consistent_county,26,1.901,1.496,2.786,Apr,cool,Average daily temperature,1980-1989
AL,Tavg,4,2020-2025,26,63.57,61.277,65.311,156,consistent_county,26,1.617,1.187,2.166,Apr,cool,Average daily temperature,1980-1989
AL,Tavg,5,1980-1989,26,70.024,69.09,71.289,254,consistent_county,26,0.0,0.0,0.0,May,shoulder,Average daily temperature,1980-1989
AL,Tavg,5,1990-1999,26,70.312,69.39,71.703,258,consistent_county,26,0.209,-0.107,0.519,May,shoulder,Average daily temperature,1980-1989
AL,Tavg,5,2000-2009,26,70.817,69.6,72.514,258,consistent_county,26,1.236,0.843,1.428,May,shoulder,Average daily temperature,1980-1989
AL,Tavg,5,2010-2019,26,71.501,70.468,72.773,259,consistent_county,26,1.632,1.094,1.883,May,shoulder,Average daily temperature,1980-1989
AL,Tavg,5,2020-2025,26,71.898,69.401,72.681,156,consistent_county,26,1.22,0.907,1.836,May,shoulder,Average daily temperature,1980-1989
AL,Tavg,6,1980-1989,26,77.367,76.392,78.388,258,consistent_county,26,0.0,0.0,0.0,Jun,warm,Average daily temperature,1980-1989
AL,Tavg,6,1990-1999,26,76.758,76.044,77.721,258,consistent_county,26,-0.543,-0.733,-0.047,Jun,warm,Average daily temperature,1980-1989
AL,Tavg,6,2000-2009,26,77.386,76.632,78.691,256,consistent_county,26,0.399,-0.023,0.652,Jun,warm,Average daily temperature,1980-1989
AL,Tavg,6,2010-2019,26,78.805,77.782,79.579,260,consistent_county,26,1.381,0.914,1.942,Jun,warm,Average daily temperature,1980-1989
AL,Tavg,6,2020-2025,26,78.312,76.78,79.181,156,consistent_county,26,0.87,0.211,1.197,Jun,warm,Average daily temperature,1980-1989
AL,Tavg,7,1980-1989,26,80.339,79.672,80.994,256,consistent_county,26,0.0,0.0,0.0,Jul,warm,Average daily temperature,1980-1989
AL,Tavg,7,1990-1999,26,80.463,79.82,81.011,257,consistent_county,26,0.13,-0.06,0.389,Jul,warm,Average daily temperature,1980-1989
AL,Tavg,7,2000-2009,26,80.245,78.984,81.065,257,consistent_county,26,-0.118,-0.299,0.336,Jul,warm,Average daily temperature,1980-1989
AL,Tavg,7,2010-2019,26,80.78,80.001,81.404,260,consistent_county,26,0.517,0.302,0.873,Jul,warm,Average daily temperature,1980-1989
AL,Tavg,7,2020-2025,26,81.002,80.271,81.995,155,consistent_county,26,0.903,0.607,1.278,Jul,warm,Average daily temperature,1980-1989
AL,Tavg,8,1980-1989,26,79.661,79.07,80.444,258,consistent_county,26,0.0,0.0,0.0,Aug,warm,Average daily temperature,1980-1989
AL,Tavg,8,1990-1999,26,79.507,78.69,80.249,256,consistent_county,26,-0.153,-0.346,-0.061,Aug,warm,Average daily temperature,1980-1989
AL,Tavg,8,2000-2009,26,80.27,79.418,80.804,259,consistent_county,26,0.47,0.06,0.755,Aug,warm,Average daily temperature,1980-1989
AL,Tavg,8,2010-2019,26,80.366,79.028,81.086,260,consistent_county,26,0.663,0.234,0.821,Aug,warm,Average daily temperature,1980-1989
AL,Tavg,8,2020-2025,26,80.78,78.941,81.411,156,consistent_county,26,0.47,0.155,1.042,Aug,warm,Average daily temperature,1980-1989
AL,Tavg,9,1980-1989,26,74.22,72.62,75.401,257,consistent_county,26,0.0,0.0,0.0,Sep,warm,Average daily temperature,1980-1989
AL,Tavg,9,1990-1999,26,74.74,73.16,75.49,258,consistent_county,26,0.572,0.201,0.779,Sep,warm,Average daily temperature,1980-1989
AL,Tavg,9,2000-2009,26,74.754,73.422,75.908,258,consistent_county,26,1.039,0.438,1.371,Sep,warm,Average daily temperature,1980-1989
AL,Tavg,9,2010-2019,26,76.689,74.452,77.294,260,consistent_county,26,2.289,2.009,2.738,Sep,warm,Average daily temperature,1980-1989
AL,Tavg,9,2020-2025,26,75.6,73.252,76.28,155,consistent_county,26,1.231,0.809,1.557,Sep,warm,Average daily temperature,1980-1989
AL,Tavg,10,1980-1989,26,63.115,61.63,65.181,257,consistent_county,26,0.0,0.0,0.0,Oct,shoulder,Average daily temperature,1980-1989
AL,Tavg,10,1990-1999,26,63.972,62.0,65.643,257,consistent_county,26,0.466,0.176,0.821,Oct,shoulder,Average daily temperature,1980-1989
AL,Tavg,10,2000-2009,26,64.217,62.636,65.964,259,consistent_county,26,0.894,0.501,1.711,Oct,shoulder,Average daily temperature,1980-1989
AL,Tavg,10,2010-2019,26,65.279,63.105,67.074,259,consistent_county,26,1.978,1.503,2.328,Oct,shoulder,Average daily temperature,1980-1989
AL,Tavg,10,2020-2025,26,66.092,63.72,67.095,155,consistent_county,26,2.34,1.787,2.975,Oct,shoulder,Average daily temperature,1980-1989
AL,Tavg,11,1980-1989,26,55.343,53.351,57.807,256,consistent_county,26,0.0,0.0,0.0,Nov,cool,Average daily temperature,1980-1989
AL,Tavg,11,1990-1999,26,52.979,51.388,55.673,257,consistent_county,26,-1.917,-2.387,-1.638,Nov,cool,Average daily temperature,1980-1989
AL,Tavg,11,2000-2009,26,54.274,52.407,56.286,257,consistent_county,26,-1.136,-1.582,-0.149,Nov,cool,Average daily temperature,1980-1989
AL,Tavg,11,2010-2019,26,53.463,50.876,55.602,260,consistent_county,26,-1.721,-2.236,-1.401,Nov,cool,Average daily temperature,1980-1989
AL,Tavg,11,2020-2025,26,56.165,53.983,58.625,156,consistent_county,26,0.982,0.531,1.397,Nov,cool,Average daily temperature,1980-1989
AL,Tavg,12,1980-1989,26,45.969,43.544,48.711,256,consistent_county,26,0.0,0.0,0.0,Dec,cool,Average daily temperature,1980-1989
AL,Tavg,12,1990-1999,26,47.583,45.684,50.082,259,consistent_county,26,1.826,1.086,2.213,Dec,cool,Average daily temperature,1980-1989
AL,Tavg,12,2000-2009,26,45.902,43.466,48.295,259,consistent_county,26,0.106,-0.449,0.679,Dec,cool,Average daily temperature,1980-1989
