sample,state,state_name,variable,variable_label,period,period_note,contributing_counties,annual_observations_per_county_per_period,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,iqr_across_counties_f,min_across_counties_f,max_across_counties_f,median_ci_low_f,median_ci_high_f,difference_of_medians_vs_base_f,difference_ci_low_f,difference_ci_high_f,median_paired_county_difference_f,paired_difference_ci_low_f,paired_difference_ci_high_f,base_period,bootstrap_resamples,bootstrap_unit,aggregation,interpretation
consistent_county,AL,Alabama,Tavg,Average daily temperature,1980-1989,,26,10,62.827,61.264,64.508,3.244,57.471,67.449,61.974,64.326,0.0,0.0,0.0,0.0,0.0,0.0,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tavg,Average daily temperature,1990-1999,,26,10,63.491,62.048,64.933,2.885,58.761,67.834,62.466,64.612,0.663,0.123,0.926,0.561,0.246,0.743,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tavg,Average daily temperature,2000-2009,,26,10,63.18,61.608,65.061,3.454,59.402,67.8,62.789,64.769,0.353,-0.158,1.207,0.583,0.389,0.989,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tavg,Average daily temperature,2010-2019,,26,10,64.27,62.106,65.718,3.612,60.179,68.693,63.557,65.372,1.443,0.949,2.141,1.29,1.209,1.578,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tavg,Average daily temperature,2020-2025,six-year recent period,26,6,65.067,62.818,66.572,3.754,60.398,70.067,63.906,66.202,2.239,1.558,2.835,2.092,1.773,2.36,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmax,Average daily high temperature,1980-1989,,28,10,74.535,72.92,76.208,3.288,69.617,77.725,73.548,76.054,0.0,0.0,0.0,0.0,0.0,0.0,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmax,Average daily high temperature,1990-1999,,28,10,75.118,73.537,76.109,2.572,70.014,77.98,74.12,75.886,0.583,-0.344,1.06,0.192,-0.014,0.467,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmax,Average daily high temperature,2000-2009,,28,10,75.414,73.579,76.909,3.33,70.671,78.371,74.124,76.5,0.879,-0.101,1.435,0.551,0.268,0.945,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmax,Average daily high temperature,2010-2019,,28,10,75.719,73.259,77.329,4.071,71.034,79.254,74.668,76.728,1.184,0.257,2.006,0.941,0.602,1.416,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmax,Average daily high temperature,2020-2025,six-year recent period,28,6,76.155,74.172,78.049,3.876,71.376,80.07,74.855,77.91,1.619,0.938,2.642,1.392,1.03,1.868,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmin,Average daily low temperature,1980-1989,,27,10,51.23,49.703,52.327,2.624,45.33,58.754,50.037,52.269,0.0,0.0,0.0,0.0,0.0,0.0,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmin,Average daily low temperature,1990-1999,,27,10,52.463,50.383,53.574,3.191,47.428,58.934,50.791,53.44,1.233,0.054,1.689,0.882,0.316,1.444,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmin,Average daily low temperature,2000-2009,,27,10,51.626,50.19,53.457,3.266,48.106,58.979,50.508,53.002,0.396,-0.271,1.509,0.778,0.337,1.418,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmin,Average daily low temperature,2010-2019,,27,10,52.935,50.825,54.135,3.31,48.975,60.174,52.154,53.876,1.705,0.963,2.465,1.636,1.42,2.173,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,AL,Alabama,Tmin,Average daily low temperature,2020-2025,six-year recent period,27,6,53.801,51.484,55.345,3.861,49.413,61.4,52.709,54.494,2.572,1.548,3.184,2.696,2.057,3.126,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tavg,Average daily temperature,1980-1989,,32,10,72.342,69.919,73.204,3.285,66.696,77.009,71.032,73.019,0.0,0.0,0.0,0.0,0.0,0.0,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tavg,Average daily temperature,1990-1999,,32,10,72.947,70.948,74.148,3.2,67.139,77.624,71.954,73.617,0.605,0.228,1.147,0.838,0.721,0.909,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tavg,Average daily temperature,2000-2009,,32,10,72.732,70.63,73.586,2.956,67.698,77.629,71.668,73.287,0.39,-0.1,1.123,0.591,0.364,0.712,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tavg,Average daily temperature,2010-2019,,32,10,73.568,71.792,74.476,2.684,68.872,78.221,72.215,74.274,1.226,0.148,1.842,1.421,1.238,1.675,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tavg,Average daily temperature,2020-2025,six-year recent period,32,6,74.37,72.526,75.373,2.846,69.523,79.64,73.173,74.985,2.029,1.274,2.646,2.246,2.042,2.392,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmax,Average daily high temperature,1980-1989,,37,10,82.413,80.834,83.844,3.01,76.576,85.311,81.632,83.52,0.0,0.0,0.0,0.0,0.0,0.0,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmax,Average daily high temperature,1990-1999,,37,10,82.685,81.151,83.876,2.726,77.524,85.624,82.189,83.715,0.271,-0.011,0.716,0.237,0.076,0.576,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmax,Average daily high temperature,2000-2009,,37,10,82.417,80.547,83.805,3.258,77.327,85.435,81.342,83.232,0.004,-0.749,0.517,0.102,-0.312,0.243,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmax,Average daily high temperature,2010-2019,,37,10,83.238,81.636,83.877,2.242,78.106,85.789,81.895,83.671,0.825,-0.216,1.364,0.575,0.381,1.06,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmax,Average daily high temperature,2020-2025,six-year recent period,37,6,83.942,81.317,84.94,3.624,78.67,86.678,82.918,84.546,1.528,0.553,2.119,1.198,0.876,1.727,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmin,Average daily low temperature,1980-1989,,34,10,61.448,59.247,62.986,3.739,54.652,70.889,59.942,62.308,0.0,0.0,0.0,0.0,0.0,0.0,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmin,Average daily low temperature,1990-1999,,34,10,62.624,60.784,64.12,3.337,56.312,71.632,61.434,63.283,1.176,0.453,1.662,1.073,0.905,1.325,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmin,Average daily low temperature,2000-2009,,34,10,62.878,60.075,63.52,3.445,55.831,72.026,60.616,63.256,1.43,-0.011,1.96,0.921,0.683,1.25,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
consistent_county,FL,Florida,Tmin,Average daily low temperature,2010-2019,,34,10,63.609,60.885,65.128,4.243,57.264,72.892,61.608,64.238,2.161,0.847,2.795,2.12,1.834,2.41,1980-1989,2000,county,daily -> annual county value -> county period mean -> state median across counties,a difference between two period summaries; NOT a trend estimate and NOT a causal statement
