county_fips,year,month,classified_assessment_dates
48001,1980,7,18
48001,1980,8,13
48001,1982,8,4
48001,1984,6,1
48001,1984,7,2
48001,1984,8,6
48001,1985,8,18
48001,1985,9,8
48001,1986,7,6
48001,1986,8,5
48001,1987,8,21
48001,1988,7,1
48001,1988,8,8
48001,1989,9,2
48001,1990,8,4
48001,1990,9,1
48001,1993,7,2
48001,1993,8,14
48001,1995,7,9
48001,1995,8,5
48001,1996,5,3
48001,1996,6,3
48001,1996,7,16
48001,1996,8,6
48001,1997,7,8
48001,1997,8,6
48001,1998,5,1
48001,1998,6,25
48001,1998,7,31
48001,1998,8,12
48001,1998,9,3
48001,1999,8,23
48001,2000,7,10
48001,2000,8,21
48001,2000,9,7
48001,2001,7,6
48001,2001,8,8
48001,2002,8,2
48001,2005,7,2
48001,2005,8,5
48001,2006,7,9
48001,2006,8,24
48001,2007,8,3
48001,2008,7,8
48001,2008,8,4
48001,2009,6,7
48001,2009,7,11
48001,2009,8,3
48001,2010,6,1
48001,2010,8,23
48001,2010,9,1
48001,2011,6,12
48001,2011,7,31
48001,2011,8,31
48001,2011,9,3
48001,2012,6,3
48001,2012,7,5
48001,2012,8,18
48001,2012,9,7
48001,2013,6,3
48001,2013,7,2
48001,2013,8,15
48001,2013,9,4
48001,2014,8,3
48001,2015,7,13
48001,2015,8,9
48001,2015,9,2
48001,2016,7,14
48001,2016,8,14
48001,2017,7,3
48001,2017,8,10
48001,2018,6,2
48001,2018,7,19
48001,2018,8,13
48001,2019,8,15
48001,2020,7,4
48001,2020,8,10
48001,2020,9,1
48001,2022,6,13
48001,2022,7,26
48001,2022,8,15
48001,2023,6,7
48001,2023,7,21
48001,2023,8,27
48001,2023,9,5
48001,2024,6,2
48001,2024,7,6
48001,2024,8,8
48001,2025,8,6
48003,1980,6,12
48003,1980,7,23
48003,1980,8,4
48003,1981,6,3
48003,1981,7,4
48003,1982,8,3
48003,1983,7,10
48003,1983,8,7
48003,1983,9,3
48003,1985,8,7
48003,1986,7,5
48003,1986,8,2
48003,1987,7,4
48003,1987,8,3
48003,1989,5,2
48003,1989,7,6
48003,1989,8,1
48003,1990,6,19
48003,1992,7,2
48003,1993,7,7
48003,1993,8,1
48003,1994,6,9
48003,1994,7,10
48003,1994,8,2
48003,1995,7,10
48003,1995,9,1
48003,1996,5,6
48003,1996,6,9
48003,1996,7,8
48003,1996,8,4
48003,1997,7,1
48003,1997,8,4
48003,1998,5,1
48003,1998,6,19
48003,1998,7,23
48003,1998,8,4
48003,1999,6,3
48003,1999,7,7
48003,1999,8,13
48003,2000,5,3
48003,2000,6,1
48003,2000,7,10
48003,2000,9,5
48003,2001,6,7
48003,2001,7,19
48003,2001,8,4
48003,2002,6,2
48003,2002,7,4
48003,2002,8,8
48003,2003,7,1
48003,2003,8,9
48003,2004,6,2
48003,2005,6,1
48003,2006,6,5
48003,2006,7,14
48003,2006,8,4
48003,2007,8,1
48003,2008,5,1
48003,2008,6,16
48003,2008,7,1
48003,2009,7,2
48003,2009,8,2
48003,2010,6,2
48003,2010,8,1
48003,2011,5,2
48003,2011,6,20
48003,2011,7,22
48003,2011,8,24
48003,2011,9,2
48003,2012,6,7
48003,2012,7,4
48003,2012,8,11
48003,2012,9,3
48003,2013,6,8
48003,2013,8,7
48003,2014,6,6
48003,2014,7,7
48003,2014,8,2
48003,2014,9,3
48003,2015,7,12
48003,2015,8,9
48003,2016,6,1
48003,2016,7,17
48003,2016,8,8
48003,2017,6,9
48003,2017,7,4
48003,2018,5,4
48003,2018,6,11
48003,2018,7,8
48003,2018,8,3
48003,2019,6,3
48003,2019,7,5
48003,2019,8,18
48003,2020,6,2
48003,2020,7,17
48003,2020,8,14
48003,2020,9,1
48003,2021,6,7
48003,2021,7,1
48003,2021,8,1
48003,2022,5,5
48003,2022,6,8
48003,2022,7,21
48003,2022,8,7
48003,2023,6,11
48003,2023,7,21
48003,2023,8,18
48003,2023,9,6
48003,2024,6,11
48003,2024,7,6
48003,2024,8,22
48003,2025,6,2
48003,2025,8,8
48005,1980,6,6
48005,1980,7,19
48005,1980,8,9
48005,1981,7,6
48005,1981,8,6
48005,1982,8,10
48005,1982,9,1
48005,1984,8,3
48005,1985,8,5
48005,1985,9,4
48005,1986,7,12
48005,1986,8,4
48005,1987,8,15
48005,1988,6,2
48005,1988,7,3
48005,1988,8,6
48005,1989,8,1
48005,1989,9,1
48005,1990,6,1
48005,1990,7,1
48005,1990,8,9
48005,1990,9,1
48005,1993,7,3
48005,1993,8,7
48005,1995,7,9
48005,1995,8,9
48005,1995,9,1
48005,1996,5,3
48005,1996,7,14
48005,1996,8,6
48005,1997,7,2
48005,1997,8,4
48005,1998,6,21
48005,1998,7,31
48005,1998,8,13
48005,1999,8,16
48005,2000,7,10
48005,2000,8,15
48005,2000,9,6
48005,2001,7,3
48005,2001,8,1
48005,2002,8,1
48005,2003,8,3
48005,2004,8,2
48005,2005,7,5
48005,2005,8,8
48005,2005,9,9
48005,2006,7,6
48005,2006,8,18
48005,2007,8,5
48005,2008,6,3
48005,2008,7,2
48005,2008,8,4
48005,2009,6,8
48005,2009,7,14
48005,2009,8,8
48005,2010,6,5
48005,2010,7,1
48005,2010,8,25
48005,2011,6,11
48005,2011,7,29
48005,2011,8,31
48005,2011,9,2
48005,2012,6,4
48005,2012,7,6
48005,2012,8,19
48005,2012,9,7
48005,2013,6,1
48005,2013,7,2
48005,2013,8,16
48005,2013,9,4
48005,2014,8,5
