county_fips,year,classified_assessment_dates
48001,1980,31
48001,1982,4
48001,1984,9
48001,1985,26
48001,1986,11
48001,1987,21
48001,1988,9
48001,1989,2
48001,1990,5
48001,1993,16
48001,1995,14
48001,1996,28
48001,1997,14
48001,1998,72
48001,1999,23
48001,2000,38
48001,2001,14
48001,2002,2
48001,2005,7
48001,2006,33
48001,2007,3
48001,2008,12
48001,2009,21
48001,2010,25
48001,2011,77
48001,2012,33
48001,2013,24
48001,2014,3
48001,2015,24
48001,2016,28
48001,2017,13
48001,2018,34
48001,2019,15
48001,2020,15
48001,2022,54
48001,2023,60
48001,2024,16
48001,2025,6
48003,1980,39
48003,1981,7
48003,1982,3
48003,1983,20
48003,1985,7
48003,1986,7
48003,1987,7
48003,1989,9
48003,1990,19
48003,1992,2
48003,1993,8
48003,1994,21
48003,1995,11
48003,1996,27
48003,1997,5
48003,1998,47
48003,1999,23
48003,2000,19
48003,2001,30
48003,2002,14
48003,2003,10
48003,2004,2
48003,2005,1
48003,2006,23
48003,2007,1
48003,2008,18
48003,2009,4
48003,2010,3
48003,2011,70
48003,2012,25
48003,2013,15
48003,2014,18
48003,2015,21
48003,2016,26
48003,2017,13
48003,2018,26
48003,2019,26
48003,2020,34
48003,2021,9
48003,2022,41
48003,2023,56
48003,2024,39
48003,2025,10
48005,1980,34
48005,1981,12
48005,1982,11
48005,1984,3
48005,1985,9
48005,1986,16
48005,1987,15
48005,1988,11
48005,1989,2
48005,1990,12
48005,1993,10
48005,1995,19
48005,1996,23
48005,1997,6
48005,1998,65
48005,1999,16
48005,2000,31
48005,2001,4
48005,2002,1
48005,2003,3
48005,2004,2
48005,2005,22
48005,2006,24
48005,2007,5
48005,2008,9
48005,2009,30
48005,2010,31
48005,2011,73
48005,2012,36
48005,2013,23
48005,2014,5
48005,2015,21
48005,2016,32
48005,2017,13
48005,2018,32
48005,2019,20
48005,2020,26
48005,2021,30
48005,2022,64
48005,2023,78
48005,2024,36
48005,2025,20
48007,1980,29
48007,1982,24
48007,1983,12
48007,1984,4
48007,1985,14
48007,1986,13
48007,1987,27
48007,1988,23
48007,1989,13
48007,1990,9
48007,1991,3
48007,1993,3
48007,1995,1
48007,1996,36
48007,1997,20
48007,1998,31
48007,1999,3
48007,2000,5
48007,2001,11
48007,2002,10
48007,2003,3
48007,2004,9
48007,2005,45
48007,2006,20
48007,2007,11
48007,2008,2
48007,2009,17
48007,2010,31
48007,2011,35
48007,2012,12
48007,2013,13
48007,2014,12
48007,2015,7
48007,2016,24
48007,2017,25
48007,2018,7
48007,2019,29
48007,2020,29
48007,2021,13
48007,2022,36
48007,2023,87
48007,2024,68
48007,2025,42
48009,1979,5
48009,1980,57
48009,1981,17
48009,1982,3
48009,1983,11
48009,1984,19
48009,1985,26
48009,1986,12
48009,1987,13
48009,1988,8
48009,1990,5
48009,1991,7
48009,1993,23
48009,1994,8
48009,1995,8
48009,1996,23
48009,1997,3
48009,1998,47
48009,1999,16
48009,2000,50
48009,2001,39
48009,2002,4
48009,2003,15
48009,2004,1
48009,2006,37
48009,2008,13
48009,2009,8
48009,2010,7
48009,2011,72
48009,2012,22
48009,2013,11
48009,2015,5
48009,2016,11
48009,2017,10
48009,2018,9
48009,2019,10
48009,2020,12
48009,2022,37
48009,2023,48
48009,2024,27
48011,1979,3
48011,1980,30
48011,1981,15
48011,1982,9
48011,1983,20
48011,1984,3
48011,1985,3
48011,1986,13
48011,1988,2
48011,1989,2
48011,1990,8
48011,1992,1
48011,1993,1
48011,1994,8
48011,1995,4
48011,1996,6
48011,1998,22
48011,1999,9
48011,2000,38
48011,2001,33
48011,2002,11
48011,2003,29
48011,2004,3
48011,2005,6
48011,2006,38
48011,2007,4
48011,2008,14
48011,2009,17
48011,2010,22
48011,2011,81
48011,2012,45
48011,2013,22
48011,2014,16
48011,2015,15
48011,2016,32
48011,2017,18
48011,2018,25
48011,2019,27
48011,2020,33
48011,2021,19
48011,2022,55
48011,2023,56
48011,2024,46
48011,2025,17
48013,1979,2
48013,1980,38
48013,1981,2
48013,1982,15
48013,1983,11
48013,1984,7
48013,1985,3
48013,1986,9
48013,1987,5
48013,1988,7
48013,1989,20
48013,1990,13
48013,1991,6
48013,1992,2
48013,1994,13
48013,1995,12
48013,1996,33
48013,1997,13
48013,1998,52
48013,2000,11
48013,2001,46
48013,2002,1
48013,2003,4
48013,2004,1
48013,2005,19
48013,2006,23
48013,2008,2
48013,2009,71
48013,2010,15
48013,2011,60
48013,2012,17
48013,2013,13
48013,2014,26
48013,2015,30
48013,2016,25
48013,2017,35
48013,2018,28
48013,2019,48
48013,2020,35
48013,2021,10
48013,2022,65
48013,2023,75
48013,2024,28
48013,2025,20
48015,1980,37
48015,1981,5
48015,1982,39
48015,1985,10
48015,1986,9
48015,1987,3
48015,1988,14
48015,1990,24
48015,1991,8
48015,1993,8
48015,1994,1
48015,1995,7
48015,1996,11
48015,1997,12
48015,1998,76
48015,1999,28
48015,2000,33
48015,2001,20
48015,2003,5
48015,2005,16
48015,2006,5
48015,2007,4
48015,2008,6
48015,2009,60
48015,2010,26
48015,2011,76
48015,2012,13
48015,2013,32
48015,2014,12
48015,2015,14
48015,2016,23
48015,2017,23
48015,2018,22
48015,2019,35
48015,2020,30
48015,2021,5
48015,2022,65
48015,2023,89
48015,2024,32
48015,2025,4
48017,1979,1
48017,1980,46
48017,1981,18
48017,1982,12
48017,1983,26
48017,1984,1
48017,1985,7
48017,1986,12
48017,1987,10
48017,1989,7
48017,1990,20
48017,1991,5
48017,1992,3
48017,1993,19
48017,1994,20
48017,1995,6
48017,1996,22
48017,1997,8
48017,1998,37
48017,1999,10
48017,2000,19
48017,2001,28
48017,2002,15
48017,2003,17
48017,2006,18
48017,2007,5
48017,2008,4
48017,2009,9
48017,2010,9
48017,2011,70
48017,2012,25
48017,2013,10
48017,2014,11
48017,2015,4
48017,2016,15
48017,2017,6
48017,2018,13
48017,2019,16
48017,2020,31
48017,2021,8
48017,2022,32
48017,2023,39
48017,2024,29
48017,2025,12
48019,1979,3
48019,1980,41
48019,1981,9
48019,1982,9
48019,1983,9
48019,1984,9
48019,1985,7
48019,1986,14
48019,1987,15
48019,1988,12
48019,1989,29
48019,1990,18
48019,1991,6
48019,1992,1
48019,1993,2
48019,1994,12
48019,1995,11
48019,1996,24
48019,1997,7
48019,1998,20
48019,1999,1
48019,2000,39
48019,2001,42
48019,2002,5
48019,2003,6
48019,2005,2
48019,2006,19
48019,2009,32
48019,2010,6
48019,2011,59
48019,2012,16
48019,2013,13
48019,2014,10
48019,2015,26
48019,2016,33
48019,2017,38
48019,2018,43
48019,2019,39
48019,2020,36
48019,2021,2
48019,2022,62
48019,2023,78
48019,2024,54
48019,2025,15
48021,1980,40
48021,1981,1
48021,1982,31
48021,1983,2
48021,1984,13
48021,1985,18
48021,1986,12
48021,1987,1
48021,1988,15
48021,1989,2
48021,1990,15
48021,1993,2
48021,1994,5
48021,1995,13
48021,1996,24
48021,1997,7
48021,1998,49
48021,1999,16
48021,2000,29
48021,2001,18
48021,2002,2
48021,2003,8
48021,2004,2
48021,2005,10
48021,2006,26
48021,2008,22
48021,2009,72
48021,2010,16
48021,2011,58
48021,2012,21
48021,2013,32
48021,2014,15
48021,2015,18
48021,2016,25
48021,2017,39
48021,2018,33
48021,2019,34
48021,2020,31
48021,2021,5
48021,2022,61
48021,2023,81
48021,2024,43
48021,2025,27
48023,1980,36
48023,1981,11
48023,1982,3
48023,1983,14
48023,1984,6
48023,1985,9
48023,1986,11
48023,1987,5
48023,1988,4
48023,1989,1
48023,1990,3
48023,1991,3
48023,1993,15
48023,1994,9
48023,1995,5
48023,1996,18
48023,1997,3
48023,1998,46
48023,1999,22
48023,2000,51
48023,2001,31
48023,2002,3
48023,2003,22
48023,2006,34
48023,2008,8
48023,2009,21
48023,2010,19
48023,2011,83
48023,2012,39
48023,2013,20
48023,2014,11
48023,2015,14
48023,2016,20
48023,2017,8
48023,2018,23
48023,2019,14
48023,2020,21
48023,2021,3
48023,2022,39
48023,2023,49
48023,2024,33
48023,2025,7
48025,1980,42
48025,1982,25
48025,1983,3
48025,1984,7
48025,1985,32
48025,1986,20
48025,1987,9
48025,1988,31
48025,1989,36
48025,1990,15
48025,1991,11
48025,1992,2
48025,1994,6
48025,1995,13
48025,1996,24
48025,1997,19
48025,1998,58
48025,1999,7
48025,2000,9
48025,2001,19
48025,2002,1
48025,2003,2
48025,2004,2
48025,2005,9
48025,2006,3
48025,2009,62
48025,2010,10
48025,2011,50
48025,2012,14
