county_fips,seq,ehf_support_start_date,ehf_support_end_date,support_duration_days,event_definition_type,event_id
48001,1,1980-07-01,1980-07-04,4,merged_thermal_support_interval,48_001_1980_001_EHF_TX_FIXED7914_SUPPORT
48001,2,1980-07-06,1980-07-21,16,merged_thermal_support_interval,48_001_1980_002_EHF_TX_FIXED7914_SUPPORT
48001,3,1980-07-25,1980-07-28,4,merged_thermal_support_interval,48_001_1980_003_EHF_TX_FIXED7914_SUPPORT
48001,4,1980-08-03,1980-08-08,6,merged_thermal_support_interval,48_001_1980_004_EHF_TX_FIXED7914_SUPPORT
48001,5,1980-08-11,1980-08-15,5,merged_thermal_support_interval,48_001_1980_005_EHF_TX_FIXED7914_SUPPORT
48001,6,1980-08-20,1980-08-27,8,merged_thermal_support_interval,48_001_1980_006_EHF_TX_FIXED7914_SUPPORT
48001,7,1982-08-05,1982-08-07,3,merged_thermal_support_interval,48_001_1982_007_EHF_TX_FIXED7914_SUPPORT
48001,8,1982-08-16,1982-08-19,4,merged_thermal_support_interval,48_001_1982_008_EHF_TX_FIXED7914_SUPPORT
48001,9,1982-08-22,1982-08-24,3,merged_thermal_support_interval,48_001_1982_009_EHF_TX_FIXED7914_SUPPORT
48001,10,1984-06-24,1984-06-26,3,merged_thermal_support_interval,48_001_1984_010_EHF_TX_FIXED7914_SUPPORT
48001,11,1984-07-15,1984-07-18,4,merged_thermal_support_interval,48_001_1984_011_EHF_TX_FIXED7914_SUPPORT
48001,12,1984-08-18,1984-08-23,6,merged_thermal_support_interval,48_001_1984_012_EHF_TX_FIXED7914_SUPPORT
48001,13,1984-08-27,1984-08-30,4,merged_thermal_support_interval,48_001_1984_013_EHF_TX_FIXED7914_SUPPORT
48001,14,1985-08-01,1985-08-14,14,merged_thermal_support_interval,48_001_1985_014_EHF_TX_FIXED7914_SUPPORT
48001,15,1985-08-16,1985-08-24,9,merged_thermal_support_interval,48_001_1985_015_EHF_TX_FIXED7914_SUPPORT
48001,16,1985-08-30,1985-09-08,10,merged_thermal_support_interval,48_001_1985_016_EHF_TX_FIXED7914_SUPPORT
48001,17,1986-07-24,1986-08-03,11,merged_thermal_support_interval,48_001_1986_017_EHF_TX_FIXED7914_SUPPORT
48001,18,1986-08-15,1986-08-18,4,merged_thermal_support_interval,48_001_1986_018_EHF_TX_FIXED7914_SUPPORT
48001,19,1987-08-03,1987-08-23,21,merged_thermal_support_interval,48_001_1987_019_EHF_TX_FIXED7914_SUPPORT
