county_fips,year,month,classified_assessment_dates
48001,2015,7,13
48001,2015,8,9
48001,2015,9,2
48001,2016,7,14
48001,2016,8,14
48001,2017,7,3
48001,2017,8,10
48001,2018,6,2
48001,2018,7,19
48001,2018,8,13
48001,2019,8,15
48001,2020,7,4
48001,2020,8,10
48001,2020,9,1
48001,2022,6,13
48001,2022,7,26
48001,2022,8,15
48001,2023,6,7
48001,2023,7,21
48001,2023,8,27
48001,2023,9,5
48001,2024,6,2
48001,2024,7,6
48001,2024,8,8
48001,2025,8,5
48003,2015,7,12
48003,2015,8,9
48003,2016,6,1
48003,2016,7,17
48003,2016,8,8
48003,2017,6,9
48003,2017,7,4
48003,2018,5,4
48003,2018,6,11
48003,2018,7,8
48003,2018,8,3
48003,2019,6,3
48003,2019,7,5
48003,2019,8,18
48003,2020,6,2
48003,2020,7,17
48003,2020,8,14
48003,2020,9,1
48003,2021,6,7
48003,2021,7,1
48003,2021,8,1
48003,2022,5,5
48003,2022,6,8
48003,2022,7,21
48003,2022,8,7
48003,2023,6,11
48003,2023,7,21
48003,2023,8,18
48003,2023,9,6
48003,2024,6,7
48003,2024,7,6
48003,2024,8,22
48003,2025,8,6
48005,2015,7,12
48005,2015,8,9
48005,2016,7,18
48005,2016,8,13
48005,2017,7,2
48005,2017,8,10
48005,2018,6,11
48005,2018,7,14
48005,2018,8,6
48005,2019,7,1
48005,2019,8,16
48005,2020,7,11
48005,2020,8,12
48005,2020,9,2
48005,2021,6,2
48005,2021,7,6
48005,2021,8,10
48005,2021,9,5
48005,2022,6,19
48005,2022,7,27
48005,2022,8,14
48005,2023,6,14
48005,2023,7,27
48005,2023,8,29
48005,2023,9,5
48005,2024,6,5
48005,2024,7,8
48005,2024,8,21
48005,2025,7,7
48005,2025,8,9
48007,2015,7,1
48007,2015,8,6
48007,2016,6,3
48007,2016,7,11
48007,2016,8,7
48007,2016,9,3
48007,2017,6,3
48007,2017,7,10
48007,2017,8,12
48007,2018,6,2
48007,2018,8,5
48007,2019,6,2
48007,2019,7,3
48007,2019,8,13
48007,2019,9,9
48007,2019,10,2
48007,2020,6,1
48007,2020,7,13
48007,2020,8,11
48007,2020,9,4
48007,2021,6,1
48007,2021,8,9
48007,2021,9,2
48007,2022,6,8
48007,2022,7,20
48007,2022,8,7
48007,2023,6,17
48007,2023,7,24
48007,2023,8,28
48007,2023,9,16
48007,2024,5,8
48007,2024,6,17
48007,2024,7,13
48007,2024,8,20
48007,2024,9,4
48007,2025,6,7
48007,2025,7,13
48007,2025,8,11
48007,2025,9,3
48009,2015,8,5
48009,2016,7,4
48009,2016,8,11
48009,2017,7,10
48009,2018,6,2
48009,2018,7,7
48009,2019,8,10
48009,2020,7,5
48009,2020,8,8
48009,2022,6,6
48009,2022,7,23
48009,2022,8,9
48009,2023,6,6
48009,2023,7,14
48009,2023,8,25
48009,2023,9,6
48009,2024,6,4
48009,2024,7,4
48009,2024,8,19
48011,2015,7,10
48011,2015,8,5
48011,2016,6,4
48011,2016,7,19
48011,2016,8,9
48011,2017,6,6
48011,2017,7,12
48011,2018,6,6
48011,2018,7,12
48011,2018,8,6
48011,2018,9,1
48011,2019,7,6
48011,2019,8,20
48011,2020,6,2
48011,2020,7,18
48011,2020,8,13
48011,2021,6,7
48011,2021,8,7
48011,2021,9,2
48011,2022,6,11
48011,2022,7,29
48011,2022,8,11
48011,2023,6,6
48011,2023,7,16
48011,2023,8,24
48011,2023,9,6
48011,2024,6,8
48011,2024,7,13
48011,2024,8,24
48011,2025,6,1
48011,2025,7,4
48011,2025,8,9
48013,2015,7,10
48013,2015,8,16
48013,2015,9,4
48013,2016,7,17
48013,2016,8,7
48013,2017,6,4
48013,2017,7,19
48013,2017,8,11
48013,2017,9,1
48013,2018,6,4
48013,2018,7,12
48013,2018,8,10
48013,2019,6,3
48013,2019,7,5
48013,2019,8,24
48013,2019,9,12
48013,2019,10,1
48013,2020,7,16
