county_fips,year,classified_assessment_dates
48001,2015,24
48001,2016,28
48001,2017,13
48001,2018,34
48001,2019,15
48001,2020,15
48001,2022,54
48001,2023,60
48001,2024,16
48001,2025,5
48003,2015,21
48003,2016,26
48003,2017,13
48003,2018,26
48003,2019,26
48003,2020,34
48003,2021,9
48003,2022,41
48003,2023,56
48003,2024,35
48003,2025,6
48005,2015,21
48005,2016,31
48005,2017,12
48005,2018,31
48005,2019,17
48005,2020,25
48005,2021,23
48005,2022,60
48005,2023,75
48005,2024,34
48005,2025,16
48007,2015,7
48007,2016,24
48007,2017,25
48007,2018,7
48007,2019,29
48007,2020,29
48007,2021,12
48007,2022,35
48007,2023,85
48007,2024,62
48007,2025,34
48009,2015,5
48009,2016,15
48009,2017,10
48009,2018,9
48009,2019,10
48009,2020,13
48009,2022,38
48009,2023,51
48009,2024,27
48011,2015,15
48011,2016,32
48011,2017,18
48011,2018,25
48011,2019,26
48011,2020,33
48011,2021,16
48011,2022,51
48011,2023,52
48011,2024,45
48011,2025,14
48013,2015,30
48013,2016,24
48013,2017,35
48013,2018,26
48013,2019,45
48013,2020,34
48013,2021,7
48013,2022,61
48013,2023,72
48013,2024,24
48013,2025,14
48015,2015,14
48015,2016,23
48015,2017,23
48015,2018,22
48015,2019,35
48015,2020,30
48015,2021,5
48015,2022,65
48015,2023,84
48015,2024,28
48017,2015,4
48017,2016,15
48017,2017,6
48017,2018,14
48017,2019,16
48017,2020,31
48017,2021,8
48017,2022,34
48017,2023,39
48017,2024,29
48017,2025,12
48019,2015,26
48019,2016,33
48019,2017,38
48019,2018,43
48019,2019,35
48019,2020,36
48019,2021,2
48019,2022,57
48019,2023,75
48019,2024,43
48019,2025,11
48021,2015,18
48021,2016,25
48021,2017,39
48021,2018,30
48021,2019,32
48021,2020,28
48021,2021,2
48021,2022,58
48021,2023,78
48021,2024,31
48021,2025,18
48023,2015,14
48023,2016,20
48023,2017,8
48023,2018,25
48023,2019,14
48023,2020,21
48023,2021,3
48023,2022,39
48023,2023,49
48023,2024,33
48023,2025,5
48025,2015,3
48025,2016,11
48025,2017,14
48025,2018,9
48025,2019,23
48025,2020,21
48025,2022,15
48025,2023,82
48025,2024,12
48025,2025,20
48027,2015,17
48027,2016,24
48027,2017,16
48027,2018,37
48027,2019,18
48027,2020,34
48027,2022,56
48027,2023,77
48027,2024,31
48027,2025,4
48029,2015,30
48029,2016,30
48029,2017,27
48029,2018,18
48029,2019,23
48029,2020,23
48029,2022,33
48029,2023,66
48029,2024,35
48029,2025,13
48031,2015,13
48031,2016,31
48031,2017,15
48031,2018,20
48031,2019,22
48031,2020,31
48031,2021,2
48031,2022,72
48031,2023,92
48031,2024,40
48031,2025,9
48033,2015,10
48033,2016,19
48033,2017,8
48033,2018,28
48033,2019,28
48033,2020,34
48033,2021,1
48033,2022,52
48033,2023,54
48033,2024,34
48033,2025,6
48035,2015,10
48035,2016,11
48035,2017,3
48035,2018,16
48035,2019,11
48035,2020,13
48035,2022,38
48035,2023,71
48035,2024,20
48037,2015,18
48037,2016,20
48037,2017,3
48037,2018,19
48037,2019,15
48037,2020,2
48037,2021,8
48037,2022,35
48037,2023,33
48037,2024,18
48037,2025,16
48039,2015,38
48039,2016,67
48039,2017,32
48039,2018,30
48039,2019,32
48039,2020,42
48039,2021,15
48039,2022,37
48039,2023,77
48039,2024,36
48039,2025,12
48041,2015,16
48041,2016,26
48041,2017,26
48041,2018,24
48041,2019,32
48041,2020,26
48041,2021,4
48041,2022,71
48041,2023,91
48041,2024,20
48041,2025,3
48043,2015,13
48043,2016,26
48043,2017,14
48043,2018,24
48043,2019,22
48043,2020,31
48043,2021,13
48043,2022,36
48043,2023,64
48043,2024,50
48043,2025,13
48045,2015,15
48045,2016,28
48045,2017,9
48045,2018,33
48045,2019,26
48045,2020,33
48045,2021,19
48045,2022,55
48045,2023,39
48045,2024,53
48045,2025,26
48047,2016,18
48047,2017,13
48047,2018,9
48047,2019,25
48047,2020,14
48047,2022,13
48047,2023,62
48047,2024,15
48049,2015,29
48049,2016,30
48049,2017,12
48049,2018,55
48049,2019,26
48049,2020,21
48049,2021,3
48049,2022,62
48049,2023,63
48049,2024,29
48049,2025,1
48051,2015,19
48051,2016,17
48051,2017,18
48051,2018,13
48051,2019,12
48051,2020,20
48051,2021,2
48051,2022,66
48051,2023,72
48051,2024,20
48053,2015,31
48053,2016,34
48053,2017,25
48053,2018,45
48053,2019,26
48053,2020,35
48053,2021,1
48053,2022,58
48053,2023,81
48053,2024,27
48053,2025,2
48055,2015,39
48055,2016,29
48055,2017,37
48055,2018,48
48055,2019,51
48055,2020,39
48055,2021,1
48055,2022,63
48055,2023,89
48055,2024,37
48055,2025,25
48057,2015,8
48057,2016,25
48057,2017,13
48057,2018,4
48057,2019,30
