run_id,county_fips,ehf_assessment_period_start,ehf_assessment_period_end,event_duration_days,event_id,onset_year,seq,event_definition_type
1.0,48001,2015-07-19,2015-07-31,13,48_001_2015_001_EHF_TX_WALKFORWARD,2015,1,positive_ehf_assessment_period
2.0,48001,2015-08-06,2015-08-14,9,48_001_2015_002_EHF_TX_WALKFORWARD,2015,2,positive_ehf_assessment_period
3.0,48001,2015-09-07,2015-09-08,2,48_001_2015_003_EHF_TX_WALKFORWARD,2015,3,positive_ehf_assessment_period
4.0,48001,2016-07-08,2016-07-10,3,48_001_2016_001_EHF_TX_WALKFORWARD,2016,1,positive_ehf_assessment_period
5.0,48001,2016-07-12,2016-07-16,5,48_001_2016_002_EHF_TX_WALKFORWARD,2016,2,positive_ehf_assessment_period
6.0,48001,2016-07-22,2016-07-26,5,48_001_2016_003_EHF_TX_WALKFORWARD,2016,3,positive_ehf_assessment_period
7.0,48001,2016-07-31,2016-08-14,15,48_001_2016_004_EHF_TX_WALKFORWARD,2016,4,positive_ehf_assessment_period
8.0,48001,2017-07-28,2017-07-30,3,48_001_2017_001_EHF_TX_WALKFORWARD,2017,1,positive_ehf_assessment_period
9.0,48001,2017-08-13,2017-08-22,10,48_001_2017_002_EHF_TX_WALKFORWARD,2017,2,positive_ehf_assessment_period
10.0,48001,2018-06-13,2018-06-14,2,48_001_2018_001_EHF_TX_WALKFORWARD,2018,1,positive_ehf_assessment_period
11.0,48001,2018-07-01,2018-07-03,3,48_001_2018_002_EHF_TX_WALKFORWARD,2018,2,positive_ehf_assessment_period
12.0,48001,2018-07-16,2018-07-31,16,48_001_2018_003_EHF_TX_WALKFORWARD,2018,3,positive_ehf_assessment_period
13.0,48001,2018-08-08,2018-08-09,2,48_001_2018_004_EHF_TX_WALKFORWARD,2018,4,positive_ehf_assessment_period
14.0,48001,2018-08-17,2018-08-21,5,48_001_2018_005_EHF_TX_WALKFORWARD,2018,5,positive_ehf_assessment_period
