county_fips,seq,ehf_support_start_date,ehf_support_end_date,support_duration_days,event_definition_type,event_id
48001,1,2015-07-17,2015-07-31,15,merged_thermal_support_interval,48_001_2015_001_EHF_TX_WALKFORWARD_SUPPORT
48001,2,2015-08-04,2015-08-14,11,merged_thermal_support_interval,48_001_2015_002_EHF_TX_WALKFORWARD_SUPPORT
48001,3,2015-09-05,2015-09-08,4,merged_thermal_support_interval,48_001_2015_003_EHF_TX_WALKFORWARD_SUPPORT
48001,4,2016-07-06,2016-07-16,11,merged_thermal_support_interval,48_001_2016_004_EHF_TX_WALKFORWARD_SUPPORT
48001,5,2016-07-20,2016-07-26,7,merged_thermal_support_interval,48_001_2016_005_EHF_TX_WALKFORWARD_SUPPORT
48001,6,2016-07-29,2016-08-14,17,merged_thermal_support_interval,48_001_2016_006_EHF_TX_WALKFORWARD_SUPPORT
48001,7,2017-07-26,2017-07-30,5,merged_thermal_support_interval,48_001_2017_007_EHF_TX_WALKFORWARD_SUPPORT
48001,8,2017-08-11,2017-08-22,12,merged_thermal_support_interval,48_001_2017_008_EHF_TX_WALKFORWARD_SUPPORT
48001,9,2018-06-11,2018-06-14,4,merged_thermal_support_interval,48_001_2018_009_EHF_TX_WALKFORWARD_SUPPORT
48001,10,2018-06-29,2018-07-03,5,merged_thermal_support_interval,48_001_2018_010_EHF_TX_WALKFORWARD_SUPPORT
48001,11,2018-07-14,2018-07-31,18,merged_thermal_support_interval,48_001_2018_011_EHF_TX_WALKFORWARD_SUPPORT
48001,12,2018-08-06,2018-08-09,4,merged_thermal_support_interval,48_001_2018_012_EHF_TX_WALKFORWARD_SUPPORT
48001,13,2018-08-15,2018-08-21,7,merged_thermal_support_interval,48_001_2018_013_EHF_TX_WALKFORWARD_SUPPORT
48001,14,2018-08-23,2018-08-30,8,merged_thermal_support_interval,48_001_2018_014_EHF_TX_WALKFORWARD_SUPPORT
48001,15,2019-08-07,2019-08-15,9,merged_thermal_support_interval,48_001_2019_015_EHF_TX_WALKFORWARD_SUPPORT
48001,16,2019-08-16,2019-08-23,8,merged_thermal_support_interval,48_001_2019_016_EHF_TX_WALKFORWARD_SUPPORT
48001,17,2019-08-24,2019-08-27,4,merged_thermal_support_interval,48_001_2019_017_EHF_TX_WALKFORWARD_SUPPORT
48001,18,2020-07-11,2020-07-16,6,merged_thermal_support_interval,48_001_2020_018_EHF_TX_WALKFORWARD_SUPPORT
48001,19,2020-08-07,2020-08-16,10,merged_thermal_support_interval,48_001_2020_019_EHF_TX_WALKFORWARD_SUPPORT
48001,20,2020-08-28,2020-09-01,5,merged_thermal_support_interval,48_001_2020_020_EHF_TX_WALKFORWARD_SUPPORT
48001,21,2022-06-11,2022-06-18,8,merged_thermal_support_interval,48_001_2022_021_EHF_TX_WALKFORWARD_SUPPORT
48001,22,2022-06-19,2022-06-27,9,merged_thermal_support_interval,48_001_2022_022_EHF_TX_WALKFORWARD_SUPPORT
48001,23,2022-07-03,2022-08-11,40,merged_thermal_support_interval,48_001_2022_023_EHF_TX_WALKFORWARD_SUPPORT
48001,24,2022-08-13,2022-08-18,6,merged_thermal_support_interval,48_001_2022_024_EHF_TX_WALKFORWARD_SUPPORT
48001,25,2023-06-18,2023-06-22,5,merged_thermal_support_interval,48_001_2023_025_EHF_TX_WALKFORWARD_SUPPORT
48001,26,2023-06-25,2023-07-01,7,merged_thermal_support_interval,48_001_2023_026_EHF_TX_WALKFORWARD_SUPPORT
48001,27,2023-07-08,2023-07-23,16,merged_thermal_support_interval,48_001_2023_027_EHF_TX_WALKFORWARD_SUPPORT
48001,28,2023-07-24,2023-08-16,24,merged_thermal_support_interval,48_001_2023_028_EHF_TX_WALKFORWARD_SUPPORT
48001,29,2023-08-17,2023-08-29,13,merged_thermal_support_interval,48_001_2023_029_EHF_TX_WALKFORWARD_SUPPORT
48001,30,2023-09-03,2023-09-09,7,merged_thermal_support_interval,48_001_2023_030_EHF_TX_WALKFORWARD_SUPPORT
48001,31,2024-06-27,2024-07-06,10,merged_thermal_support_interval,48_001_2024_031_EHF_TX_WALKFORWARD_SUPPORT
48001,32,2024-08-13,2024-08-22,10,merged_thermal_support_interval,48_001_2024_032_EHF_TX_WALKFORWARD_SUPPORT
48001,33,2025-07-30,2025-08-01,3,merged_thermal_support_interval,48_001_2025_033_EHF_TX_WALKFORWARD_SUPPORT
48001,34,2025-08-14,2025-08-19,6,merged_thermal_support_interval,48_001_2025_034_EHF_TX_WALKFORWARD_SUPPORT
48003,1,2015-07-16,2015-07-22,7,merged_thermal_support_interval,48_003_2015_001_EHF_TX_WALKFORWARD_SUPPORT
48003,2,2015-07-23,2015-08-01,10,merged_thermal_support_interval,48_003_2015_002_EHF_TX_WALKFORWARD_SUPPORT
48003,3,2015-08-05,2015-08-15,11,merged_thermal_support_interval,48_003_2015_003_EHF_TX_WALKFORWARD_SUPPORT
