county_fips,year,month,classified_dates
48001,2015,1,3
48001,2015,2,3
48001,2015,3,1
48001,2015,4,8
48001,2015,6,2
48001,2015,7,10
48001,2015,8,5
48001,2015,9,7
48001,2015,10,5
48001,2015,12,11
48001,2016,1,3
48001,2016,2,6
48001,2016,3,3
48001,2016,5,3
48001,2016,6,5
48001,2016,7,12
48001,2016,8,11
48001,2016,9,10
48001,2016,10,13
48001,2016,11,5
48001,2016,12,5
48001,2017,1,14
48001,2017,2,12
48001,2017,3,11
48001,2017,4,5
48001,2017,5,2
48001,2017,8,6
48001,2017,9,2
48001,2017,10,5
48001,2017,11,7
48001,2017,12,7
48001,2018,2,2
48001,2018,3,5
48001,2018,5,12
48001,2018,6,8
48001,2018,9,6
48001,2018,10,8
48001,2018,11,1
48001,2018,12,1
48001,2019,1,3
48001,2019,2,4
48001,2019,4,3
48001,2019,5,5
48001,2019,6,2
48001,2019,8,2
48001,2019,9,8
48001,2019,10,6
48001,2019,11,2
48001,2019,12,4
48001,2020,1,2
48001,2020,2,3
48001,2020,3,8
48001,2020,4,3
48001,2020,5,2
48001,2020,6,2
48001,2020,8,7
48001,2020,9,1
48001,2020,10,5
48001,2020,11,5
48001,2020,12,4
48001,2021,2,2
48001,2021,4,4
48001,2021,6,13
48001,2021,7,3
48001,2021,9,5
48001,2021,10,8
48001,2021,11,2
48001,2021,12,22
48001,2022,1,1
48001,2022,2,2
48001,2022,3,5
48001,2022,4,3
48001,2022,5,9
48001,2022,6,4
48001,2022,7,7
48001,2022,9,8
48001,2022,11,5
48001,2022,12,9
48001,2023,1,10
48001,2023,2,6
48001,2023,3,9
48001,2023,4,2
48001,2023,5,6
48001,2023,6,6
48001,2023,7,6
48001,2023,8,22
48001,2023,9,11
48001,2023,10,2
48001,2023,12,2
48001,2024,1,2
48001,2024,2,3
48001,2024,3,5
48001,2024,4,3
48001,2024,5,12
48001,2024,6,10
48001,2024,7,7
48001,2024,8,6
48001,2024,9,4
48001,2024,10,15
48001,2024,11,8
48001,2024,12,5
48001,2025,2,7
48001,2025,3,9
48001,2025,4,9
48001,2025,5,6
48001,2025,6,6
48001,2025,8,4
48001,2025,9,3
48001,2025,10,11
48001,2025,11,10
48001,2025,12,7
48003,2015,1,2
48003,2015,2,4
48003,2015,3,3
48003,2015,4,4
48003,2015,7,9
48003,2015,8,8
48003,2015,9,7
48003,2015,10,2
48003,2015,12,2
48003,2016,1,2
48003,2016,2,8
48003,2016,6,4
48003,2016,7,11
48003,2016,8,2
48003,2016,9,2
48003,2016,10,13
48003,2016,11,5
48003,2016,12,2
48003,2017,1,6
48003,2017,2,11
48003,2017,3,12
48003,2017,4,2
48003,2017,6,7
48003,2017,7,5
48003,2017,8,1
48003,2017,9,10
48003,2017,10,2
48003,2017,11,11
48003,2017,12,5
48003,2018,1,2
48003,2018,2,4
48003,2018,3,4
48003,2018,5,13
48003,2018,6,6
48003,2018,8,5
48003,2018,10,4
48003,2018,11,2
48003,2019,1,2
48003,2019,2,6
48003,2019,3,2
48003,2019,4,4
48003,2019,8,13
48003,2019,9,2
48003,2019,11,2
48003,2019,12,6
48003,2020,1,2
48003,2020,3,2
48003,2020,4,2
48003,2020,5,7
48003,2020,6,4
48003,2020,7,8
48003,2020,8,8
48003,2020,9,2
48003,2020,10,10
48003,2020,11,6
48003,2021,2,4
48003,2021,3,2
48003,2021,6,6
48003,2021,8,4
48003,2021,9,8
48003,2021,10,8
48003,2021,11,7
48003,2021,12,14
48003,2022,1,2
48003,2022,2,2
48003,2022,3,4
48003,2022,4,2
48003,2022,5,12
48003,2022,6,2
48003,2022,7,4
48003,2022,12,3
48003,2023,1,7
48003,2023,2,2
48003,2023,3,4
48003,2023,6,7
48003,2023,7,11
48003,2023,8,9
48003,2023,9,12
48003,2023,10,4
48003,2023,11,3
48003,2023,12,2
48003,2024,2,6
48003,2024,4,3
48003,2024,6,6
48003,2024,8,4
48003,2024,9,6
48003,2024,10,12
48003,2024,11,2
48003,2024,12,2
48003,2025,2,9
48003,2025,4,7
48003,2025,5,2
48003,2025,6,2
48003,2025,8,2
48003,2025,9,2
48003,2025,10,2
48003,2025,11,9
48003,2025,12,14
48005,2015,1,3
48005,2015,2,3
48005,2015,3,3
48005,2015,4,8
48005,2015,5,2
48005,2015,6,4
48005,2015,7,4
48005,2015,8,4
48005,2015,9,4
48005,2015,10,5
48005,2015,12,9
48005,2016,1,3
48005,2016,2,6
48005,2016,3,4
48005,2016,4,6
48005,2016,6,4
48005,2016,7,12
48005,2016,8,8
48005,2016,9,8
48005,2016,10,14
48005,2016,11,7
48005,2016,12,5
48005,2017,1,13
48005,2017,2,12
48005,2017,3,10
48005,2017,4,1
48005,2017,5,4
48005,2017,10,5
48005,2017,11,8
48005,2017,12,4
48005,2018,2,4
48005,2018,3,8
48005,2018,4,2
48005,2018,5,12
48005,2018,6,15
48005,2018,7,3
48005,2018,9,4
48005,2018,10,8
48005,2018,11,3
48005,2019,2,3
48005,2019,3,3
48005,2019,4,3
48005,2019,5,3
48005,2019,8,2
48005,2019,9,6
48005,2019,10,6
48005,2019,11,2
48005,2020,1,7
48005,2020,3,12
48005,2020,4,4
48005,2020,5,2
48005,2020,6,2
48005,2020,8,9
48005,2020,9,1
48005,2020,10,5
48005,2020,11,8
48005,2020,12,5
48005,2021,2,5
48005,2021,3,5
48005,2021,4,6
48005,2021,6,13
48005,2021,7,4
48005,2021,8,7
48005,2021,9,8
48005,2021,10,9
48005,2021,11,2
48005,2021,12,21
48005,2022,1,3
48005,2022,2,2
48005,2022,3,4
48005,2022,4,3
48005,2022,5,12
48005,2022,6,4
48005,2022,7,9
48005,2022,11,7
48005,2022,12,9
48005,2023,1,10
48005,2023,2,11
48005,2023,3,9
48005,2023,4,2
48005,2023,5,6
48005,2023,6,11
48005,2023,7,8
48005,2023,8,22
48005,2023,9,6
48005,2023,10,8
48005,2023,11,3
48005,2024,1,2
48005,2024,2,6
48005,2024,3,6
48005,2024,4,2
48005,2024,5,11
48005,2024,6,12
48005,2024,7,5
48005,2024,8,16
48005,2024,9,4
48005,2024,10,15
48005,2024,11,6
48005,2024,12,5
48005,2025,2,9
48005,2025,3,9
48005,2025,4,10
48005,2025,5,9
48005,2025,6,4
48005,2025,8,6
48005,2025,10,8
48005,2025,11,12
48005,2025,12,9
48007,2015,1,3
48007,2015,2,2
48007,2015,4,8
48007,2015,5,8
48007,2015,6,5
48007,2015,7,8
48007,2015,8,11
48007,2015,9,3
48007,2015,11,4
48007,2015,12,11
48007,2016,1,4
48007,2016,2,14
48007,2016,3,8
48007,2016,4,6
48007,2016,5,9
48007,2016,6,9
48007,2016,7,18
48007,2016,8,9
48007,2016,9,11
48007,2016,10,11
48007,2016,11,8
48007,2016,12,6
48007,2017,1,19
48007,2017,2,17
48007,2017,3,20
48007,2017,4,18
48007,2017,5,10
48007,2017,6,19
48007,2017,7,26
48007,2017,8,24
48007,2017,9,3
48007,2017,10,7
48007,2017,11,10
48007,2017,12,8
48007,2018,2,8
48007,2018,3,9
48007,2018,5,9
48007,2018,6,11
48007,2018,10,4
48007,2018,11,4
48007,2018,12,2
48007,2019,1,2
48007,2019,2,2
48007,2019,4,2
48007,2019,5,2
48007,2019,6,10
48007,2019,7,3
48007,2019,8,13
48007,2019,9,22
48007,2019,10,12
48007,2019,11,5
48007,2019,12,8
48007,2020,1,7
48007,2020,2,9
48007,2020,3,19
48007,2020,4,14
48007,2020,5,15
48007,2020,6,6
48007,2020,7,13
48007,2020,8,18
48007,2020,9,4
48007,2020,10,3
48007,2020,11,12
48007,2020,12,2
48007,2021,1,7
48007,2021,2,4
48007,2021,3,5
48007,2021,4,5
48007,2021,5,3
48007,2021,6,9
48007,2021,7,1
48007,2021,8,9
48007,2021,9,6
48007,2021,10,5
48007,2021,11,2
48007,2021,12,20
48007,2022,1,3
48007,2022,2,2
48007,2022,3,8
48007,2022,4,17
48007,2022,5,26
48007,2022,6,22
48007,2022,7,19
48007,2022,8,3
48007,2022,10,4
48007,2022,11,2
48007,2022,12,10
48007,2023,1,14
48007,2023,2,13
48007,2023,3,16
48007,2023,4,4
48007,2023,5,7
48007,2023,6,22
48007,2023,7,28
48007,2023,8,27
48007,2023,9,22
48007,2023,10,9
48007,2023,11,3
48007,2024,2,9
48007,2024,3,7
48007,2024,4,12
48007,2024,5,24
48007,2024,6,24
48007,2024,7,21
48007,2024,8,25
48007,2024,9,13
48007,2024,10,12
48007,2024,11,14
48007,2024,12,14
48007,2025,1,3
48007,2025,2,11
48007,2025,3,20
48007,2025,4,20
48007,2025,5,21
48007,2025,6,19
48007,2025,7,20
48007,2025,8,23
48007,2025,9,11
48007,2025,10,15
48007,2025,11,14
48007,2025,12,9
48009,2015,1,5
48009,2015,2,5
48009,2015,3,2
48009,2015,4,5
48009,2015,9,2
48009,2015,10,2
48009,2015,12,9
48009,2016,1,3
48009,2016,2,5
48009,2016,6,4
48009,2016,7,11
48009,2016,8,7
48009,2016,9,8
48009,2016,10,14
48009,2016,11,8
48009,2016,12,4
48009,2017,1,6
48009,2017,2,4
48009,2017,3,8
48009,2017,5,4
48009,2017,7,3
48009,2017,9,3
48009,2017,10,2
48009,2017,11,6
48009,2017,12,3
48009,2018,3,4
48009,2018,4,2
48009,2018,5,4
48009,2018,6,2
48009,2018,10,3
48009,2018,11,2
48009,2019,1,2
48009,2019,2,5
48009,2019,6,2
48009,2019,7,2
48009,2019,8,2
48009,2019,9,8
48009,2019,10,3
48009,2019,12,3
48009,2020,1,4
48009,2020,2,2
48009,2020,3,5
48009,2020,5,5
48009,2020,8,3
48009,2020,9,1
48009,2020,10,2
48009,2020,11,2
48009,2020,12,3
48009,2021,2,2
48009,2021,6,4
48009,2021,10,7
48009,2021,11,3
48009,2021,12,20
48009,2022,1,2
48009,2022,3,6
48009,2022,4,5
48009,2022,5,16
48009,2022,6,5
48009,2022,7,2
48009,2022,9,3
48009,2022,10,5
48009,2022,11,2
48009,2022,12,2
48009,2023,1,9
48009,2023,2,5
48009,2023,3,3
48009,2023,4,2
48009,2023,5,4
48009,2023,6,5
48009,2023,7,3
48009,2023,8,4
48009,2023,9,13
48009,2023,10,3
48009,2023,11,3
48009,2024,1,2
48009,2024,2,8
48009,2024,3,6
48009,2024,4,2
48009,2024,5,4
48009,2024,6,9
48009,2024,8,3
48009,2024,9,3
48009,2024,10,12
48009,2024,12,6
48009,2025,2,9
48009,2025,3,9
48009,2025,4,2
48009,2025,5,3
48009,2025,9,2
48009,2025,11,12
48009,2025,12,9
48011,2015,1,5
48011,2015,2,7
48011,2015,3,6
48011,2015,4,7
48011,2015,8,7
48011,2015,9,10
48011,2015,10,5
48011,2015,11,4
48011,2015,12,7
48011,2016,1,3
48011,2016,2,10
48011,2016,3,3
48011,2016,4,2
48011,2016,7,9
48011,2016,8,2
48011,2016,9,5
48011,2016,10,14
48011,2016,11,8
48011,2016,12,4
48011,2017,1,5
48011,2017,2,12
48011,2017,3,10
48011,2017,4,2
48011,2017,6,9
48011,2017,9,6
48011,2017,10,2
48011,2017,11,8
48011,2017,12,6
48011,2018,1,6
48011,2018,2,5
48011,2018,3,8
48011,2018,4,4
48011,2018,5,17
48011,2018,6,10
48011,2018,7,5
48011,2018,8,5
48011,2018,9,1
48011,2018,11,2
48011,2019,1,5
48011,2019,2,4
48011,2019,3,2
48011,2019,4,5
48011,2019,7,6
48011,2019,8,16
48011,2019,9,12
48011,2019,10,1
48011,2019,11,2
48011,2019,12,5
48011,2020,1,2
48011,2020,2,2
48011,2020,3,2
48011,2020,4,4
48011,2020,5,9
48011,2020,6,4
48011,2020,7,9
48011,2020,8,10
48011,2020,9,2
48011,2020,10,11
48011,2020,11,7
48011,2020,12,7
48011,2021,2,2
48011,2021,4,4
48011,2021,6,8
48011,2021,8,4
48011,2021,9,5
48011,2021,10,8
48011,2021,11,6
48011,2021,12,18
48011,2022,1,5
48011,2022,3,7
48011,2022,4,4
48011,2022,5,17
48011,2022,6,10
48011,2022,7,15
48011,2022,8,6
48011,2022,9,6
48011,2022,10,5
48011,2022,12,5
48011,2023,1,10
48011,2023,2,7
48011,2023,3,3
48011,2023,4,7
48011,2023,5,3
48011,2023,6,8
48011,2023,7,12
48011,2023,8,20
48011,2023,9,15
48011,2023,10,10
48011,2023,11,5
48011,2023,12,2
48011,2024,1,3
48011,2024,2,8
48011,2024,3,5
48011,2024,4,2
48011,2024,5,5
48011,2024,6,12
48011,2024,7,5
48011,2024,8,19
48011,2024,9,9
48011,2024,10,17
48011,2024,11,4
48011,2024,12,6
48011,2025,2,9
48011,2025,3,11
48011,2025,4,4
48011,2025,5,2
48011,2025,7,2
48011,2025,8,7
48011,2025,9,2
48011,2025,10,8
48011,2025,11,11
48011,2025,12,11
48013,2015,1,2
48013,2015,2,2
48013,2015,8,8
48013,2015,9,9
48013,2015,10,4
48013,2015,11,2
48013,2015,12,7
48013,2016,1,1
48013,2016,2,5
48013,2016,3,2
48013,2016,4,2
48013,2016,6,5
48013,2016,7,10
48013,2016,8,2
48013,2016,9,5
48013,2016,10,12
48013,2016,11,8
48013,2016,12,5
48013,2017,1,13
48013,2017,2,15
48013,2017,3,3
48013,2017,4,4
48013,2017,5,3
48013,2017,6,6
48013,2017,7,10
48013,2017,8,8
48013,2017,9,4
48013,2017,11,9
48013,2017,12,2
48013,2018,2,2
48013,2018,3,6
48013,2018,4,3
48013,2018,5,6
48013,2018,6,8
48013,2018,9,2
48013,2018,10,12
48013,2018,11,2
48013,2019,1,3
48013,2019,2,2
48013,2019,3,2
48013,2019,5,8
48013,2019,6,10
48013,2019,8,18
48013,2019,9,20
48013,2019,10,4
48013,2019,12,2
48013,2020,1,5
48013,2020,3,10
48013,2020,4,5
48013,2020,5,10
48013,2020,6,5
48013,2020,7,5
48013,2020,8,16
48013,2020,9,6
48013,2020,10,7
48013,2020,11,8
48013,2020,12,5
48013,2021,3,2
48013,2021,4,6
48013,2021,5,9
48013,2021,6,10
48013,2021,8,13
48013,2021,9,9
48013,2021,10,6
48013,2021,11,2
48013,2021,12,19
48013,2022,1,1
48013,2022,3,8
48013,2022,4,11
48013,2022,5,16
48013,2022,6,9
48013,2022,7,19
48013,2022,8,5
48013,2022,10,4
48013,2022,11,2
48013,2022,12,6
48013,2023,1,12
48013,2023,2,5
48013,2023,3,7
48013,2023,4,5
48013,2023,6,11
48013,2023,7,9
48013,2023,8,19
48013,2023,9,13
48013,2023,10,8
48013,2023,11,2
48013,2024,2,3
48013,2024,3,5
48013,2024,4,3
48013,2024,5,10
48013,2024,6,8
48013,2024,8,3
48013,2024,9,5
48013,2024,10,9
48013,2024,11,10
48013,2024,12,7
48013,2025,2,7
48013,2025,3,10
48013,2025,4,4
48013,2025,5,10
48013,2025,8,2
48013,2025,9,4
48013,2025,11,9
48013,2025,12,8
48015,2015,1,3
48015,2015,2,2
48015,2015,3,3
48015,2015,4,6
48015,2015,6,2
48015,2015,7,2
48015,2015,8,8
48015,2015,9,5
48015,2015,10,2
48015,2015,12,9
48015,2016,1,1
48015,2016,2,7
48015,2016,3,6
48015,2016,4,3
48015,2016,5,5
48015,2016,7,12
48015,2016,9,4
48015,2016,10,7
48015,2016,11,4
48015,2016,12,6
48015,2017,1,10
48015,2017,2,15
48015,2017,3,12
48015,2017,4,4
48015,2017,5,5
48015,2017,7,3
48015,2017,8,6
48015,2017,10,3
48015,2017,11,8
48015,2017,12,3
48015,2018,2,8
48015,2018,3,9
48015,2018,5,6
48015,2018,6,3
48015,2018,9,4
48015,2018,10,9
48015,2018,11,3
48015,2019,2,2
48015,2019,3,2
48015,2019,4,3
48015,2019,5,4
48015,2019,6,6
48015,2019,8,2
48015,2019,9,4
48015,2019,10,9
48015,2020,1,4
48015,2020,3,13
48015,2020,4,3
48015,2020,8,3
48015,2020,9,1
48015,2020,12,4
48015,2021,3,2
48015,2021,6,2
48015,2021,9,2
48015,2021,10,2
48015,2021,12,14
48015,2022,1,2
48015,2022,2,2
48015,2022,3,2
48015,2022,4,2
48015,2022,5,5
48015,2022,6,2
48015,2022,7,6
48015,2022,8,4
48015,2022,11,4
48015,2022,12,8
48015,2023,1,11
48015,2023,2,8
48015,2023,3,7
48015,2023,4,4
48015,2023,5,3
48015,2023,6,9
48015,2023,7,4
48015,2023,8,14
48015,2023,9,13
48015,2023,10,3
48015,2023,11,2
48015,2023,12,2
48015,2024,2,4
48015,2024,3,5
48015,2024,5,8
48015,2024,6,9
48015,2024,7,3
48015,2024,8,10
48015,2024,9,4
48015,2024,10,6
48015,2024,11,8
48015,2024,12,5
48015,2025,2,8
