county_fips,year,classified_dates,events_started
48001,2015,55,16
48001,2016,76,20
48001,2017,71,26
48001,2018,43,11
48001,2019,39,14
48001,2020,42,16
48001,2021,59,17
48001,2022,53,17
48001,2023,82,21
48001,2024,80,22
48001,2025,72,22
48003,2015,41,15
48003,2016,49,15
48003,2017,72,24
48003,2018,40,13
48003,2019,37,13
48003,2020,51,19
48003,2021,53,16
48003,2022,31,12
48003,2023,61,18
48003,2024,41,14
48003,2025,49,16
48005,2015,49,15
48005,2016,77,22
48005,2017,57,19
48005,2018,59,18
48005,2019,28,9
48005,2020,55,16
48005,2021,80,23
48005,2022,53,20
48005,2023,96,23
48005,2024,90,22
48005,2025,76,19
48007,2015,63,18
48007,2016,113,27
48007,2017,181,36
48007,2018,47,15
48007,2019,81,23
48007,2020,122,30
48007,2021,76,24
48007,2022,116,22
48007,2023,165,18
48007,2024,175,27
48007,2025,186,35
48009,2015,30,10
48009,2016,64,20
48009,2017,39,14
48009,2018,17,6
48009,2019,27,7
48009,2020,27,11
48009,2021,36,9
48009,2022,48,16
48009,2023,54,18
48009,2024,55,17
48009,2025,46,13
48011,2015,58,17
48011,2016,60,18
48011,2017,60,20
48011,2018,63,21
48011,2019,58,17
48011,2020,69,23
48011,2021,55,19
48011,2022,80,23
48011,2023,102,29
48011,2024,95,25
48011,2025,67,20
48013,2015,34,12
48013,2016,57,17
48013,2017,77,25
48013,2018,41,15
48013,2019,69,16
48013,2020,82,25
48013,2021,76,25
48013,2022,81,21
48013,2023,91,22
48013,2024,63,20
48013,2025,54,13
48015,2015,42,14
48015,2016,55,18
48015,2017,69,23
48015,2018,42,14
48015,2019,32,9
48015,2020,28,9
48015,2021,22,7
48015,2022,37,13
48015,2023,80,24
48015,2024,62,17
48015,2025,73,20
48017,2015,30,11
48017,2016,32,10
48017,2017,53,18
48017,2018,39,15
48017,2019,35,13
48017,2020,53,16
48017,2021,43,13
48017,2022,36,12
48017,2023,57,21
48017,2024,68,24
48017,2025,47,13
48019,2015,53,15
48019,2016,84,22
48019,2017,108,33
48019,2018,47,17
48019,2019,69,22
48019,2020,53,19
48019,2021,35,14
48019,2022,75,22
48019,2023,100,27
48019,2024,50,15
48019,2025,69,17
48021,2015,32,11
48021,2016,64,17
48021,2017,71,22
48021,2018,18,9
48021,2019,40,15
48021,2020,47,15
48021,2021,37,12
48021,2022,51,19
48021,2023,82,24
48021,2024,92,25
48021,2025,75,21
48023,2015,47,15
48023,2016,52,17
48023,2017,45,16
48023,2018,29,11
48023,2019,26,7
48023,2020,35,15
48023,2021,41,10
48023,2022,64,18
48023,2023,67,22
48023,2024,81,22
48023,2025,55,16
48025,2015,18,6
48025,2016,45,13
48025,2017,66,22
48025,2018,55,18
48025,2019,57,21
48025,2020,84,23
48025,2021,51,17
48025,2022,54,19
48025,2023,131,30
48025,2024,78,24
48025,2025,92,26
48027,2015,36,14
48027,2016,68,17
48027,2017,58,18
48027,2018,26,11
48027,2019,48,12
48027,2020,46,17
48027,2021,43,13
48027,2022,69,20
48027,2023,98,24
48027,2024,107,30
48027,2025,80,24
48029,2015,65,22
48029,2016,96,26
48029,2017,89,27
48029,2018,30,11
48029,2019,24,8
48029,2020,48,15
48029,2021,39,12
48029,2022,85,24
48029,2023,81,21
48029,2024,93,21
48029,2025,83,20
48031,2015,32,12
48031,2016,39,14
48031,2017,58,22
48031,2018,22,10
48031,2019,45,9
48031,2020,40,14
48031,2021,55,17
48031,2022,158,33
48031,2023,141,26
48031,2024,123,24
48031,2025,87,22
48033,2015,33,13
48033,2016,34,11
48033,2017,34,12
48033,2018,33,11
48033,2019,34,13
48033,2020,40,14
48033,2021,39,11
48033,2022,48,14
48033,2023,59,18
48033,2024,50,16
48033,2025,41,14
48035,2015,20,8
48035,2016,42,14
48035,2017,33,12
48035,2018,11,4
48035,2019,14,5
48035,2020,20,10
48035,2021,29,8
48035,2022,34,11
48035,2023,73,21
48035,2024,51,13
48035,2025,43,11
48037,2015,37,10
48037,2016,72,20
48037,2017,57,21
48037,2018,54,11
