county_fips,year,month,classified_dates
48001,2015,8,2
48001,2016,8,5
48001,2016,9,4
48001,2019,9,3
48001,2021,6,2
48001,2022,7,4
48001,2022,9,2
48001,2023,8,8
48001,2023,9,4
48001,2024,6,8
48001,2024,7,5
48001,2024,9,2
48001,2025,6,2
48001,2025,8,2
48003,2015,7,3
48003,2015,9,2
48003,2016,7,9
48003,2017,6,3
48003,2017,9,2
48003,2019,8,2
48003,2020,7,3
48003,2020,9,2
48003,2023,7,6
48003,2023,8,7
48003,2023,9,3
48003,2024,9,3
48003,2025,8,2
48005,2015,8,2
48005,2016,7,3
48005,2016,8,3
48005,2016,9,2
48005,2018,6,4
48005,2020,8,2
48005,2021,6,4
48005,2021,9,2
48005,2022,7,5
48005,2023,6,2
48005,2023,8,4
48005,2024,6,7
48005,2024,7,5
48005,2024,8,8
48005,2025,8,2
48007,2016,6,2
48007,2016,7,6
48007,2016,8,3
48007,2017,6,14
48007,2017,7,19
48007,2017,8,21
48007,2019,6,4
48007,2020,6,2
48007,2020,7,2
48007,2020,8,11
48007,2020,9,3
48007,2021,6,2
48007,2022,6,6
48007,2022,7,7
48007,2023,6,13
48007,2023,7,19
48007,2023,8,26
48007,2023,9,17
48007,2024,6,23
48007,2024,7,16
48007,2024,8,22
48007,2024,9,9
48007,2025,6,10
48007,2025,7,9
48007,2025,8,13
48007,2025,9,5
48009,2016,7,2
48009,2017,7,2
48009,2023,6,2
48009,2023,7,2
48009,2023,9,2
48011,2015,9,4
48011,2019,8,4
48011,2019,9,2
48011,2020,7,2
48011,2020,8,3
48011,2020,9,2
48011,2021,6,5
48011,2022,6,4
48011,2022,7,2
48011,2022,9,2
48011,2023,6,2
48011,2023,7,7
48011,2023,8,8
48011,2023,9,7
48011,2024,6,4
48011,2024,8,7
48011,2024,9,6
48013,2016,7,2
48013,2016,8,2
48013,2019,6,5
48013,2019,8,4
48013,2019,9,8
48013,2020,7,2
48013,2020,8,5
48013,2020,9,2
48013,2021,8,2
48013,2022,7,9
48013,2023,7,4
48013,2023,8,6
48013,2023,9,3
48013,2024,8,2
48015,2015,8,2
48015,2016,7,2
48015,2016,9,2
48015,2019,6,3
48015,2020,8,2
48015,2022,7,2
48015,2022,8,2
48015,2023,9,4
48015,2024,8,2
48015,2025,6,2
48015,2025,9,2
48017,2019,8,2
48017,2020,6,2
48017,2020,7,6
48017,2020,8,2
48017,2020,9,2
48017,2021,6,2
48017,2022,6,2
48017,2023,7,5
48017,2023,8,2
48017,2023,9,2
48017,2024,8,2
48017,2024,9,4
48017,2025,8,2
48019,2015,7,2
48019,2016,7,2
48019,2016,8,2
48019,2016,9,6
48019,2017,6,2
48019,2017,7,10
48019,2017,8,3
48019,2017,9,2
48019,2018,6,7
48019,2018,7,2
48019,2018,8,2
48019,2019,8,8
48019,2019,9,8
48019,2020,7,2
48019,2020,8,3
48019,2020,9,1
48019,2022,6,5
48019,2022,7,12
48019,2022,8,2
48019,2023,7,7
48019,2023,8,9
48019,2023,9,5
48021,2016,8,2
48021,2016,9,4
48021,2017,7,2
48021,2017,8,2
48021,2021,6,2
48021,2023,6,2
48021,2023,8,4
48021,2023,9,7
48021,2024,8,2
48021,2024,9,2
48023,2015,8,2
48023,2016,9,2
48023,2017,9,3
48023,2023,6,2
48023,2023,7,2
48023,2023,8,2
48023,2023,9,4
48023,2024,6,4
48023,2024,8,4
48023,2024,9,5
48025,2016,8,2
48025,2017,6,2
48025,2017,8,2
48025,2018,6,4
48025,2019,8,6
48025,2019,9,2
48025,2020,8,3
48025,2020,9,4
48025,2023,6,2
48025,2023,7,13
48025,2023,8,10
48025,2023,9,12
48025,2024,6,5
48025,2024,8,2
48025,2025,8,5
48025,2025,9,1
48027,2016,6,3
48027,2016,7,5
48027,2016,9,5
48027,2019,8,2
48027,2019,9,8
48027,2020,8,5
48027,2020,9,1
48027,2021,6,4
48027,2021,9,2
48027,2022,7,4
48027,2023,6,5
48027,2023,7,7
48027,2023,8,12
48027,2023,9,9
48027,2024,6,3
48027,2024,8,2
48027,2024,9,3
48027,2025,6,2
48029,2015,8,3
48029,2016,7,11
48029,2016,9,4
48029,2017,9,2
48029,2018,6,2
48029,2019,9,3
48029,2020,8,4
48029,2020,9,1
48029,2022,7,2
48029,2023,7,6
48029,2023,8,7
48029,2023,9,7
48029,2024,6,9
48029,2024,8,2
48029,2024,9,2
48031,2016,7,2
48031,2016,9,2
48031,2017,7,2
48031,2017,8,2
48031,2019,8,2
48031,2019,9,6
48031,2020,7,5
48031,2020,8,2
48031,2020,9,4
48031,2021,6,2
48031,2022,6,10
48031,2022,7,16
48031,2022,8,12
48031,2022,9,5
