county_fips,year,classified_dates,events_started
48001,2015,2,1
48001,2016,9,2
48001,2019,3,1
48001,2021,2,1
48001,2022,6,2
48001,2023,12,4
48001,2024,15,2
48001,2025,4,2
48003,2015,5,2
48003,2016,9,2
48003,2017,5,2
48003,2019,2,1
48003,2020,5,2
48003,2023,16,4
48003,2024,3,1
48003,2025,2,1
48005,2015,2,1
48005,2016,8,3
48005,2018,4,2
48005,2020,2,1
48005,2021,6,3
48005,2022,5,1
48005,2023,6,3
48005,2024,20,5
48005,2025,2,1
48007,2016,11,5
48007,2017,54,9
48007,2019,4,1
48007,2020,18,6
48007,2021,2,1
48007,2022,13,4
48007,2023,75,11
48007,2024,70,9
48007,2025,37,11
48009,2016,2,1
48009,2017,2,1
48009,2023,6,3
48011,2015,4,2
48011,2019,6,2
48011,2020,7,3
48011,2021,5,2
48011,2022,8,3
48011,2023,24,9
48011,2024,17,6
48013,2016,4,2
48013,2019,17,6
48013,2020,9,2
48013,2021,2,1
48013,2022,9,3
48013,2023,13,4
48013,2024,2,1
48015,2015,2,1
48015,2016,4,2
48015,2019,3,1
48015,2020,2,1
48015,2022,4,2
48015,2023,4,1
48015,2024,2,1
48015,2025,4,2
48017,2019,2,1
48017,2020,12,4
48017,2021,2,1
48017,2022,2,1
48017,2023,9,4
48017,2024,6,3
48017,2025,2,1
48019,2015,2,1
48019,2016,10,3
48019,2017,17,6
48019,2018,11,5
48019,2019,16,5
48019,2020,6,2
48019,2022,19,6
48019,2023,21,4
48021,2016,6,2
48021,2017,4,2
48021,2021,2,1
48021,2023,13,4
48021,2024,4,2
48023,2015,2,1
48023,2016,2,1
48023,2017,3,1
48023,2023,10,5
48023,2024,13,4
48025,2016,2,1
48025,2017,4,2
48025,2018,4,2
48025,2019,8,3
48025,2020,7,2
48025,2023,37,9
48025,2024,7,3
48025,2025,6,2
48027,2016,13,4
48027,2019,10,4
48027,2020,6,3
48027,2021,6,3
48027,2022,4,2
48027,2023,33,8
48027,2024,8,3
48027,2025,2,1
48029,2015,3,1
48029,2016,15,3
48029,2017,2,1
48029,2018,2,1
48029,2019,3,1
48029,2020,5,1
48029,2022,2,1
48029,2023,20,4
48029,2024,13,6
48031,2016,4,2
48031,2017,4,2
48031,2019,8,3
48031,2020,11,4
48031,2021,2,1
48031,2022,43,9
48031,2023,64,11
48031,2024,25,6
48031,2025,2,1
48033,2017,3,1
48033,2018,2,1
48033,2019,8,3
48033,2020,2,1
48033,2023,14,5
48033,2024,4,1
48035,2023,12,4
48037,2016,10,4
48037,2018,2,1
48037,2019,6,2
48037,2022,2,1
48037,2023,9,4
48037,2024,7,2
48039,2015,8,3
48039,2016,45,10
48039,2018,2,1
48039,2019,5,1
48039,2020,7,2
48039,2021,3,1
48039,2023,38,12
48039,2024,20,5
48041,2016,5,2
48041,2020,2,1
48041,2021,5,2
48041,2022,13,5
48041,2023,42,9
48041,2024,4,2
48041,2025,3,1
48043,2019,13,4
48043,2020,4,1
48043,2021,4,2
48043,2023,23,6
48043,2024,16,5
48045,2015,2,1
48045,2016,2,1
48045,2018,3,1
48045,2019,12,3
48045,2020,11,4
48045,2021,2,1
48045,2022,10,4
48045,2023,15,6
48045,2024,25,5
48045,2025,5,2
48047,2019,4,2
48047,2020,3,1
48049,2015,8,3
48049,2016,2,1
48049,2017,3,1
48049,2018,7,3
48049,2019,7,1
48049,2021,2,1
48049,2022,4,2
48049,2023,4,2
48049,2024,2,1
48049,2025,5,2
48051,2015,10,5
48051,2016,17,6
48051,2017,7,3
48051,2018,8,3
48051,2019,22,8
48051,2022,2,1
48051,2023,2,1
48051,2024,2,1
48053,2016,13,4
48053,2018,5,2
48053,2019,8,4
48053,2021,4,2
48053,2022,10,2
48053,2023,39,7
48053,2024,12,5
48055,2015,8,3
48055,2016,11,4
48055,2017,16,5
48055,2019,11,5
48055,2020,11,4
48055,2021,3,1
48055,2022,8,3
48055,2023,34,8
48055,2024,7,3
48057,2016,2,1
48057,2017,4,2
48057,2019,4,1
48057,2020,7,3
48057,2023,20,6
48057,2024,52,8
48057,2025,41,14
48059,2016,2,1
48059,2017,2,1
48059,2019,7,2
48059,2020,4,2
48059,2022,4,2
48059,2023,15,6
48059,2024,3,1
48059,2025,4,2
48061,2016,12,4
48061,2017,24,7
48061,2018,19,5
48061,2019,33,8
48061,2020,8,1
48061,2021,8,3
48061,2022,23,5
48061,2023,84,9
48061,2024,20,4
48061,2025,18,6
48063,2015,23,8
48063,2016,13,3
48063,2018,3,1
48063,2019,2,1
48063,2020,2,1
48063,2023,9,4
48063,2024,6,3
48065,2019,2,1
48065,2023,6,3
48065,2024,6,3
48067,2015,6,3
48067,2016,8,4
48067,2018,5,2
48067,2019,2,1
48067,2021,2,1
48067,2023,5,2
48069,2015,2,1
48069,2016,2,1
48069,2019,5,2
48069,2020,5,2
48069,2022,2,1
48069,2023,9,3
48069,2024,13,6
48071,2015,2,1
48071,2016,2,1
48071,2023,16,6
48071,2024,9,3
48073,2015,2,1
48073,2016,5,2
48073,2025,2,1
48075,2015,5,2
48075,2016,2,1
48075,2019,10,4
48075,2020,4,2
48075,2021,4,1
48075,2022,5,2
48075,2023,10,5
48075,2024,16,3
48077,2023,6,3
48079,2015,3,1
48079,2016,10,3
48079,2017,4,2
48079,2018,2,1
48079,2019,4,2
48079,2020,10,5
48079,2021,2,1
48079,2022,6,3
48079,2023,14,6
48079,2024,13,5
48081,2019,2,1
48081,2023,6,2
48081,2025,2,1
48083,2016,15,4
48083,2017,8,3
48083,2018,6,3
48083,2019,15,5
48083,2020,11,3
48083,2022,11,4
48083,2023,30,8
48083,2024,3,1
48083,2025,3,1
48085,2021,2,1
48085,2023,8,3
48085,2024,11,3
48087,2015,2,1
48087,2017,5,1
48087,2023,4,2
48089,2021,3,1
48089,2023,3,1
48089,2024,2,1
48091,2015,2,1
48091,2016,4,2
48091,2017,10,5
48091,2018,2,1
48091,2019,5,2
48091,2020,7,2
48091,2021,2,1
48091,2022,4,2
48091,2023,11,4
48091,2024,2,1
48093,2016,5,2
48093,2017,4,2
48093,2019,6,2
48093,2020,4,2
48093,2022,45,9
48093,2023,75,11
48093,2024,62,10
48093,2025,15,6
48095,2019,4,2
48095,2020,5,1
48095,2022,4,2
48095,2023,27,10
48095,2024,14,5
48095,2025,4,2
48097,2015,2,1
48097,2023,2,1
48097,2024,2,1
48099,2015,7,2
48099,2016,19,5
48099,2017,13,6
48099,2018,3,1
48099,2019,14,4
48099,2020,5,2
48099,2022,4,2
48099,2023,19,4
48099,2024,8,3
48099,2025,2,1
48101,2015,10,4
48101,2016,3,1
48101,2017,6,2
48101,2018,3,1
48101,2019,4,2
48101,2020,4,2
48101,2021,2,1
48101,2022,2,1
48101,2023,11,5
48101,2024,11,3
48103,2015,5,2
48103,2016,2,1
48103,2017,6,2
48103,2018,9,4
48103,2019,12,5
48103,2020,5,2
48103,2022,4,2
48103,2023,26,6
48103,2024,21,8
48103,2025,11,5
48105,2015,4,1
48105,2016,10,3
48105,2017,2,1
48105,2018,5,2
48105,2019,9,3
48105,2020,6,2
48105,2022,8,4
48105,2023,35,5
48105,2024,12,5
48105,2025,2,1
48107,2016,6,2
48107,2017,5,2
48107,2018,4,2
48107,2019,8,3
48107,2020,10,4
48107,2022,12,5
48107,2023,16,7
48107,2024,14,6
48107,2025,2,1
48111,2015,9,3
48111,2016,10,3
48111,2017,17,7
48111,2018,3,1
48111,2019,4,2
48111,2020,12,4
48111,2021,7,3
48111,2022,11,5
48111,2023,21,8
48111,2024,22,8
48113,2019,3,1
48113,2023,6,2
48113,2024,3,1
48115,2015,2,1
48115,2016,5,1
48115,2017,7,3
48115,2018,2,1
48115,2019,2,1
48115,2022,2,1
48115,2023,8,3
48115,2024,3,1
48117,2015,5,2
48117,2016,3,1
48117,2017,7,3
48117,2018,3,1
48117,2019,15,5
48117,2020,13,4
48117,2022,7,3
48117,2023,18,8
48117,2024,9,3
48117,2025,4,1
48119,2016,2,1
48119,2018,3,1
48119,2019,6,2
48119,2020,2,1
48119,2023,11,5
48119,2024,12,3
48121,2016,5,2
48121,2019,3,1
48121,2020,2,1
48121,2021,2,1
48121,2022,4,2
48121,2023,23,8
48121,2024,9,2
48123,2015,15,4
48123,2016,15,4
48123,2017,8,4
48123,2018,10,4
48123,2019,7,3
48123,2020,12,4
48123,2021,4,2
48123,2022,12,4
48123,2023,47,17
48123,2024,40,11
48123,2025,33,12
48125,2015,2,1
48125,2016,5,2
48125,2017,5,2
48125,2018,4,2
48125,2019,8,4
48125,2020,5,2
48125,2022,4,2
48125,2023,12,5
48125,2024,5,2
48125,2025,2,1
48127,2016,3,1
48127,2017,2,1
48127,2018,4,1
48127,2019,8,3
48127,2020,3,1
48127,2023,14,3
48127,2024,2,1
48127,2025,6,3
48129,2015,4,2
48129,2022,2,1
48129,2023,7,3
48129,2024,3,1
48131,2015,4,2
48131,2019,4,2
48131,2020,5,2
48131,2022,9,3
48131,2023,29,8
48131,2024,14,6
48131,2025,9,3
48133,2016,14,4
48133,2017,5,2
48133,2019,7,3
48133,2020,2,1
48133,2021,2,1
48133,2022,8,3
48133,2023,31,8
48133,2024,12,4
48135,2015,2,1
48135,2017,2,1
48135,2019,7,3
48135,2020,2,1
48135,2023,23,6
48135,2024,2,1
48137,2017,7,2
48137,2023,4,2
48137,2024,2,1
48137,2025,4,1
48139,2016,3,1
48139,2019,6,3
48139,2020,4,1
48139,2021,4,2
48139,2022,13,3
48139,2023,6,2
48139,2024,14,3
48141,2017,2,1
48141,2019,3,1
48141,2020,9,2
48141,2022,5,2
48141,2023,21,6
48141,2024,15,6
48143,2016,15,3
48143,2017,2,1
48143,2018,4,2
48143,2019,7,3
48143,2020,2,1
48143,2021,5,2
48143,2022,18,6
48143,2023,32,9
48143,2024,6,1
48145,2016,12,3
48145,2019,5,2
48145,2023,14,2
48145,2024,19,4
48147,2015,9,3
48147,2016,13,6
48147,2018,2,1
48147,2019,5,2
48147,2020,5,2
48147,2021,4,2
48147,2023,4,2
48147,2024,22,4
48149,2016,3,1
48149,2019,6,2
48149,2020,8,2
48149,2021,6,3
48149,2022,6,2
48149,2023,21,4
48151,2015,2,1
48151,2016,4,2
48151,2017,2,1
48151,2019,2,1
48151,2020,3,1
48151,2022,2,1
48151,2023,3,1
48153,2016,2,1
48153,2020,4,2
48153,2022,4,2
48153,2023,6,2
48153,2024,9,4
48155,2015,4,2
48155,2016,11,4
48155,2017,2,1
48155,2018,2,1
48155,2019,11,5
48155,2020,5,2
48155,2021,2,1
48155,2022,7,3
48155,2023,19,8
48155,2024,12,4
48157,2020,4,1
48157,2021,2,1
48157,2022,5,2
48157,2023,35,6
48157,2024,12,5
48159,2016,21,8
48159,2018,6,2
48159,2019,6,3
48159,2020,4,2
48159,2022,4,2
48159,2023,11,5
48159,2024,2,1
