county_fips,year,classified_dates,events_started
48001,2015,63,18
48001,2016,70,21
48001,2017,69,22
48001,2018,37,12
48001,2019,35,10
48001,2020,51,16
48001,2021,55,15
48001,2022,60,19
48001,2023,74,24
48001,2024,92,23
48001,2025,85,22
48003,2015,61,23
48003,2016,50,15
48003,2017,80,26
48003,2018,37,13
48003,2019,33,11
48003,2020,40,16
48003,2021,56,18
48003,2022,17,7
48003,2023,31,11
48003,2024,34,12
48003,2025,48,14
48005,2015,62,17
48005,2016,96,23
48005,2017,64,20
48005,2018,82,23
48005,2019,48,14
48005,2020,62,19
48005,2021,77,23
48005,2022,83,29
48005,2023,97,26
48005,2024,92,27
48005,2025,98,22
48007,2015,59,19
48007,2016,123,34
48007,2017,134,38
48007,2018,63,19
48007,2019,69,25
48007,2020,150,40
48007,2021,77,24
48007,2022,115,27
48007,2023,185,19
48007,2024,167,25
48007,2025,148,32
48009,2015,34,8
48009,2016,73,20
48009,2017,56,20
48009,2018,27,11
48009,2019,25,8
48009,2020,50,19
48009,2021,42,10
48009,2022,38,15
48009,2023,51,18
48009,2024,58,16
48009,2025,63,18
48011,2015,89,26
48011,2016,88,27
48011,2017,83,25
48011,2018,61,19
48011,2019,69,20
48011,2020,82,29
48011,2021,73,25
48011,2022,73,26
48011,2023,95,30
48011,2024,106,29
48011,2025,97,29
48013,2015,30,9
48013,2016,50,12
48013,2017,81,28
48013,2018,17,6
48013,2019,34,14
48013,2020,57,20
48013,2021,50,16
48013,2022,54,16
48013,2023,62,18
48013,2024,44,15
48013,2025,60,15
48015,2015,39,12
48015,2016,61,20
48015,2017,62,19
48015,2018,36,13
48015,2019,45,15
48015,2020,29,10
48015,2021,36,12
48015,2022,64,21
48015,2023,68,21
48015,2024,56,17
48015,2025,88,24
48017,2015,46,18
48017,2016,41,13
48017,2017,68,21
48017,2018,37,15
48017,2019,44,17
48017,2020,39,14
48017,2021,59,20
48017,2022,33,13
48017,2023,49,17
48017,2024,76,26
48017,2025,71,20
48019,2015,43,13
48019,2016,62,16
48019,2017,96,30
48019,2018,35,13
48019,2019,49,17
48019,2020,56,21
48019,2021,40,16
48019,2022,64,21
48019,2023,81,21
48019,2024,50,16
48019,2025,53,13
48021,2015,34,11
48021,2016,50,14
48021,2017,70,22
48021,2018,16,7
48021,2019,31,10
48021,2020,44,15
48021,2021,45,15
48021,2022,55,22
48021,2023,56,17
48021,2024,103,31
48021,2025,96,27
48023,2015,58,16
48023,2016,65,17
48023,2017,67,20
48023,2018,33,14
48023,2019,22,8
48023,2020,66,24
48023,2021,46,12
48023,2022,64,22
48023,2023,64,20
48023,2024,78,18
48023,2025,71,19
48025,2015,21,7
48025,2016,59,14
48025,2017,72,21
