county_fips,year,classified_dates,events_started
48001,2015,35,12
48001,2016,48,14
48001,2017,58,21
48001,2018,22,7
48001,2019,26,8
48001,2020,35,13
48001,2021,39,10
48001,2022,37,12
48001,2023,41,15
48001,2024,72,19
48001,2025,67,17
48003,2015,38,15
48003,2016,43,12
48003,2017,57,21
48003,2018,28,10
48003,2019,20,8
48003,2020,18,7
48003,2021,43,15
48003,2022,9,5
48003,2023,21,7
48003,2024,23,10
48003,2025,39,13
48005,2015,35,11
48005,2016,56,16
48005,2017,48,16
48005,2018,50,16
48005,2019,28,8
48005,2020,42,14
48005,2021,59,17
48005,2022,48,18
48005,2023,65,18
48005,2024,68,20
48005,2025,78,20
48007,2015,42,13
48007,2016,89,22
48007,2017,107,31
48007,2018,45,15
48007,2019,54,21
48007,2020,106,32
48007,2021,56,18
48007,2022,84,19
48007,2023,168,17
48007,2024,146,24
48007,2025,124,29
48009,2015,26,8
48009,2016,56,18
48009,2017,35,13
48009,2018,8,4
48009,2019,11,4
48009,2020,36,16
48009,2021,33,8
48009,2022,25,9
48009,2023,29,11
48009,2024,42,13
48009,2025,51,15
48011,2015,70,22
48011,2016,65,19
48011,2017,58,21
48011,2018,54,19
48011,2019,50,18
48011,2020,50,22
48011,2021,49,17
48011,2022,39,14
48011,2023,67,24
48011,2024,75,24
48011,2025,76,23
48013,2015,20,8
48013,2016,26,9
48013,2017,42,15
48013,2018,2,1
48013,2019,19,8
48013,2020,34,13
48013,2021,38,12
48013,2022,29,9
48013,2023,32,9
48013,2024,26,9
48013,2025,40,12
48015,2015,25,8
48015,2016,43,14
48015,2017,52,16
48015,2018,17,7
48015,2019,17,5
48015,2020,17,7
48015,2021,21,6
48015,2022,34,13
48015,2023,54,19
48015,2024,34,10
48015,2025,61,17
48017,2015,31,14
48017,2016,28,10
48017,2017,48,16
48017,2018,21,10
48017,2019,29,12
48017,2020,28,11
48017,2021,39,12
48017,2022,20,8
48017,2023,30,12
48017,2024,53,21
48017,2025,49,14
48019,2015,28,10
48019,2016,39,13
48019,2017,74,27
48019,2018,12,6
48019,2019,40,16
48019,2020,29,13
48019,2021,21,9
48019,2022,48,16
48019,2023,50,16
48019,2024,26,8
48019,2025,34,7
48021,2015,20,6
48021,2016,33,10
48021,2017,47,17
48021,2018,10,5
48021,2019,25,9
48021,2020,25,9
48021,2021,34,12
48021,2022,32,12
48021,2023,47,14
48021,2024,66,22
48021,2025,78,22
48023,2015,43,13
48023,2016,48,15
48023,2017,43,15
48023,2018,15,7
48023,2019,14,5
48023,2020,41,17
48023,2021,38,10
48023,2022,46,16
48023,2023,38,14
48023,2024,54,16
48023,2025,48,12
48025,2015,16,5
48025,2016,44,11
48025,2017,55,17
48025,2018,28,8
48025,2019,42,16
48025,2020,62,21
48025,2021,35,12
48025,2022,63,22
48025,2023,99,25
48025,2024,46,15
48025,2025,75,23
48027,2015,26,9
48027,2016,44,11
48027,2017,47,16
48027,2018,9,4
48027,2019,32,12
48027,2020,28,12
48027,2021,44,14
48027,2022,25,10
48027,2023,33,10
48027,2024,53,16
48027,2025,63,17
48029,2015,26,10
48029,2016,55,15
48029,2017,63,21
48029,2018,8,4
48029,2019,12,5
48029,2020,25,11
48029,2021,21,7
48029,2022,29,12
48029,2023,42,14
48029,2024,36,11
48029,2025,60,14
48031,2015,26,10
48031,2016,16,7
48031,2017,34,14
48031,2018,6,3
48031,2019,16,7
48031,2020,16,6
48031,2021,35,10
48031,2022,98,31
48031,2023,83,24
48031,2024,79,22
48031,2025,52,12
48033,2015,23,8
48033,2016,35,11
48033,2017,37,13
48033,2018,15,7
48033,2019,15,6
48033,2020,26,11
48033,2021,32,10
48033,2022,12,6
48033,2023,28,9
48033,2024,15,6
48033,2025,34,11
48035,2015,18,7
48035,2016,39,12
48035,2017,25,11
48035,2018,7,3
48035,2019,17,7
48035,2020,19,9
48035,2021,25,5
48035,2022,12,4
48035,2023,38,13
48035,2024,30,9
48035,2025,41,8
48037,2015,51,15
48037,2016,69,16
48037,2017,48,16
48037,2018,55,9
48037,2019,44,11
