county_fips,year,month,classified_dates
48001,2015,1,3
48001,2015,6,2
48001,2015,8,3
48001,2015,10,2
48001,2015,12,7
48001,2016,1,1
48001,2016,2,1
48001,2016,3,2
48001,2016,10,4
48001,2016,11,3
48001,2016,12,2
48001,2017,1,4
48001,2017,2,3
48001,2017,4,2
48001,2017,10,2
48001,2018,5,2
48001,2019,4,2
48001,2019,9,2
48001,2019,10,4
48001,2020,3,2
48001,2020,4,3
48001,2021,12,13
48001,2022,1,1
48001,2022,9,2
48001,2022,12,2
48001,2023,2,3
48001,2023,3,1
48001,2024,3,2
48001,2024,6,1
48001,2024,7,2
48001,2024,10,8
48001,2024,12,3
48001,2025,2,7
48001,2025,3,8
48001,2025,4,2
48001,2025,10,3
48001,2025,11,6
48001,2025,12,6
48003,2015,1,2
48003,2015,2,2
48003,2015,7,3
48003,2015,8,2
48003,2015,12,2
48003,2016,1,1
48003,2016,2,5
48003,2016,10,4
48003,2016,12,2
48003,2017,1,2
48003,2017,2,2
48003,2017,3,4
48003,2017,6,1
48003,2017,7,3
48003,2017,10,2
48003,2017,11,7
48003,2018,10,2
48003,2019,3,2
48003,2019,8,2
48003,2019,12,2
48003,2021,12,10
48003,2023,7,2
48003,2024,12,2
48003,2025,2,4
48003,2025,8,2
48003,2025,11,2
48003,2025,12,6
48005,2015,1,2
48005,2015,8,2
48005,2015,10,2
48005,2015,12,5
48005,2016,1,1
48005,2016,2,1
48005,2016,3,2
48005,2016,10,4
48005,2016,11,3
48005,2016,12,3
48005,2017,1,5
48005,2017,2,7
48005,2017,10,2
48005,2018,3,2
48005,2018,5,6
48005,2018,6,5
48005,2020,3,3
48005,2020,4,2
48005,2021,6,3
48005,2021,9,2
48005,2021,10,2
48005,2021,12,12
48005,2022,1,1
48005,2022,6,3
48005,2022,11,3
48005,2022,12,5
48005,2023,2,1
48005,2023,3,4
48005,2024,2,3
48005,2024,5,2
48005,2024,6,2
48005,2024,7,1
48005,2024,10,6
48005,2024,12,3
48005,2025,2,8
48005,2025,3,4
48005,2025,10,3
48005,2025,11,4
48007,2015,7,2
48007,2015,8,5
48007,2015,9,1
48007,2015,10,1
48007,2015,12,5
48007,2016,2,4
48007,2016,4,1
48007,2016,5,1
48007,2016,6,4
48007,2016,9,4
48007,2016,10,7
48007,2016,11,4
48007,2016,12,4
48007,2017,1,7
48007,2017,2,14
48007,2017,3,1
48007,2017,4,3
48007,2017,6,6
48007,2017,7,2
48007,2017,12,4
48007,2018,3,2
48007,2018,5,7
48007,2018,6,2
48007,2019,4,2
48007,2019,6,3
48007,2019,7,3
48007,2019,9,2
48007,2019,10,4
48007,2019,11,2
48007,2019,12,2
48007,2020,1,2
48007,2020,2,2
48007,2020,4,5
48007,2020,5,3
48007,2020,6,3
48007,2020,7,2
48007,2020,8,8
48007,2020,9,2
48007,2020,11,2
48007,2021,1,2
48007,2021,6,3
48007,2021,12,16
48007,2022,1,3
48007,2022,5,8
48007,2022,6,9
48007,2022,7,5
48007,2022,10,2
48007,2022,12,2
48007,2023,1,5
48007,2023,2,2
48007,2023,3,7
48007,2023,6,11
48007,2023,7,21
48007,2023,8,29
48007,2023,9,22
48007,2023,10,2
48007,2024,5,14
48007,2024,6,10
48007,2024,7,11
48007,2024,8,14
48007,2024,9,3
48007,2024,10,2
48007,2024,11,7
48007,2024,12,7
48007,2025,2,7
48007,2025,3,2
48007,2025,5,2
48007,2025,10,2
48007,2025,11,2
48007,2025,12,9
48009,2015,2,3
48009,2015,12,2
48009,2016,2,2
48009,2016,7,4
48009,2016,10,6
48009,2016,11,5
48009,2017,1,2
48009,2017,2,2
48009,2017,3,6
48009,2017,7,2
48009,2020,5,3
48009,2020,8,2
48009,2021,12,8
48009,2022,3,2
48009,2023,1,2
48009,2023,2,2
48009,2023,6,2
48009,2023,9,2
48009,2023,11,2
48009,2024,2,2
48009,2025,2,2
48009,2025,3,2
48009,2025,11,6
48009,2025,12,6
48011,2015,1,2
48011,2015,2,4
48011,2015,4,4
48011,2015,7,2
48011,2015,9,2
48011,2015,10,2
48011,2015,12,2
48011,2016,1,2
48011,2016,2,4
48011,2016,7,2
48011,2016,9,3
48011,2016,10,7
48011,2016,11,4
48011,2017,2,7
48011,2017,3,5
48011,2017,11,2
48011,2018,5,4
48011,2018,8,2
48011,2019,1,2
48011,2019,2,2
48011,2019,8,2
48011,2019,9,2
48011,2019,12,2
48011,2020,5,5
48011,2020,11,2
48011,2021,6,2
48011,2021,11,4
48011,2021,12,10
48011,2022,3,4
48011,2022,5,2
48011,2022,9,2
48011,2023,1,4
48011,2023,6,2
48011,2023,7,5
48011,2023,8,5
48011,2023,9,3
48011,2023,11,2
48011,2024,2,4
48011,2024,6,2
48011,2024,8,4
48011,2024,9,3
48011,2024,10,4
48011,2025,2,5
48011,2025,3,2
48011,2025,4,2
48011,2025,11,3
48011,2025,12,8
48013,2016,1,1
48013,2016,2,1
48013,2016,12,3
48013,2017,1,6
48013,2017,2,7
48013,2020,1,2
48013,2020,8,2
48013,2020,10,2
48013,2021,12,8
48013,2022,1,1
48013,2022,3,2
48013,2023,1,5
48013,2023,2,1
48013,2023,3,2
48013,2025,2,3
48013,2025,12,4
48015,2015,8,2
48015,2015,12,4
48015,2016,3,3
48015,2016,10,3
48015,2016,11,2
48015,2016,12,4
48015,2017,1,4
48015,2017,2,9
48015,2017,3,4
48015,2017,4,2
48015,2018,2,1
48015,2018,3,1
48015,2018,11,2
48015,2020,4,2
48015,2021,12,8
48015,2022,1,2
48015,2023,1,2
48015,2023,2,2
48015,2023,3,2
48015,2023,9,4
48015,2024,2,3
48015,2024,10,4
48015,2024,12,2
48015,2025,2,7
48015,2025,3,2
48015,2025,11,6
48015,2025,12,6
48017,2015,2,4
48017,2015,12,2
48017,2016,1,2
48017,2016,2,3
48017,2016,10,3
48017,2016,11,2
48017,2017,2,6
48017,2017,3,6
48017,2017,10,2
48017,2017,11,2
48017,2018,8,2
48017,2019,1,2
48017,2019,3,2
48017,2019,12,2
48017,2020,11,2
48017,2020,12,2
48017,2021,11,2
48017,2021,12,9
48017,2022,5,2
48017,2023,9,4
48017,2023,11,2
48017,2024,2,2
48017,2024,9,4
48017,2024,10,4
48017,2025,2,5
48017,2025,11,4
48017,2025,12,10
48019,2015,1,4
48019,2015,2,3
48019,2015,3,2
48019,2015,10,2
48019,2015,12,2
48019,2016,1,1
48019,2016,2,2
48019,2016,3,2
48019,2016,9,3
48019,2016,10,2
48019,2016,12,3
48019,2017,1,5
48019,2017,2,4
48019,2017,5,2
48019,2017,7,5
48019,2017,8,2
48019,2017,11,2
48019,2018,7,2
48019,2019,6,2
48019,2019,8,2
48019,2019,9,3
48019,2019,10,2
48019,2019,12,2
48019,2020,3,2
48019,2020,5,2
48019,2020,8,2
48019,2021,12,4
48019,2022,1,1
48019,2022,2,2
48019,2022,7,12
48019,2023,1,2
48019,2023,2,1
48019,2023,3,2
48019,2023,9,4
48019,2024,2,2
48019,2024,10,2
48019,2025,2,4
48019,2025,5,2
48019,2025,12,6
48021,2015,1,2
48021,2015,10,2
48021,2016,1,1
48021,2016,2,1
48021,2016,3,2
48021,2016,12,5
48021,2017,1,6
48021,2017,2,5
48021,2017,3,2
48021,2020,3,3
48021,2021,12,5
48021,2022,1,1
48021,2022,2,2
48021,2022,12,3
48021,2023,1,4
48021,2023,2,1
48021,2023,3,1
48021,2023,5,2
48021,2024,8,2
48021,2024,10,2
48021,2024,11,4
48021,2024,12,5
48021,2025,2,6
48021,2025,3,3
48021,2025,4,2
48021,2025,5,2
48021,2025,6,2
48021,2025,10,2
48021,2025,11,4
48021,2025,12,6
48023,2015,1,2
48023,2015,2,4
48023,2015,12,3
48023,2016,2,4
48023,2016,7,4
48023,2016,10,5
48023,2016,11,2
48023,2016,12,2
48023,2017,2,4
48023,2017,3,5
48023,2019,12,2
48023,2020,3,2
48023,2020,5,3
48023,2020,8,4
48023,2020,10,2
48023,2021,11,1
48023,2021,12,11
48023,2022,3,2
48023,2022,5,2
48023,2022,7,2
48023,2023,1,4
48023,2023,5,2
48023,2023,6,4
48023,2023,9,2
48023,2023,11,2
48023,2024,2,3
48023,2024,6,2
48023,2024,10,2
48023,2025,2,2
48023,2025,3,2
48023,2025,9,2
48023,2025,11,6
48023,2025,12,6
48025,2015,10,2
48025,2016,3,2
48025,2016,10,6
48025,2016,11,4
48025,2016,12,2
48025,2017,1,5
48025,2017,2,7
48025,2017,3,2
48025,2017,4,2
48025,2017,11,3
48025,2018,5,2
48025,2018,6,2
48025,2019,10,2
48025,2019,12,2
48025,2020,1,2
48025,2020,3,2
48025,2020,4,4
48025,2020,5,2
48025,2020,8,2
48025,2020,9,2
48025,2020,10,2
48025,2020,11,4
48025,2021,4,2
48025,2021,12,7
48025,2022,1,2
48025,2022,2,2
48025,2022,3,2
48025,2022,5,2
48025,2022,6,4
48025,2023,2,3
48025,2023,3,2
48025,2023,6,3
48025,2023,7,2
48025,2023,9,14
48025,2024,2,2
48025,2024,6,4
48025,2024,11,6
48025,2024,12,4
48025,2025,2,4
48025,2025,3,8
48025,2025,4,3
48025,2025,8,5
48025,2025,9,2
48027,2015,2,2
48027,2015,12,2
48027,2016,1,2
48027,2016,2,1
48027,2016,3,2
48027,2016,9,2
48027,2016,10,2
48027,2016,11,2
48027,2016,12,5
48027,2017,1,2
48027,2017,2,2
48027,2018,10,2
48027,2019,4,2
48027,2019,10,2
48027,2020,3,2
48027,2020,4,2
48027,2020,6,2
48027,2020,8,2
48027,2021,4,2
48027,2021,6,2
48027,2021,12,9
48027,2022,1,1
48027,2022,4,2
48027,2022,12,4
48027,2023,1,6
48027,2023,2,3
48027,2023,3,1
48027,2023,6,2
48027,2023,7,4
48027,2024,2,3
48027,2024,3,2
48027,2024,10,3
48027,2024,12,6
48027,2025,2,6
48027,2025,3,2
48027,2025,5,2
48027,2025,10,2
48027,2025,11,5
48027,2025,12,7
48029,2015,1,2
48029,2015,2,2
48029,2015,10,2
48029,2015,12,2
48029,2016,1,1
48029,2016,2,1
48029,2016,11,2
48029,2016,12,5
48029,2017,1,6
48029,2017,2,7
48029,2017,11,5
48029,2019,12,3
48029,2021,12,6
48029,2022,1,1
48029,2023,1,6
48029,2023,2,3
48029,2023,3,2
48029,2023,9,2
48029,2024,10,3
48029,2024,12,5
48029,2025,2,6
48029,2025,3,4
48029,2025,5,2
48029,2025,11,2
48029,2025,12,6
48031,2015,1,3
48031,2015,2,2
48031,2015,12,5
48031,2016,2,2
48031,2016,3,2
48031,2017,1,4
48031,2017,11,3
48031,2019,12,2
48031,2021,12,8
48031,2022,1,2
48031,2022,2,2
48031,2022,4,2
48031,2022,5,2
48031,2022,6,1
48031,2022,7,6
48031,2022,9,3
48031,2022,11,2
48031,2022,12,3
48031,2023,1,8
48031,2023,2,6
48031,2023,3,2
48031,2023,4,2
48031,2023,6,2
48031,2023,7,8
48031,2023,9,3
48031,2024,2,3
48031,2024,3,2
48031,2024,6,2
48031,2024,8,7
48031,2024,9,2
48031,2024,10,6
48031,2024,11,2
48031,2024,12,9
48031,2025,2,7
48031,2025,3,3
48031,2025,5,2
48031,2025,11,8
48031,2025,12,6
48033,2015,8,2
48033,2016,2,3
48033,2016,7,4
48033,2016,10,3
48033,2016,11,2
48033,2016,12,2
48033,2017,2,4
48033,2017,3,3
48033,2017,6,1
48033,2017,7,1
48033,2018,1,2
48033,2019,8,2
48033,2021,11,2
48033,2021,12,7
48033,2023,1,2
48033,2023,6,2
48033,2023,7,2
48033,2023,11,3
48033,2024,2,2
48033,2024,10,2
48033,2025,2,6
48033,2025,12,6
48035,2015,12,2
48035,2016,1,1
48035,2016,2,1
48035,2016,11,2
48035,2016,12,5
48035,2017,1,2
48035,2017,2,5
48035,2017,11,2
48035,2018,3,2
48035,2020,3,2
48035,2021,12,11
48035,2023,1,5
48035,2023,2,2
48035,2023,9,2
48035,2024,2,2
48035,2024,12,2
48035,2025,2,3
48035,2025,3,2
48035,2025,11,5
48035,2025,12,6
48037,2015,1,2
48037,2015,6,2
48037,2015,8,2
48037,2015,10,2
48037,2015,12,8
48037,2016,1,2
48037,2016,2,2
48037,2016,3,2
48037,2016,6,2
48037,2016,7,3
48037,2016,10,7
48037,2016,11,5
48037,2016,12,4
48037,2017,1,4
48037,2017,2,5
48037,2017,3,4
48037,2017,10,2
48037,2017,12,2
48037,2018,5,11
48037,2018,6,3
48037,2019,2,2
48037,2019,4,3
48037,2019,9,6
