county_fips,year,month,classified_dates
48001,2016,3,2
48001,2016,12,2
48001,2017,1,3
48001,2017,2,2
48001,2019,4,2
48001,2019,10,2
48001,2020,3,2
48001,2020,4,2
48001,2021,12,8
48001,2022,1,1
48001,2022,12,2
48001,2023,2,1
48001,2023,3,1
48001,2024,10,3
48001,2025,2,6
48001,2025,3,4
48001,2025,10,2
48001,2025,11,3
48001,2025,12,3
48003,2015,12,2
48003,2016,2,3
48003,2016,10,2
48003,2017,2,2
48003,2017,3,3
48003,2017,6,1
48003,2017,7,1
48003,2017,10,2
48003,2017,11,5
48003,2021,12,6
48003,2025,2,4
48003,2025,12,6
48005,2015,12,2
48005,2016,3,2
48005,2016,10,2
48005,2016,11,2
48005,2017,1,3
48005,2017,2,4
48005,2021,12,10
48005,2022,1,1
48005,2022,11,2
48005,2022,12,3
48005,2023,2,1
48005,2023,3,2
48005,2024,2,3
48005,2025,2,6
48005,2025,10,2
48007,2015,7,2
48007,2015,8,3
48007,2015,12,4
48007,2016,6,4
48007,2016,9,3
48007,2016,10,2
48007,2016,11,2
48007,2016,12,4
48007,2017,1,6
48007,2017,2,6
48007,2017,6,5
48007,2018,5,4
48007,2019,6,2
48007,2019,7,3
48007,2019,10,4
48007,2019,12,2
48007,2020,4,3
48007,2020,5,2
48007,2020,6,3
48007,2020,7,2
48007,2020,8,4
48007,2021,12,6
48007,2022,1,1
48007,2022,5,4
48007,2022,7,2
48007,2022,10,2
48007,2023,1,2
48007,2023,2,1
48007,2023,3,1
48007,2023,7,19
48007,2023,8,20
48007,2023,9,16
48007,2024,5,8
48007,2024,6,6
48007,2024,7,7
48007,2024,8,6
48007,2024,10,2
48007,2024,11,6
48007,2024,12,6
48007,2025,2,3
48007,2025,12,3
48009,2015,12,2
48009,2016,7,2
48009,2016,10,4
48009,2016,11,2
48009,2017,2,2
48009,2017,3,4
48009,2021,12,4
48009,2024,2,2
48009,2025,11,3
48009,2025,12,6
48011,2015,2,4
48011,2016,1,2
48011,2016,2,2
48011,2016,7,2
48011,2016,10,2
48011,2016,11,4
48011,2017,2,2
48011,2017,3,4
48011,2020,5,4
48011,2021,12,7
48011,2022,9,2
48011,2023,7,4
48011,2023,8,2
48011,2024,2,2
48011,2024,6,2
48011,2024,10,2
48011,2025,2,5
48011,2025,11,2
48011,2025,12,8
48013,2016,12,2
48013,2017,2,2
48013,2020,8,2
48013,2021,12,4
48013,2022,1,1
48013,2023,2,1
48013,2023,3,2
48013,2025,2,2
48013,2025,12,2
48015,2015,12,4
48015,2016,10,2
48015,2017,1,3
48015,2017,2,7
48015,2018,11,2
48015,2020,4,2
48015,2022,1,2
48015,2025,2,4
48015,2025,12,3
48017,2015,2,2
48017,2016,2,3
48017,2017,2,2
48017,2017,3,3
48017,2021,12,2
48017,2024,2,2
48017,2025,2,5
48017,2025,11,2
48017,2025,12,8
48019,2015,1,2
48019,2015,2,2
48019,2015,10,2
48019,2016,1,1
48019,2016,2,2
48019,2016,9,2
48019,2016,10,2
48019,2017,1,2
48019,2017,2,2
48019,2017,7,5
48019,2017,8,2
48019,2017,11,2
48019,2018,7,2
48019,2019,6,2
48019,2019,10,2
48019,2019,12,2
48019,2020,3,2
48019,2021,12,2
48019,2022,2,2
48019,2022,7,6
48019,2023,2,1
48019,2023,3,2
48019,2023,9,2
48019,2025,12,2
48021,2015,1,2
48021,2016,12,3
