county_fips,year,county_name,heatwave_events_started,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days,heatwave_days_imputed
48001,2015,Anderson,14,2015-01-27,2015-12-27,7,52,0
48001,2016,Anderson,13,2016-01-29,2016-12-28,7,46,0
48001,2017,Anderson,21,2017-01-01,2017-12-22,6,59,0
48001,2018,Anderson,11,2018-02-19,2018-12-01,14,57,0
48001,2019,Anderson,10,2019-01-06,2019-12-25,9,36,0
48001,2020,Anderson,13,2020-01-05,2020-12-10,5,39,0
48001,2021,Anderson,10,2021-02-27,2022-01-01,10,43,0
48001,2022,Anderson,23,2022-01-13,2023-01-03,19,112,0
48001,2023,Anderson,22,2023-01-06,2023-12-09,18,91,0
48001,2024,Anderson,15,2024-01-29,2024-12-17,9,58,0
48001,2025,Anderson,18,2025-02-01,2025-12-28,8,73,0
48003,2015,Andrews,14,2015-01-28,2015-12-12,6,45,1
48003,2016,Andrews,11,2016-01-30,2016-12-18,10,42,0
48003,2017,Andrews,19,2017-01-10,2017-12-22,10,61,0
48003,2018,Andrews,13,2018-01-09,2018-11-30,8,47,0
48003,2019,Andrews,14,2019-01-16,2019-12-24,8,41,3
48003,2020,Andrews,19,2020-01-13,2020-11-09,8,57,0
48003,2021,Andrews,15,2021-02-02,2021-12-27,6,45,0
48003,2022,Andrews,13,2022-01-13,2023-01-02,9,39,0
48003,2023,Andrews,19,2023-01-09,2023-12-08,10,75,0
48003,2024,Andrews,17,2024-02-01,2024-12-30,5,42,10
48003,2025,Andrews,18,2025-02-02,2025-12-28,7,53,1
48005,2015,Angelina,12,2015-01-27,2015-12-27,7,46,0
48005,2016,Angelina,15,2016-01-29,2016-12-28,9,56,0
48005,2017,Angelina,17,2017-01-02,2017-12-22,6,52,0
48005,2018,Angelina,15,2018-02-14,2018-09-19,12,65,0
48005,2019,Angelina,7,2019-02-04,2019-11-21,7,27,0
48005,2020,Angelina,16,2020-01-05,2020-12-30,5,49,0
48005,2021,Angelina,16,2021-02-23,2022-01-01,10,55,0
48005,2022,Angelina,23,2022-01-13,2023-01-03,14,111,0
48005,2023,Angelina,26,2023-01-06,2023-11-09,23,117,0
48005,2024,Angelina,19,2024-01-30,2024-12-28,8,59,0
48005,2025,Angelina,18,2025-02-01,2025-12-28,10,83,0
48007,2015,Aransas,17,2015-01-27,2015-12-27,8,50,0
48007,2016,Aransas,25,2016-01-19,2016-12-28,9,102,0
48007,2017,Aransas,32,2017-01-01,2017-12-22,16,131,0
48007,2018,Aransas,13,2018-02-17,2018-12-02,22,58,1
48007,2019,Aransas,21,2019-01-06,2019-12-26,16,72,0
48007,2020,Aransas,35,2020-01-09,2020-12-28,11,134,0
48007,2021,Aransas,22,2021-01-18,2022-01-01,10,67,0
48007,2022,Aransas,27,2022-01-05,2023-01-07,18,127,0
48007,2023,Aransas,18,2023-01-10,2023-12-22,44,179,0
48007,2024,Aransas,23,2024-02-02,2024-12-31,31,156,0
48007,2025,Aransas,26,2025-01-04,2025-12-28,15,144,0
48009,2015,Archer,9,2015-01-18,2015-12-24,6,30,30
48009,2016,Archer,11,2016-01-29,2016-12-29,8,34,11
48009,2017,Archer,15,2017-01-11,2017-12-04,8,42,20
48009,2018,Archer,9,2018-01-20,2018-11-30,8,31,31
48009,2019,Archer,6,2019-01-06,2019-12-26,4,17,17
48009,2020,Archer,13,2020-01-09,2020-12-11,4,33,33
48009,2021,Archer,8,2021-02-03,2021-12-31,9,33,33
48009,2022,Archer,16,2022-01-13,2022-12-06,14,77,77
48009,2023,Archer,18,2023-01-01,2023-11-08,10,75,75
48009,2024,Archer,16,2024-01-30,2024-12-30,9,55,55
48009,2025,Archer,14,2025-02-01,2025-12-28,9,48,48
48011,2015,Armstrong,15,2015-01-19,2015-12-21,6,50,50
48011,2016,Armstrong,19,2016-01-29,2016-12-28,11,64,64
48011,2017,Armstrong,21,2017-01-10,2017-12-21,8,62,62
48011,2018,Armstrong,20,2018-01-09,2018-11-30,9,69,69
48011,2019,Armstrong,15,2019-01-05,2019-12-26,7,50,50
48011,2020,Armstrong,24,2020-01-14,2020-12-27,10,78,78
48011,2021,Armstrong,17,2021-02-03,2021-12-27,6,52,52
48011,2022,Armstrong,22,2022-01-13,2022-12-29,14,89,89
48011,2023,Armstrong,26,2023-01-01,2023-12-08,15,101,101
48011,2024,Armstrong,23,2024-01-29,2024-12-31,15,94,94
48011,2025,Armstrong,16,2025-02-01,2025-12-28,9,57,57
48013,2015,Atascosa,11,2015-01-27,2015-12-27,10,41,0
48013,2016,Atascosa,15,2016-01-30,2016-12-28,7,51,0
48013,2017,Atascosa,23,2017-01-02,2017-12-04,6,68,0
48013,2018,Atascosa,9,2018-03-17,2018-10-06,18,43,0
48013,2019,Atascosa,12,2019-01-06,2019-12-16,14,62,0
48013,2020,Atascosa,20,2020-01-10,2020-12-30,6,67,0
48013,2021,Atascosa,14,2021-03-27,2022-01-01,10,44,0
48013,2022,Atascosa,16,2022-03-05,2023-01-08,16,101,0
48013,2023,Atascosa,17,2023-01-11,2023-10-29,21,114,0
48013,2024,Atascosa,15,2024-02-25,2024-12-31,10,64,0
48013,2025,Atascosa,17,2025-02-02,2025-12-28,9,68,0
48015,2015,Austin,7,2015-01-28,2015-12-28,6,24,0
48015,2016,Austin,12,2016-02-01,2016-12-29,6,36,5
48015,2017,Austin,16,2017-01-03,2017-12-22,6,51,2
48015,2018,Austin,10,2018-02-19,2018-11-08,8,38,0
48015,2019,Austin,7,2019-02-06,2019-10-15,9,26,12
48015,2020,Austin,8,2020-01-10,2020-08-30,4,20,6
48015,2021,Austin,4,2021-09-19,2022-01-02,10,18,5
48015,2022,Austin,14,2022-03-06,2022-12-30,13,88,20
48015,2023,Austin,18,2023-01-01,2023-12-10,49,117,41
48015,2024,Austin,14,2024-02-25,2024-12-29,8,45,28
48015,2025,Austin,18,2025-02-02,2025-12-28,10,77,31
48017,2015,Bailey,13,2015-01-19,2015-12-12,5,35,0
48017,2016,Bailey,12,2016-01-29,2016-12-25,6,38,0
48017,2017,Bailey,19,2017-01-09,2017-12-30,8,57,0
48017,2018,Bailey,16,2018-01-09,2018-11-30,8,48,0
48017,2019,Bailey,13,2019-01-05,2019-12-25,5,36,0
48017,2020,Bailey,17,2020-02-02,2020-12-11,11,62,0
48017,2021,Bailey,13,2021-02-03,2021-12-27,7,46,0
48017,2022,Bailey,12,2022-01-13,2022-08-04,7,42,0
48017,2023,Bailey,23,2023-01-01,2023-12-23,9,79,0
48017,2024,Bailey,22,2024-01-31,2024-12-30,12,71,0
48017,2025,Bailey,15,2025-02-02,2025-12-28,9,50,0
48019,2015,Bandera,13,2015-01-20,2015-12-27,7,45,0
48019,2016,Bandera,15,2016-01-31,2016-12-29,6,51,0
48019,2017,Bandera,21,2017-01-01,2017-12-22,12,79,0
48019,2018,Bandera,10,2018-03-17,2018-11-08,10,46,0
48019,2019,Bandera,12,2019-01-08,2019-12-16,23,52,0
48019,2020,Bandera,15,2020-01-15,2020-12-11,6,49,0
48019,2021,Bandera,7,2021-04-07,2022-01-01,4,19,0
48019,2022,Bandera,23,2022-01-14,2022-12-09,12,96,0
48019,2023,Bandera,20,2023-01-01,2023-10-28,23,113,0
48019,2024,Bandera,16,2024-02-26,2024-12-31,12,73,68
48019,2025,Bandera,17,2025-02-02,2025-12-28,9,76,76
48021,2015,Bastrop,7,2015-01-27,2015-12-27,6,28,0
48021,2016,Bastrop,11,2016-01-30,2016-12-29,6,34,0
48021,2017,Bastrop,17,2017-01-10,2017-12-22,12,59,0
48021,2018,Bastrop,12,2018-02-19,2018-08-29,9,43,0
48021,2019,Bastrop,11,2019-01-07,2019-12-16,7,39,0
48021,2020,Bastrop,16,2020-01-15,2020-12-29,5,52,0
48021,2021,Bastrop,11,2021-01-04,2022-01-01,5,32,0
48021,2022,Bastrop,21,2022-01-13,2023-01-03,11,97,1
48021,2023,Bastrop,24,2023-01-06,2023-12-09,16,119,0
48021,2024,Bastrop,21,2024-02-20,2024-12-30,17,95,0
48021,2025,Bastrop,28,2025-02-01,2025-12-28,9,106,0
48023,2015,Baylor,13,2015-01-18,2015-12-23,6,45,0
48023,2016,Baylor,12,2016-01-29,2016-12-26,5,35,0
48023,2017,Baylor,17,2017-01-10,2017-12-11,6,44,0
48023,2018,Baylor,13,2018-01-09,2018-12-01,8,41,0
48023,2019,Baylor,5,2019-02-03,2019-12-26,4,16,0
48023,2020,Baylor,15,2020-01-09,2020-12-27,5,41,0
48023,2021,Baylor,11,2021-03-10,2022-01-01,11,42,0
48023,2022,Baylor,19,2022-01-13,2022-12-29,14,87,0
48023,2023,Baylor,20,2023-01-01,2023-12-08,16,90,0
48023,2024,Baylor,21,2024-01-30,2024-12-30,14,79,0
48023,2025,Baylor,14,2025-02-01,2025-12-28,10,56,0
48025,2015,Bee,5,2015-01-28,2015-12-29,4,16,1
48025,2016,Bee,9,2016-01-31,2016-12-29,7,35,1
48025,2017,Bee,18,2017-01-02,2017-12-05,7,59,0
48025,2018,Bee,6,2018-02-18,2018-11-08,16,33,0
48025,2019,Bee,14,2019-04-10,2019-12-16,11,44,0
48025,2020,Bee,21,2020-01-15,2020-12-30,6,73,0
48025,2021,Bee,12,2021-01-26,2022-01-02,10,38,0
48025,2022,Bee,14,2022-01-06,2022-12-14,14,63,0
48025,2023,Bee,27,2023-01-01,2023-11-09,18,147,7
48025,2024,Bee,20,2024-02-26,2024-12-31,9,69,9
48025,2025,Bee,24,2025-02-02,2025-12-29,11,95,3
48027,2015,Bell,11,2015-01-19,2015-12-27,6,36,0
48027,2016,Bell,10,2016-01-29,2017-01-03,8,38,0
48027,2017,Bell,19,2017-01-10,2017-12-22,7,62,0
48027,2018,Bell,13,2018-03-16,2018-10-28,12,58,1
48027,2019,Bell,10,2019-01-07,2019-11-21,18,45,0
48027,2020,Bell,17,2020-01-09,2020-12-23,6,50,0
48027,2021,Bell,12,2021-02-23,2022-01-01,11,38,0
48027,2022,Bell,20,2022-01-13,2023-01-02,23,112,0
48027,2023,Bell,22,2023-01-09,2023-10-22,17,116,0
48027,2024,Bell,21,2024-01-30,2024-12-30,9,83,0
48027,2025,Bell,21,2025-02-01,2025-12-28,9,76,0
