county_fips,year,month,classified_dates
48001,2015,7,3
48001,2015,8,6
48001,2015,9,9
48001,2016,8,8
48001,2016,9,3
48001,2018,6,15
48001,2018,7,17
48001,2019,9,12
48001,2020,8,4
48001,2021,6,4
48001,2022,6,19
48001,2022,7,25
48001,2022,8,5
48001,2022,9,8
48001,2023,7,17
48001,2023,8,25
48001,2023,9,9
48001,2024,6,3
48001,2024,7,5
48001,2024,9,3
48003,2015,7,9
48003,2015,8,6
48003,2015,9,6
48003,2016,7,10
48003,2017,6,3
48003,2017,9,10
48003,2018,7,5
48003,2018,8,6
48003,2019,7,3
48003,2019,8,12
48003,2020,7,8
48003,2020,8,13
48003,2020,9,3
48003,2021,6,3
48003,2021,9,4
48003,2022,6,3
48003,2022,7,3
48003,2023,6,10
48003,2023,7,11
48003,2023,8,14
48003,2023,9,15
48003,2024,8,4
48003,2024,9,3
48003,2025,8,6
48005,2015,7,3
48005,2015,8,7
48005,2016,7,5
48005,2016,8,7
48005,2018,6,19
48005,2018,7,12
48005,2019,9,9
48005,2020,8,4
48005,2021,6,4
48005,2021,8,1
48005,2021,9,2
48005,2022,6,18
48005,2022,7,26
48005,2022,8,8
48005,2022,9,7
48005,2023,6,4
48005,2023,7,19
48005,2023,8,26
48005,2023,9,14
48005,2024,6,6
48005,2024,7,2
48005,2025,9,4
48007,2015,7,2
48007,2015,8,7
48007,2016,6,3
48007,2016,7,6
48007,2016,8,6
48007,2016,9,11
48007,2017,6,9
48007,2017,7,15
48007,2017,8,5
48007,2018,6,13
48007,2019,6,6
48007,2019,7,3
48007,2019,9,20
48007,2020,6,5
48007,2020,7,3
48007,2020,8,18
48007,2020,9,4
48007,2021,6,3
48007,2021,9,7
48007,2022,6,28
48007,2022,7,22
48007,2022,8,7
48007,2023,6,20
48007,2023,7,28
48007,2023,8,29
48007,2023,9,30
48007,2024,6,24
48007,2024,7,15
48007,2024,8,23
48007,2024,9,13
48007,2025,6,10
48007,2025,8,17
48007,2025,9,7
48009,2017,9,7
48009,2018,7,6
48009,2019,9,4
48009,2020,8,4
48009,2022,6,14
48009,2022,7,17
48009,2022,9,8
48009,2023,6,9
48009,2023,7,7
48009,2023,8,22
48009,2023,9,15
48009,2024,6,3
48009,2024,8,9
48009,2024,9,3
48011,2015,8,3
48011,2015,9,8
48011,2016,6,3
48011,2016,7,12
48011,2016,8,4
48011,2016,9,3
48011,2017,6,7
48011,2017,9,6
48011,2018,6,10
48011,2018,7,6
48011,2018,8,6
48011,2019,7,3
48011,2019,8,17
48011,2019,9,4
48011,2020,6,5
48011,2020,7,13
48011,2020,8,10
48011,2020,9,3
48011,2021,9,7
48011,2022,6,7
48011,2022,7,23
48011,2022,8,5
48011,2022,9,9
48011,2023,6,3
48011,2023,7,14
48011,2023,8,18
48011,2023,9,19
48011,2024,6,5
48011,2024,7,2
48011,2024,8,21
48011,2024,9,8
48011,2025,8,4
48013,2015,8,10
48013,2015,9,9
48013,2016,7,13
48013,2016,8,3
48013,2016,9,3
48013,2017,6,4
48013,2017,7,11
48013,2017,9,7
48013,2018,6,12
48013,2018,7,7
48013,2019,6,6
48013,2019,8,19
48013,2019,9,20
48013,2020,7,6
48013,2020,8,8
48013,2020,9,1
48013,2021,9,7
48013,2022,6,23
48013,2022,7,25
48013,2022,8,3
48013,2023,6,14
48013,2023,7,16
48013,2023,8,28
48013,2023,9,24
48013,2024,6,4
48013,2024,8,5
48013,2024,9,3
48013,2025,9,4
48015,2015,8,3
48015,2018,6,8
48015,2019,9,9
48015,2021,9,4
48015,2022,6,20
48015,2022,7,23
48015,2022,8,5
48015,2022,9,6
48015,2023,6,9
48015,2023,7,21
48015,2023,8,29
48015,2023,9,20
48015,2024,9,8
48017,2015,8,3
48017,2015,9,5
48017,2016,7,10
48017,2017,6,7
48017,2017,9,3
48017,2018,6,6
48017,2018,7,4
48017,2019,7,3
48017,2019,8,8
48017,2020,6,3
48017,2020,7,11
48017,2020,8,9
48017,2020,9,3
48017,2021,6,5
48017,2021,9,3
48017,2022,6,5
48017,2022,7,4
48017,2023,6,3
48017,2023,7,13
48017,2023,8,16
48017,2023,9,12
48017,2024,7,1
48017,2024,8,14
48017,2024,9,8
48017,2025,8,5
48019,2015,8,4
48019,2015,9,8
48019,2016,7,7
48019,2016,8,5
48019,2016,9,6
48019,2017,6,4
48019,2017,7,15
48019,2017,8,3
48019,2017,9,10
48019,2018,6,21
48019,2018,7,11
48019,2019,8,12
48019,2019,9,16
48019,2020,7,6
48019,2020,8,9
48019,2020,9,1
48019,2021,9,4
48019,2022,6,24
48019,2022,7,18
48019,2022,8,4
48019,2023,6,11
48019,2023,7,18
48019,2023,8,25
48019,2023,9,21
48019,2024,6,6
48019,2024,8,7
48019,2024,9,3
48019,2025,9,3
48021,2015,8,6
48021,2017,6,4
48021,2017,7,4
48021,2018,6,7
48021,2018,7,7
48021,2018,8,5
48021,2019,8,5
