county_fips,year,classified_dates,events_started
48001,2015,18,4
48001,2016,11,3
48001,2018,32,4
48001,2019,12,3
48001,2020,4,1
48001,2021,4,1
48001,2022,57,5
48001,2023,51,7
48001,2024,11,2
48003,2015,21,4
48003,2016,10,2
48003,2017,13,2
48003,2018,11,2
48003,2019,15,3
48003,2020,24,5
48003,2021,7,2
48003,2022,6,2
48003,2023,50,9
48003,2024,7,2
48003,2025,6,2
48005,2015,10,2
48005,2016,12,3
48005,2018,31,4
48005,2019,9,2
48005,2020,4,1
48005,2021,7,2
48005,2022,59,8
48005,2023,63,9
48005,2024,8,2
48005,2025,4,1
48007,2015,9,2
48007,2016,26,5
48007,2017,29,6
48007,2018,13,1
48007,2019,29,4
48007,2020,30,5
48007,2021,10,3
48007,2022,57,7
48007,2023,107,3
48007,2024,75,7
48007,2025,34,5
48009,2017,7,2
48009,2018,6,1
48009,2019,4,1
48009,2020,4,1
48009,2022,39,6
48009,2023,53,10
48009,2024,15,3
48011,2015,11,3
48011,2016,22,6
48011,2017,13,4
48011,2018,22,5
48011,2019,24,5
48011,2020,31,6
48011,2021,7,2
48011,2022,44,8
48011,2023,54,9
48011,2024,36,5
48011,2025,4,1
48013,2015,19,3
48013,2016,19,5
48013,2017,22,6
48013,2018,19,2
48013,2019,45,7
48013,2020,15,3
48013,2021,7,2
48013,2022,51,6
48013,2023,82,8
48013,2024,12,3
48013,2025,4,1
48015,2015,3,1
48015,2018,8,2
48015,2019,9,2
48015,2021,4,1
48015,2022,54,6
48015,2023,79,5
48015,2024,8,2
48017,2015,8,2
48017,2016,10,2
48017,2017,10,3
48017,2018,10,3
48017,2019,11,3
48017,2020,26,5
48017,2021,8,2
48017,2022,9,2
48017,2023,44,9
48017,2024,23,4
48017,2025,5,1
48019,2015,12,3
48019,2016,18,4
48019,2017,32,5
48019,2018,32,7
48019,2019,28,4
48019,2020,16,3
48019,2021,4,1
48019,2022,46,6
48019,2023,75,8
48019,2024,16,3
48019,2025,3,1
48021,2015,6,1
48021,2017,8,2
48021,2018,19,4
48021,2019,16,3
48021,2020,10,2
48021,2021,4,1
48021,2022,45,5
48021,2023,71,9
48021,2024,14,3
48021,2025,12,4
48023,2015,8,2
48023,2017,4,1
48023,2018,8,2
48023,2019,7,2
48023,2020,11,3
48023,2021,3,1
48023,2022,39,6
48023,2023,59,9
48023,2024,30,6
48025,2016,5,1
48025,2017,3,1
48025,2018,9,1
48025,2019,17,3
48025,2020,11,3
48025,2021,4,1
48025,2022,24,4
48025,2023,91,10
48025,2024,8,2
48025,2025,10,2
48027,2015,5,1
48027,2016,5,1
48027,2017,13,4
48027,2018,35,6
48027,2019,24,4
48027,2020,19,4
48027,2021,3,1
48027,2022,59,7
48027,2023,82,10
48027,2024,14,3
48027,2025,3,1
48029,2015,13,2
48029,2016,23,5
48029,2017,14,3
48029,2018,23,3
48029,2019,24,5
48029,2020,10,2
48029,2021,5,1
48029,2022,45,7
48029,2023,77,7
48029,2024,21,5
48029,2025,13,4
48031,2015,9,2
48031,2017,6,2
48031,2018,16,4
48031,2019,23,3
48031,2020,16,4
48031,2021,4,1
48031,2022,73,7
48031,2023,96,8
48031,2024,28,4
48031,2025,3,1
48033,2015,5,1
48033,2016,4,1
48033,2017,9,2
48033,2018,12,3
48033,2019,11,2
48033,2020,25,5
48033,2022,20,5
48033,2023,44,8
48033,2024,20,4
48033,2025,6,2
48035,2015,4,1
48035,2018,15,3
48035,2019,7,1
48035,2020,3,1
48035,2022,42,5
48035,2023,69,8
48035,2024,5,1
48037,2015,9,2
48037,2016,18,4
48037,2017,5,1
48037,2018,26,6
48037,2019,18,2
48037,2021,4,1
48037,2022,38,7
48037,2023,21,4
48037,2024,9,3
48037,2025,7,1
48039,2015,26,3
48039,2016,38,8
48039,2017,8,2
48039,2018,18,4
48039,2019,20,6
48039,2020,17,5
48039,2021,5,1
48039,2022,28,4
48039,2023,86,5
48039,2024,19,5
48041,2015,3,1
48041,2018,3,1
48041,2019,6,2
48041,2020,3,1
48041,2021,3,1
48041,2022,68,5
48041,2023,88,6
48041,2024,7,2
48041,2025,3,1
48043,2015,19,3
48043,2016,14,3
48043,2017,5,1
48043,2018,13,3
48043,2019,19,3
48043,2020,28,5
48043,2021,10,2
48043,2022,16,4
48043,2023,64,7
48043,2024,24,5
48045,2015,3,1
48045,2016,9,2
48045,2017,4,1
48045,2018,14,3
48045,2019,22,5
48045,2020,28,5
48045,2021,10,3
48045,2022,41,8
48045,2023,44,9
48045,2024,43,6
48045,2025,12,3
48047,2017,6,2
48047,2018,3,1
48047,2019,11,3
48047,2020,3,1
48047,2022,8,2
48047,2023,47,6
48047,2024,4,1
