county_fips,year,classified_dates,events_started
48001,2015,5,1
48001,2017,3,1
48001,2018,6,2
48001,2020,3,1
48001,2021,9,2
48001,2022,11,2
48001,2023,22,3
48001,2024,6,1
48001,2025,15,3
48003,2016,13,4
48003,2017,10,3
48003,2020,10,2
48003,2023,25,6
48003,2024,7,2
48003,2025,10,3
48005,2015,4,1
48005,2016,3,1
48005,2017,3,1
48005,2018,3,1
48005,2020,3,1
48005,2021,6,2
48005,2022,19,5
48005,2023,27,4
48005,2024,4,1
48005,2025,12,2
48007,2015,4,1
48007,2016,13,3
48007,2017,17,5
48007,2018,3,1
48007,2019,3,1
48007,2020,9,3
48007,2021,8,2
48007,2022,7,2
48007,2023,63,9
48007,2024,43,8
48007,2025,20,4
48009,2017,4,1
48009,2018,4,1
48009,2021,4,1
48009,2022,9,3
48009,2023,8,2
48009,2024,3,1
48009,2025,12,2
48011,2015,4,1
48011,2016,3,1
48011,2018,8,2
48011,2019,4,1
48011,2020,12,3
48011,2021,7,2
48011,2022,7,2
48011,2023,4,1
48011,2024,13,2
48011,2025,9,2
48013,2015,7,2
48013,2017,3,1
48013,2019,3,1
48013,2020,5,1
48013,2021,6,2
48013,2022,20,5
48013,2023,29,5
48013,2024,3,1
48013,2025,6,2
48015,2015,4,1
48015,2017,6,2
48015,2022,3,1
48015,2023,9,2
48015,2024,3,1
48015,2025,16,3
48017,2016,7,2
48017,2019,3,1
48017,2020,10,2
48017,2021,3,1
48017,2022,6,2
48017,2023,3,1
48017,2024,7,2
48017,2025,14,4
48019,2015,3,1
48019,2017,3,1
48019,2019,3,1
48019,2020,7,2
48019,2022,23,5
48019,2023,42,8
48019,2024,6,2
48019,2025,3,1
48021,2015,5,1
48021,2016,4,1
48021,2020,3,1
48021,2021,3,1
48021,2022,16,4
48021,2023,28,5
48021,2024,10,3
48021,2025,18,5
48023,2018,4,1
48023,2021,5,1
48023,2022,12,4
48023,2023,10,2
48023,2024,16,3
48023,2025,12,2
48025,2017,3,1
48025,2018,8,2
48025,2022,3,1
48025,2023,34,8
48025,2024,3,1
48025,2025,10,3
48027,2015,5,1
48027,2016,6,2
48027,2018,7,1
48027,2020,3,1
48027,2022,13,3
48027,2023,37,8
48027,2024,4,1
48027,2025,16,5
48029,2015,5,1
48029,2017,7,2
48029,2018,3,1
48029,2021,3,1
48029,2022,12,3
48029,2023,44,6
48029,2024,10,3
48029,2025,11,3
48031,2015,7,2
48031,2018,4,1
48031,2020,3,1
48031,2021,3,1
48031,2022,37,6
48031,2023,66,7
48031,2024,16,4
48031,2025,11,3
48033,2018,8,2
48033,2019,4,1
48033,2020,8,2
48033,2021,3,1
48033,2023,8,2
48033,2024,7,2
48033,2025,12,3
48035,2018,5,1
48035,2021,5,1
48035,2022,6,2
48035,2023,23,5
48035,2025,9,3
48037,2015,10,2
48037,2016,9,2
48037,2017,7,2
48037,2018,4,1
48037,2019,4,1
48037,2021,4,1
48037,2022,5,1
48037,2024,4,1
48037,2025,3,1
48039,2015,17,4
48039,2016,13,3
48039,2017,24,7
48039,2018,4,1
48039,2019,4,1
48039,2020,7,2
48039,2021,4,1
48039,2022,5,1
48039,2023,18,4
48039,2024,4,1
48039,2025,7,1
48041,2015,5,1
48041,2017,7,2
48041,2021,6,2
48041,2022,17,3
48041,2023,40,6
48041,2024,7,2
48041,2025,10,3
48043,2016,8,2
48043,2017,10,3
48043,2019,3,1
48043,2020,14,3
48043,2021,9,2
48043,2023,25,5
48043,2024,4,1
48043,2025,24,4
48045,2015,3,1
48045,2018,5,1
48045,2019,4,1
48045,2020,7,2
48045,2021,3,1
48045,2022,7,2
48045,2023,7,2
48045,2024,15,2
48045,2025,9,2
48049,2018,7,1
48049,2021,4,1
48049,2022,19,5
48049,2023,7,2
48049,2024,4,1
48049,2025,9,2
48051,2015,10,2
48051,2016,7,2
48051,2019,5,1
48051,2021,6,1
48051,2025,9,2
48053,2015,8,2
48053,2018,7,1
48053,2020,7,2
48053,2021,3,1
48053,2022,24,5
48053,2023,45,7
48053,2024,12,3
48053,2025,19,6
48055,2015,8,2
48055,2016,3,1
48055,2017,7,2
48055,2018,7,2
48055,2020,12,3
48055,2021,3,1
48055,2022,27,4
48055,2023,49,7
48055,2024,9,2
48055,2025,19,5
48057,2015,4,1
48057,2017,3,1
48057,2019,3,1
48057,2020,6,2
48057,2021,6,2
48057,2022,5,1
48057,2023,19,5
48057,2024,14,4
48057,2025,20,5
48059,2015,4,1
48059,2018,7,2
48059,2020,7,2
48059,2021,10,2
48059,2022,19,5
48059,2023,22,5
48059,2024,8,2
48059,2025,15,3
48061,2015,8,2
48061,2016,26,7
48061,2017,11,3
48061,2018,18,3
48061,2019,9,3
48061,2020,8,2
48061,2021,3,1
48061,2022,5,1
48061,2023,58,9
48061,2024,21,4
48061,2025,11,2
48063,2015,8,2
48063,2017,7,2
48063,2021,5,1
48063,2023,9,2
48063,2024,4,1
48063,2025,11,3
48065,2017,6,2
48065,2018,3,1
48065,2019,4,1
48065,2020,3,1
48065,2021,4,1
48065,2022,4,1
48065,2023,4,1
48065,2024,9,1
48065,2025,9,2
48067,2017,3,1
48067,2021,8,2
48067,2022,3,1
48067,2023,4,1
48067,2025,3,1
48069,2016,3,1
48069,2019,4,1
48069,2020,12,3
48069,2024,5,1
48069,2025,12,3
48071,2015,8,2
48071,2021,4,1
48071,2022,5,1
48071,2025,4,1
48073,2017,3,1
48073,2020,4,1
48073,2021,6,2
48073,2022,2,0
48073,2023,9,2
48073,2025,5,1
48075,2015,4,1
48075,2018,4,1
48075,2020,4,1
48075,2021,7,2
48075,2022,12,3
48075,2023,8,2
48075,2024,18,3
48075,2025,9,2
48077,2018,3,1
48077,2021,4,1
