county_fips,ehf85_c2,n_positive_reference_ehf_values,n_distinct_reference_years_with_positive_ehf,severity_quality_flag
48001,3.0166409005227837,577,28,ok
48003,7.440139917147953,515,32,ok
48005,2.815598611111122,563,31,ok
48007,1.0534228395061487,501,32,ok
48009,5.616325868560706,590,31,ok
48011,6.806123926719903,538,33,ok
48013,1.8691823688271212,572,33,ok
48015,2.693892255449879,600,29,ok
48017,7.235930902777869,530,33,ok
48019,2.2412515851065056,508,33,ok
48021,2.566161111111075,597,32,ok
48023,5.910406250000067,566,31,ok
48025,1.9507429529300726,571,31,ok
48027,2.774625638888927,599,30,ok
48029,2.1391492187500085,564,31,ok
48031,2.1007999999999885,557,32,ok
48033,7.752270706847359,571,32,ok
48035,3.3719933569935248,565,29,ok
48037,4.106666666666662,581,31,ok
48039,1.2673598765431628,528,34,ok
48041,2.5968888888888366,626,29,ok
48043,5.1070449431671765,561,33,ok
48045,8.193308223348257,499,31,ok
48047,3.000218417503886,534,30,ok
48049,3.8518000000001202,557,31,ok
48051,3.013951885546515,550,31,ok
48053,2.7513183719369416,586,33,ok
48055,1.9754196835282802,618,31,ok
48057,1.0574931712963178,540,34,ok
48059,4.946039583333243,623,31,ok
48061,0.9827710092592478,595,30,ok
48063,5.035536595379846,588,28,ok
48065,8.200449179498731,538,36,ok
48067,4.603637500000071,543,31,ok
48069,6.409569444444482,517,35,ok
48071,2.379843750000007,536,35,ok
48073,3.2844951388887695,602,29,ok
48075,7.712613888888874,552,32,ok
48077,5.2920095681537695,629,32,ok
48079,7.253569444444505,487,33,ok
48081,5.958866666666721,515,31,ok
48083,3.7816105709878203,575,31,ok
48085,4.666186574074136,588,32,ok
48087,7.523976101704158,549,33,ok
48089,2.573524691357954,590,28,ok
48091,1.9186034722222312,579,30,ok
48093,4.049028346657834,534,29,ok
48095,4.257286645170872,559,32,ok
48097,5.983104166666611,586,31,ok
48099,3.2166666666666934,581,31,ok
48101,7.056400000000053,549,31,ok
48103,6.832118055555578,506,32,ok
48105,3.735321469907439,576,32,ok
48107,7.345888194444562,558,31,ok
48109,9.7101756819963,596,30,ok
48111,4.843421449953695,556,35,ok
48113,4.550967206790101,598,31,ok
48115,6.380716704798871,543,32,ok
48117,6.43293333333335,549,34,ok
48119,4.017260089335895,596,28,ok
48121,4.950699138888866,572,32,ok
48123,2.164583333333328,608,31,ok
48125,6.156789860291643,523,32,ok
48127,2.0112499999999986,585,32,ok
48129,8.857863888888852,514,33,ok
48131,2.1165185185185473,588,32,ok
48133,4.03478472222224,599,32,ok
48135,6.313494660553813,554,31,ok
