,TMAX_P80_D3_W15,TMAX_P85_D3_W15,TMAX_P90_D3_W15,TMAX_P95_D3_W15,TMAX_P975_D3_W15,TMAX_P85_D2_W15,TMAX_P90_D2_W15,TMAX_P95_D2_W15,HIPROXY_P85_D2_W15_CONFEXCL,HIPROXY_P90_D2_W15_CONFEXCL,HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_RAW,HIXENV_P85_D2_W15_RAW,HIXENV_P90_D2_W15_RAW,HIXENV_P95_D2_W15_RAW,HIXENV_P975_D2_W15_RAW,HIXENV_P80_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL
TMAX_P80_D3_W15,1.0,0.725799,0.469601,0.226069,0.111313,0.710402,0.539844,0.30748,0.540076,0.426434,0.237922,0.509222,0.449089,0.32099,0.160393,0.074456,0.509202,0.449066,0.320962,0.160361,0.074428
TMAX_P85_D3_W15,0.725799,1.0,0.647013,0.311476,0.153367,0.775211,0.657292,0.401285,0.517076,0.469488,0.291455,0.422228,0.444719,0.369951,0.20299,0.097837,0.422205,0.444691,0.369917,0.202948,0.0978
TMAX_P90_D3_W15,0.469601,0.647013,1.0,0.481407,0.237038,0.501571,0.745254,0.545007,0.391973,0.454885,0.357444,0.302372,0.348988,0.37647,0.259912,0.135832,0.302359,0.348973,0.376438,0.259853,0.135777
TMAX_P95_D3_W15,0.226069,0.311476,0.481407,1.0,0.492386,0.24146,0.35877,0.687146,0.210945,0.279783,0.361606,0.157401,0.193785,0.246479,0.291575,0.20646,0.157389,0.193769,0.246459,0.291523,0.206355
TMAX_P975_D3_W15,0.111313,0.153367,0.237038,0.492386,1.0,0.118891,0.176654,0.338341,0.109653,0.152866,0.23561,0.079771,0.101079,0.137571,0.206141,0.237223,0.079768,0.101076,0.137569,0.206118,0.237184
TMAX_P85_D2_W15,0.710402,0.775211,0.501571,0.24146,0.118891,1.0,0.673021,0.351395,0.640163,0.507919,0.271095,0.54242,0.547436,0.397917,0.187567,0.084789,0.542399,0.547412,0.397888,0.187534,0.084759
TMAX_P90_D2_W15,0.539844,0.657292,0.745254,0.35877,0.176654,0.673021,1.0,0.522116,0.523083,0.577503,0.367619,0.412181,0.467313,0.475298,0.266257,0.123918,0.412171,0.467302,0.475273,0.26621,0.123875
TMAX_P95_D2_W15,0.30748,0.401285,0.545007,0.687146,0.338341,0.351395,0.522116,1.0,0.309002,0.408915,0.490275,0.238726,0.294499,0.366647,0.390216,0.220648,0.238717,0.294487,0.366635,0.390178,0.220569
HIPROXY_P85_D2_W15_CONFEXCL,0.540076,0.517076,0.391973,0.210945,0.109653,0.640163,0.523083,0.309002,1.0,0.643382,0.305504,0.599952,0.588856,0.410289,0.191421,0.086268,0.599961,0.588866,0.410288,0.19141,0.086256
HIPROXY_P90_D2_W15_CONFEXCL,0.426434,0.469488,0.454885,0.279783,0.152866,0.507919,0.577503,0.408915,0.643382,1.0,0.474841,0.466905,0.533205,0.527711,0.284232,0.131654,0.466912,0.533216,0.527725,0.284228,0.131636
HIPROXY_P95_D2_W15_CONFEXCL,0.237922,0.291455,0.357444,0.361606,0.23561,0.271095,0.367619,0.490275,0.305504,0.474841,1.0,0.257454,0.331614,0.42968,0.45686,0.252478,0.257459,0.331621,0.429696,0.456858,0.252443
HIXENV_P80_D2_W15_RAW,0.509222,0.422228,0.302372,0.157401,0.079771,0.54242,0.412181,0.238726,0.599952,0.466905,0.257454,1.0,0.694869,0.419896,0.185165,0.082263,0.999982,0.694846,0.419868,0.185133,0.082235
HIXENV_P85_D2_W15_RAW,0.449089,0.444719,0.348988,0.193785,0.101079,0.547436,0.467313,0.294499,0.588856,0.533205,0.331614,0.694869,1.0,0.604281,0.266475,0.118387,0.694846,0.999974,0.604246,0.266431,0.118347
HIXENV_P90_D2_W15_RAW,0.32099,0.369951,0.37647,0.246479,0.137571,0.397917,0.475298,0.366647,0.410289,0.527711,0.42968,0.419896,0.604281,1.0,0.440978,0.195913,0.419877,0.604259,0.999958,0.440912,0.195851
HIXENV_P95_D2_W15_RAW,0.160393,0.20299,0.259912,0.291575,0.206141,0.187567,0.266257,0.390216,0.191421,0.284232,0.45686,0.185165,0.266475,0.440978,1.0,0.44427,0.185147,0.266452,0.440932,0.999904,0.444153
HIXENV_P975_D2_W15_RAW,0.074456,0.097837,0.135832,0.20646,0.237223,0.084789,0.123918,0.220648,0.086268,0.131654,0.252478,0.082263,0.118387,0.195913,0.44427,1.0,0.082248,0.118366,0.195885,0.444199,0.999784
HIXENV_P80_D2_W15_CONFEXCL,0.509202,0.422205,0.302359,0.157389,0.079768,0.542399,0.412171,0.238717,0.599961,0.466912,0.257459,0.999982,0.694846,0.419877,0.185147,0.082248,1.0,0.694858,0.419876,0.185136,0.082237
HIXENV_P85_D2_W15_CONFEXCL,0.449066,0.444691,0.348973,0.193769,0.101076,0.547412,0.467302,0.294487,0.588866,0.533216,0.331621,0.694846,0.999974,0.604259,0.266452,0.118366,0.694858,1.0,0.604261,0.266437,0.11835
HIXENV_P90_D2_W15_CONFEXCL,0.320962,0.369917,0.376438,0.246459,0.137569,0.397888,0.475273,0.366635,0.410288,0.527725,0.429696,0.419868,0.604246,0.999958,0.440932,0.195885,0.419876,0.604261,1.0,0.440931,0.19586
HIXENV_P95_D2_W15_CONFEXCL,0.160361,0.202948,0.259853,0.291523,0.206118,0.187534,0.26621,0.390178,0.19141,0.284228,0.456858,0.185133,0.266431,0.440912,0.999904,0.444199,0.185136,0.266437,0.440931,1.0,0.444196
HIXENV_P975_D2_W15_CONFEXCL,0.074428,0.0978,0.135777,0.206355,0.237184,0.084759,0.123875,0.220569,0.086256,0.131636,0.252443,0.082235,0.118347,0.195851,0.444153,0.999784,0.082237,0.11835,0.19586,0.444196,1.0
