definition_A,definition_B,n_A_eligible_dates,n_B_eligible_dates,n_common_eligible_dates,eligibility_jaccard,fraction_A_eligible_also_eligible_B,fraction_B_eligible_also_eligible_A,n_classified_by_A,n_classified_by_B,n_classified_by_both,n_classified_by_either,n_A_only_positive,n_B_only_positive,jaccard_common_eligibility
TMAX_P80_D3_W15,TMAX_P85_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,124812,124812,171965,47153,0,0.725799
TMAX_P80_D3_W15,TMAX_P90_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,80755,80755,171965,91210,0,0.469601
TMAX_P80_D3_W15,TMAX_P95_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,38876,38876,171965,133089,0,0.226069
TMAX_P80_D3_W15,TMAX_P975_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,19142,19142,171965,152823,0,0.111313
TMAX_P80_D3_W15,TMAX_P85_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,161004,138296,194673,33669,22708,0.710402
TMAX_P80_D3_W15,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,108359,98277,182047,73688,10082,0.539844
TMAX_P80_D3_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,171965,56576,53746,174795,118219,2830,0.30748
TMAX_P80_D3_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,159664,116295,215331,55667,43369,0.540076
TMAX_P80_D3_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,102725,82118,192569,89844,20607,0.426434
TMAX_P80_D3_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,48778,42425,178315,129537,6353,0.237922
TMAX_P80_D3_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,171965,169006,115046,225925,56919,53960,0.509222
TMAX_P80_D3_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,171965,117437,89689,199713,82276,27748,0.449089
TMAX_P80_D3_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,171965,70965,59030,183900,112935,11935,0.32099
TMAX_P80_D3_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,171965,31294,28095,175164,143870,3199,0.160393
TMAX_P80_D3_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,171965,13903,12880,172988,159085,1023,0.074456
TMAX_P80_D3_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,169000,115040,225922,56922,53960,0.509202
TMAX_P80_D3_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,117431,89683,199710,82279,27748,0.449066
TMAX_P80_D3_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,70959,59024,183897,112938,11935,0.320962
TMAX_P80_D3_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,31288,28089,175161,143873,3199,0.160361
TMAX_P80_D3_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,171962,13898,12875,172985,159087,1023,0.074428
TMAX_P85_D3_W15,TMAX_P90_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,124812,80755,80755,124812,44057,0,0.647013
TMAX_P85_D3_W15,TMAX_P95_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,124812,38876,38876,124812,85936,0,0.311476
TMAX_P85_D3_W15,TMAX_P975_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,124812,19142,19142,124812,105670,0,0.153367
TMAX_P85_D3_W15,TMAX_P85_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,124812,161004,124812,161004,0,36192,0.775211
TMAX_P85_D3_W15,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,124812,108359,92477,140694,32335,15882,0.657292
TMAX_P85_D3_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,124812,56576,51944,129444,72868,4632,0.401285
TMAX_P85_D3_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,159664,96959,187514,27850,62705,0.517076
TMAX_P85_D3_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,102725,72695,154839,52114,30030,0.469488
