definition_A,definition_B,n_A_eligible_dates,n_B_eligible_dates,n_common_eligible_dates,eligibility_jaccard,fraction_A_eligible_also_eligible_B,fraction_B_eligible_also_eligible_A,n_classified_by_A,n_classified_by_B,n_classified_by_both,n_classified_by_either,n_A_only_positive,n_B_only_positive,jaccard_common_eligibility,ehf_construct,comparator,ehf_date_representation,assessment_date_jaccard,interpretation_note
EHF_TX_FIXED7914,TMAX_P80_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,171965,44191,202132,30167,127774,0.218624,EHF_TX_FIXED7914,TMAX_P80_D3_W15,positive_ehf_assessment_date,0.218624,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P85_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,124812,35878,163292,38480,88934,0.219717,EHF_TX_FIXED7914,TMAX_P85_D3_W15,positive_ehf_assessment_date,0.219717,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P90_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,80755,26521,128592,47837,54234,0.206241,EHF_TX_FIXED7914,TMAX_P90_D3_W15,positive_ehf_assessment_date,0.206241,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P95_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,38876,15672,97562,58686,23204,0.160636,EHF_TX_FIXED7914,TMAX_P95_D3_W15,positive_ehf_assessment_date,0.160636,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P975_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,19142,8992,84508,65366,10150,0.106404,EHF_TX_FIXED7914,TMAX_P975_D3_W15,positive_ehf_assessment_date,0.106404,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P85_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,161004,39401,195961,34957,121603,0.201066,EHF_TX_FIXED7914,TMAX_P85_D2_W15,positive_ehf_assessment_date,0.201066,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,108359,29718,152999,44640,78641,0.194237,EHF_TX_FIXED7914,TMAX_P90_D2_W15,positive_ehf_assessment_date,0.194237,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,74358,56576,18427,112507,55931,38149,0.163785,EHF_TX_FIXED7914,TMAX_P95_D2_W15,positive_ehf_assessment_date,0.163785,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,159664,31837,202185,42521,127827,0.157465,EHF_TX_FIXED7914,HIPROXY_P85_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.157465,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,102725,21966,155117,52392,80759,0.141609,EHF_TX_FIXED7914,HIPROXY_P90_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.141609,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,48778,11336,111800,63022,37442,0.101395,EHF_TX_FIXED7914,HIPROXY_P95_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.101395,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,74358,169006,21959,221405,52399,147047,0.09918,EHF_TX_FIXED7914,HIXENV_P80_D2_W15_RAW,positive_ehf_assessment_date,0.09918,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,74358,117437,15588,176207,58770,101849,0.088464,EHF_TX_FIXED7914,HIXENV_P85_D2_W15_RAW,positive_ehf_assessment_date,0.088464,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,74358,70965,9522,135801,64836,61443,0.070117,EHF_TX_FIXED7914,HIXENV_P90_D2_W15_RAW,positive_ehf_assessment_date,0.070117,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,74358,31294,4241,101411,70117,27053,0.04182,EHF_TX_FIXED7914,HIXENV_P95_D2_W15_RAW,positive_ehf_assessment_date,0.04182,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,74358,13903,1993,86268,72365,11910,0.023102,EHF_TX_FIXED7914,HIXENV_P975_D2_W15_RAW,positive_ehf_assessment_date,0.023102,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,169000,21959,221399,52399,147041,0.099183,EHF_TX_FIXED7914,HIXENV_P80_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.099183,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,117431,15588,176201,58770,101843,0.088467,EHF_TX_FIXED7914,HIXENV_P85_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.088467,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,70959,9522,135795,64836,61437,0.07012,EHF_TX_FIXED7914,HIXENV_P90_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.07012,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,31288,4241,101405,70117,27047,0.041822,EHF_TX_FIXED7914,HIXENV_P95_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.041822,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
EHF_TX_FIXED7914,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,74358,13898,1993,86263,72365,11905,0.023104,EHF_TX_FIXED7914,HIXENV_P975_D2_W15_CONFEXCL,positive_ehf_assessment_date,0.023104,EHF assessment dates summarise a trailing 3-day thermal period; this is NOT equivalent to ordinary single-day classification agreement
