construct_id,family,metric,date_representation,event_definition_type,percentile,min_duration,window,baseline,season_rule,qc_tier,role,selection_basis,decision_status,reused_from_grid,source_run_id,cross_family_comparable_events,literature_replication_status,definition_fingerprint,window_type,window_width_days,days_before,days_after,quantile_method,leap_day_rule,comparison_op,analysis_years,threshold_reference_season,analysis_eligibility_season,season_applied_before_run_construction,season_boundary_breaks_run,eligible_daily_records,git_commit,input_fingerprint,generated_utc,status
EHF_TX_FIXED7914,ehf,ehf_c2,positive_ehf_assessment_date,positive_ehf_assessment_period,,1,,fixed_1979_2014,year_round,n/a,benchmark,literature_comparable_benchmark,open,False,,False,adapted_not_exact,fp:e51c4d27e8b82063,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:19:59Z,done
EHF_TX_WALKFORWARD,ehf,ehf_c2,positive_ehf_assessment_date,positive_ehf_assessment_period,,1,,walk_forward,year_round,n/a,candidate,user-specified,open,False,,False,adaptation,fp:26b3443bc30f61a2,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:19:59Z,done
TMAX_P80_D3_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,80.0,3,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,False,,False,,fp:c771eaa82db33d60,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:00Z,done
TMAX_P85_D3_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,85.0,3,w15,walk_forward,year_round,n/a,candidate,user-specified,open,True,TMAX_P85_3D__w15,False,,fp:9b142efb41fd18ab,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:00Z,done
TMAX_P90_D3_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,90.0,3,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,True,TMAX_P90_3D__w15,False,,fp:14647dbad1a59914,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:00Z,done
TMAX_P95_D3_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,95.0,3,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,True,TMAX_P95_3D__w15,False,,fp:f92e30e96f00828d,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:00Z,done
TMAX_P975_D3_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,97.5,3,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,False,,False,,fp:3ff453c44f3d5886,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:01Z,done
TMAX_P85_D2_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,85.0,2,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,True,TMAX_P85_2D__w15,False,,fp:cb7b9212667e07e6,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:01Z,done
TMAX_P90_D2_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,90.0,2,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,True,TMAX_P90_2D__w15,False,,fp:5b638a58eac2c7cc,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:01Z,done
TMAX_P95_D2_W15,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,95.0,2,w15,walk_forward,year_round,n/a,sensitivity,percentile_sweep_sensitivity,open,True,TMAX_P95_2D__w15,False,,fp:07dd7cb78f848f3a,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:01Z,done
TMAX_P85_D3_W15_JUNSEP,tmax,tmax_f,daily_threshold_classification,consecutive_daily_exceedance_event,85.0,3,w15,walk_forward,june_september,n/a,candidate,user-specified,open,False,,False,,fp:10036660d460acad,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,june_september,True,True,340868,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:01Z,done
HIPROXY_P85_D2_W15_CONFEXCL,hiproxy,derived_tmax_rhmin_hi_proxy_f,daily_threshold_classification,consecutive_daily_exceedance_event,85.0,2,w15,walk_forward,year_round,CONFEXCL,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:39d70c458307ecf3,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020569,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:02Z,done
HIPROXY_P90_D2_W15_CONFEXCL,hiproxy,derived_tmax_rhmin_hi_proxy_f,daily_threshold_classification,consecutive_daily_exceedance_event,90.0,2,w15,walk_forward,year_round,CONFEXCL,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:a40be619918065f1,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020569,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:03Z,done
HIPROXY_P95_D2_W15_CONFEXCL,hiproxy,derived_tmax_rhmin_hi_proxy_f,daily_threshold_classification,consecutive_daily_exceedance_event,95.0,2,w15,walk_forward,year_round,CONFEXCL,candidate,user-specified,open,False,,False,,fp:711acc5cf77fedf0,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020569,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:03Z,done
HIPROXY_P95_D2_W15_JUNSEP_CONFEXCL,hiproxy,derived_tmax_rhmin_hi_proxy_f,daily_threshold_classification,consecutive_daily_exceedance_event,95.0,2,w15,walk_forward,june_september,CONFEXCL,candidate,user-specified,open,False,,False,,fp:2a8f1c6f2ede9873,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,june_september,True,True,340868,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:03Z,done
HIPROXY_P95_D2_W15_PROBEXCL,hiproxy,derived_tmax_rhmin_hi_proxy_f,daily_threshold_classification,consecutive_daily_exceedance_event,95.0,2,w15,walk_forward,year_round,PROBEXCL,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:cfa8a607274792de,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020461,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:03Z,done
HIXENV_P80_D2_W15_RAW,hixenv,synthetic_tmax_rhmax_hi_f,daily_threshold_classification,consecutive_daily_exceedance_event,80.0,2,w15,walk_forward,year_round,RAW,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:eb0facbead7c0156,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:04Z,done
HIXENV_P85_D2_W15_RAW,hixenv,synthetic_tmax_rhmax_hi_f,daily_threshold_classification,consecutive_daily_exceedance_event,85.0,2,w15,walk_forward,year_round,RAW,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:abc800336eed9d6a,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:05Z,done
HIXENV_P90_D2_W15_RAW,hixenv,synthetic_tmax_rhmax_hi_f,daily_threshold_classification,consecutive_daily_exceedance_event,90.0,2,w15,walk_forward,year_round,RAW,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:52effd63ce76d3fd,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:06Z,done
HIXENV_P95_D2_W15_RAW,hixenv,synthetic_tmax_rhmax_hi_f,daily_threshold_classification,consecutive_daily_exceedance_event,95.0,2,w15,walk_forward,year_round,RAW,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:fc2629993c0faa72,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:06Z,done
HIXENV_P975_D2_W15_RAW,hixenv,synthetic_tmax_rhmax_hi_f,daily_threshold_classification,consecutive_daily_exceedance_event,97.5,2,w15,walk_forward,year_round,RAW,sensitivity,qc_or_percentile_sensitivity,open,False,,False,,fp:c58846fc153b80f7,centered_calendar_day,15,7,7,numpy_linear,template_doy_366_leap_safe,>,2015-2025,year_round_calendar_window,year_round,False,False,1020572,951014a,md5:f0276ee5888539f9,2026-08-05T22:20:06Z,done
