construct_id,family,role,date_representation,event_definition_type,cross_family_comparable_events,classified_date_count_QA,median_annual_classified_date_count_QA,median_annual_event_count_QA,season_rule,qc_tier,jun_sep_classified_date_share_QA,may_oct_classified_date_share_QA,nov_apr_classified_date_share_QA,classified_days_per_1000_valid_eligible_QA,definition_fingerprint,status
EHF_TX_FIXED7914,ehf,benchmark,positive_ehf_assessment_date,positive_ehf_assessment_period,False,74358,22.5,,year_round,n/a,98.91,1.09,0.0,72.859,fp:e51c4d27e8b82063,done
EHF_TX_WALKFORWARD,ehf,candidate,positive_ehf_assessment_date,positive_ehf_assessment_period,False,71515,22.0,,year_round,n/a,98.84,1.16,0.0,70.073,fp:26b3443bc30f61a2,done
TMAX_P80_D3_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,171965,54.0,11.0,year_round,n/a,40.34,19.04,40.62,168.499,fp:c771eaa82db33d60,done
TMAX_P85_D3_W15,tmax,candidate,daily_threshold_classification,consecutive_daily_exceedance_event,False,124812,38.0,8.0,year_round,n/a,41.4,19.58,39.02,122.296,fp:9b142efb41fd18ab,done
TMAX_P90_D3_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,80755,23.0,5.0,year_round,n/a,42.52,19.96,37.52,79.127,fp:14647dbad1a59914,done
TMAX_P95_D3_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,38876,10.0,3.0,year_round,n/a,45.68,19.1,35.22,38.092,fp:f92e30e96f00828d,done
TMAX_P975_D3_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,19142,4.0,1.0,year_round,n/a,49.4,16.45,34.15,18.756,fp:3ff453c44f3d5886,done
TMAX_P85_D2_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,161004,51.0,15.0,year_round,n/a,37.06,18.63,44.31,157.759,fp:cb7b9212667e07e6,done
TMAX_P90_D2_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,108359,33.0,10.0,year_round,n/a,37.6,18.95,43.45,106.175,fp:5b638a58eac2c7cc,done
TMAX_P95_D2_W15,tmax,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,56576,16.0,6.0,year_round,n/a,39.16,18.51,42.34,55.436,fp:07dd7cb78f848f3a,done
TMAX_P85_D3_W15_JUNSEP,tmax,candidate,daily_threshold_classification,consecutive_daily_exceedance_event,False,51311,12.0,3.0,june_september,n/a,100.0,0.0,0.0,150.53,fp:10036660d460acad,done
HIPROXY_P85_D2_W15_CONFEXCL,hiproxy,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,159664,53.0,17.0,year_round,CONFEXCL,34.98,18.53,46.48,156.446,fp:39d70c458307ecf3,done
HIPROXY_P90_D2_W15_CONFEXCL,hiproxy,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,102725,33.0,11.0,year_round,CONFEXCL,34.11,18.31,47.58,100.655,fp:a40be619918065f1,done
HIPROXY_P95_D2_W15_CONFEXCL,hiproxy,candidate,daily_threshold_classification,consecutive_daily_exceedance_event,False,48778,14.0,5.0,year_round,CONFEXCL,32.27,16.27,51.46,47.795,fp:711acc5cf77fedf0,done
HIPROXY_P95_D2_W15_JUNSEP_CONFEXCL,hiproxy,candidate,daily_threshold_classification,consecutive_daily_exceedance_event,False,15699,2.0,1.0,june_september,CONFEXCL,100.0,0.0,0.0,46.056,fp:2a8f1c6f2ede9873,done
HIPROXY_P95_D2_W15_PROBEXCL,hiproxy,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,48577,14.0,5.0,year_round,PROBEXCL,32.4,16.33,51.26,47.603,fp:cfa8a607274792de,done
HIXENV_P80_D2_W15_RAW,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,169006,58.0,18.0,year_round,RAW,28.24,16.5,55.26,165.599,fp:eb0facbead7c0156,done
HIXENV_P85_D2_W15_RAW,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,117437,39.0,13.0,year_round,RAW,26.62,16.2,57.18,115.07,fp:abc800336eed9d6a,done
HIXENV_P90_D2_W15_RAW,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,70965,23.0,8.0,year_round,RAW,24.37,15.56,60.07,69.535,fp:52effd63ce76d3fd,done
HIXENV_P95_D2_W15_RAW,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,31294,9.0,4.0,year_round,RAW,21.38,13.37,65.25,30.663,fp:fc2629993c0faa72,done
HIXENV_P975_D2_W15_RAW,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,13903,4.0,1.0,year_round,RAW,19.56,11.13,69.3,13.623,fp:c58846fc153b80f7,done
HIXENV_P80_D2_W15_CONFEXCL,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,169000,58.0,18.0,year_round,CONFEXCL,28.24,16.5,55.26,165.594,fp:7126a4487cfa6a6c,done
HIXENV_P85_D2_W15_CONFEXCL,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,117431,39.0,13.0,year_round,CONFEXCL,26.62,16.2,57.18,115.064,fp:4ab806197b343b57,done
HIXENV_P90_D2_W15_CONFEXCL,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,70959,23.0,8.0,year_round,CONFEXCL,24.37,15.56,60.06,69.529,fp:6cc398162229661e,done
HIXENV_P95_D2_W15_CONFEXCL,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,31288,9.0,4.0,year_round,CONFEXCL,21.39,13.37,65.25,30.657,fp:a106ea96337c8859,done
HIXENV_P975_D2_W15_CONFEXCL,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,13898,4.0,1.0,year_round,CONFEXCL,19.57,11.14,69.29,13.618,fp:1c011203dd47a6a1,done
HIXENV_P95_D2_W15_PROBEXCL,hixenv,sensitivity,daily_threshold_classification,consecutive_daily_exceedance_event,False,31104,9.0,4.0,year_round,PROBEXCL,21.51,13.45,65.04,30.48,fp:c9e36edcae7a5706,done
