construct_id,dropped_baseline_year,n_counties,threshold_full_sample_mean_f,threshold_leave_one_year_out_mean_f,threshold_max_abs_diff_f,threshold_leave_one_year_out_sd_f,candidate_day_change_count,final_classified_day_change_count,event_start_change_count,event_end_change_count,event_count_change,note
TMAX_P85_D3_W15,1979,3,85.836,85.8636,0.714,0.083233,7,6,5,7,-3,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1980,3,85.836,85.7917,0.828,0.124244,17,12,16,16,4,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1981,3,85.836,85.844,0.714,0.093425,7,4,6,6,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1982,3,85.836,85.8315,0.666,0.080959,5,3,4,6,1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1983,3,85.836,85.8846,0.8784,0.082758,6,5,5,5,-5,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1984,3,85.836,85.8631,0.636,0.079304,8,10,7,5,1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1985,3,85.836,85.8741,0.495,0.073755,5,4,5,9,-3,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1986,3,85.836,85.8585,0.8865,0.091527,5,5,3,5,-4,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1987,3,85.836,85.8606,0.6495,0.084278,7,6,6,8,-4,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1988,3,85.836,85.8453,0.609,0.081768,7,9,8,6,-3,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1989,3,85.836,85.8343,0.657,0.087449,7,9,8,6,2,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1990,3,85.836,85.8385,0.6683,0.082187,11,12,11,9,3,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1991,3,85.836,85.8781,0.6075,0.074208,10,8,10,10,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1992,3,85.836,85.8763,0.5085,0.078257,9,8,10,10,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1993,3,85.836,85.876,0.495,0.071823,2,3,1,1,-5,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1994,3,85.836,85.8489,0.4617,0.075333,8,10,4,6,1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1995,3,85.836,85.8394,1.1142,0.084824,9,7,6,10,0,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1996,3,85.836,85.8027,0.945,0.114993,10,13,8,12,5,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1997,3,85.836,85.8572,0.495,0.07501,9,12,7,7,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1998,3,85.836,85.7883,0.765,0.121954,16,18,10,13,6,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,1999,3,85.836,85.8053,0.7245,0.105936,5,3,1,3,0,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2000,3,85.836,85.7937,1.0192,0.123775,13,16,7,9,4,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2001,3,85.836,85.8663,0.4956,0.075445,10,12,7,9,1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2002,3,85.836,85.8482,0.63,0.085684,7,9,3,5,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2003,3,85.836,85.8365,0.702,0.083542,8,12,7,7,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2004,3,85.836,85.8612,0.72,0.086205,11,8,8,8,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2005,3,85.836,85.8085,0.8235,0.113572,11,19,10,12,7,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2006,3,85.836,85.799,0.6637,0.098353,10,10,9,11,8,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2007,3,85.836,85.8523,0.63,0.081853,5,6,6,6,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2008,3,85.836,85.8377,0.546,0.078857,10,14,10,12,4,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2009,3,85.836,85.8168,0.7605,0.107244,8,4,2,6,0,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2010,3,85.836,85.8496,0.5886,0.085085,5,5,5,10,0,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2011,3,85.836,85.7678,0.828,0.124805,24,23,13,23,11,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2012,3,85.836,85.8013,0.765,0.097427,5,3,5,9,10,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2013,3,85.836,85.8413,0.7485,0.081146,5,7,4,13,0,"zero change is an acceptable, reportable empirical result"
TMAX_P85_D3_W15,2014,3,85.836,85.8497,0.645,0.076448,12,13,10,10,2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1979,3,90.2951,90.3067,1.035,0.11098,2,1,0,1,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1980,3,90.2951,90.1963,2.3059,0.252932,6,1,2,0,6,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1981,3,90.2951,90.2962,1.7901,0.124051,2,0,0,0,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1982,3,90.2951,90.3052,0.6375,0.072797,4,6,2,1,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1983,3,90.2951,90.3267,0.6638,0.066326,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1984,3,90.2951,90.3274,0.9338,0.070423,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1985,3,90.2951,90.3228,1.1661,0.079658,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1986,3,90.2951,90.303,1.575,0.119193,2,2,1,0,0,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1987,3,90.2951,90.3024,1.2814,0.112713,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1988,3,90.2951,90.3135,0.9803,0.088371,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1989,3,90.2951,90.2692,1.7836,0.163709,2,2,1,0,0,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1990,3,90.2951,90.3172,0.6521,0.069091,2,2,1,0,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1991,3,90.2951,90.3233,0.726,0.067633,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1992,3,90.2951,90.3226,0.9603,0.069458,2,3,1,1,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1993,3,90.2951,90.3324,0.45,0.056012,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1994,3,90.2951,90.3045,1.0747,0.105832,5,7,2,2,2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1995,3,90.2951,90.2927,1.6215,0.111968,2,0,0,0,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1996,3,90.2951,90.2487,1.7764,0.183923,2,2,1,0,3,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1997,3,90.2951,90.307,1.041,0.095796,1,3,1,1,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1998,3,90.2951,90.2556,1.4051,0.150617,8,5,2,1,6,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,1999,3,90.2951,90.3045,1.053,0.082012,4,4,2,2,0,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2000,3,90.2951,90.2515,2.0239,0.188618,3,4,2,0,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2001,3,90.2951,90.3297,0.6863,0.060317,2,5,2,1,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2002,3,90.2951,90.3118,0.9068,0.087006,3,6,2,1,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2003,3,90.2951,90.3051,0.8611,0.084929,3,0,0,0,3,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2004,3,90.2951,90.3223,0.9465,0.078022,1,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2005,3,90.2951,90.2568,1.8731,0.164436,4,3,1,1,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2006,3,90.2951,90.2692,1.6215,0.138892,2,2,1,0,0,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2007,3,90.2951,90.314,0.9307,0.082079,3,6,2,1,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2008,3,90.2951,90.3108,1.4235,0.09032,1,2,1,0,0,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2009,3,90.2951,90.2841,1.4062,0.133682,4,4,1,1,5,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2010,3,90.2951,90.3155,0.8381,0.078759,2,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2011,3,90.2951,90.1981,1.971,0.251139,10,3,2,3,6,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2012,3,90.2951,90.2872,1.0136,0.114178,2,2,1,0,1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2013,3,90.2951,90.3079,0.9878,0.090497,2,2,1,0,-1,"zero change is an acceptable, reportable empirical result"
TMAX_P975_D3_W15,2014,3,90.2951,90.3123,0.993,0.096853,1,2,1,0,-2,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1979,3,89.3542,89.3597,1.0977,0.100115,6,6,3,8,-6,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1980,3,89.3542,89.3156,1.361,0.147672,3,1,2,3,1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1981,3,89.3542,89.324,1.6456,0.132944,6,5,4,6,1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1982,3,89.3542,89.3455,1.2234,0.088982,4,4,3,5,-1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1983,3,89.3542,89.3884,1.0977,0.093544,4,5,1,6,-7,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1984,3,89.3542,89.3924,1.2234,0.073807,3,4,1,5,-6,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1985,3,89.3542,89.386,1.0977,0.082337,4,4,1,4,-7,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1986,3,89.3542,89.372,1.0977,0.097671,4,4,2,6,-2,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1987,3,89.3542,89.3631,1.0977,0.10412,3,4,1,5,0,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1988,3,89.3542,89.3818,0.9292,0.076944,5,5,1,6,-6,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1989,3,89.3542,89.3447,1.2234,0.107858,3,4,1,4,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1990,3,89.3542,89.3662,1.0977,0.082409,2,2,0,3,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1991,3,89.3542,89.3732,1.3768,0.102333,4,4,1,4,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1992,3,89.3542,89.3811,0.9292,0.070681,2,2,0,4,-1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1993,3,89.3542,89.3927,1.1884,0.074106,1,2,1,1,-5,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1994,3,89.3542,89.3423,1.4364,0.109466,5,4,3,5,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1995,3,89.3542,89.331,1.2833,0.11077,4,3,1,3,0,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1996,3,89.3542,89.3293,1.5198,0.119983,3,4,1,4,0,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1997,3,89.3542,89.3491,1.6218,0.108787,5,6,3,6,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1998,3,89.3542,89.2864,1.7142,0.188479,14,13,7,11,3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,1999,3,89.3542,89.3361,1.0977,0.108681,3,3,1,2,-1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2000,3,89.3542,89.3086,1.0922,0.142922,5,4,1,4,3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2001,3,89.3542,89.3794,1.0977,0.078416,2,2,0,3,-4,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2002,3,89.3542,89.3562,1.0977,0.106191,5,5,3,7,1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2003,3,89.3542,89.3588,1.0977,0.09571,2,3,1,3,0,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2004,3,89.3542,89.3489,2.4274,0.184077,4,4,1,4,2,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2005,3,89.3542,89.3291,1.7732,0.123783,4,3,2,4,0,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2006,3,89.3542,89.3345,1.6991,0.124084,3,3,0,5,0,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2007,3,89.3542,89.3583,1.0977,0.090596,6,7,5,10,-5,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2008,3,89.3542,89.3566,1.9088,0.106292,4,4,1,4,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2009,3,89.3542,89.3421,1.4936,0.108341,3,3,2,5,-1,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2010,3,89.3542,89.38,1.0977,0.085216,2,3,1,2,-6,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2011,3,89.3542,89.3912,1.0977,0.073884,4,3,0,5,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2012,3,89.3542,89.3744,1.0977,0.092729,4,5,1,6,-2,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2013,3,89.3542,89.3869,1.0977,0.08724,3,4,1,5,-3,"zero change is an acceptable, reportable empirical result"
HIPROXY_P95_D2_W15_CONFEXCL,2014,3,89.3542,89.3869,1.0977,0.078839,4,3,0,5,-6,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1979,3,121.8223,121.8641,5.8044,0.443061,0,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1980,3,121.8223,121.447,14.1947,1.104777,1,0,0,0,0,"zero change is an acceptable, reportable empirical result"
