county_fips,county_name,station_id,network_prefix,network_type,name,latitude,longitude,tmax_first_date,tmax_last_date,tmax_n_obs,tmax_n_years,tmin_first_date,tmin_last_date,tmin_n_obs,tmin_n_years,first_year,last_year,spans_full_1979_2025,role
48201,Harris,USC00414328,USC,"COOP cooperative observer - often manual, variable observation time",HOUSTON SAN JACINTO DA,29.9167,-95.15,1979-05-01,1996-09-30,6030,18,1979-05-01,1996-09-29,5549,18,1979,1996,False,retired (exits mid-record)
48201,Harris,USW00012918,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",HOUSTON WILLIAM P HOBBY AP,29.6458,-95.2822,1979-01-01,2026-07-03,17310,48,1979-01-01,2026-07-03,17307,48,1979,2026,True,anchor (full-span airport)
48201,Harris,USW00012945,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",HOUSTON WB CITY,29.7667,-95.3667,1979-01-01,1990-08-31,4261,12,1979-01-01,1990-08-31,4261,12,1979,1990,False,retired (exits mid-record)
48201,Harris,USW00012960,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",HOUSTON INTERCONTINENTAL AP,29.9844,-95.3608,1979-01-01,2026-07-03,17351,48,1979-01-01,2026-07-03,17351,48,1979,2026,True,anchor (full-span airport)
48201,Harris,USC00414326,USC,"COOP cooperative observer - often manual, variable observation time",HOUSTON-PORT,29.7456,-95.28,1991-02-01,2013-07-25,7604,23,1991-02-01,2013-07-25,7533,23,1991,2013,False,intermittent/partial
48201,Harris,USW00053910,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",HOUSTON HOOKS MEM AP,30.0681,-95.5564,1998-01-01,2026-07-03,10346,29,1998-01-01,2026-07-03,10349,29,1998,2026,False,entrant (joins mid-record)
48201,Harris,USW00012906,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",HOUSTON ELLINGTON AFB,29.6167,-95.1667,2025-01-01,2026-07-03,515,2,2025-01-01,2026-07-03,520,2,2025,2026,False,entrant (joins mid-record)
48141,El Paso,USC00414931,USC,"COOP cooperative observer - often manual, variable observation time",LA TUNA 1 S,31.9836,-106.5914,1979-01-01,2012-09-30,10783,34,1979-01-01,2012-09-30,11236,34,1979,2012,False,retired (exits mid-record)
48141,El Paso,USC00419966,USC,"COOP cooperative observer - often manual, variable observation time",YSLETA,31.6953,-106.3217,1979-01-01,2009-09-30,10054,31,1979-01-01,2009-09-30,9869,31,1979,2009,False,retired (exits mid-record)
48141,El Paso,USW00023044,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",EL PASO INTL AP,31.8122,-106.3775,1979-01-01,2026-07-04,17346,48,1979-01-01,2026-07-04,17345,48,1979,2026,True,anchor (full-span airport)
48141,El Paso,USC00419088,USC,"COOP cooperative observer - often manual, variable observation time",TORNILLO 2 SSE,31.4019,-106.0569,1981-07-01,2026-04-30,15494,45,1981-07-01,2026-04-30,15517,45,1981,2026,False,entrant (joins mid-record)
48141,El Paso,USC00412793,USC,"COOP cooperative observer - often manual, variable observation time",EL PASO #2,31.8117,-106.3708,2001-08-01,2012-01-31,3372,12,2001-08-01,2012-01-31,3089,12,2001,2012,False,intermittent/partial
48141,El Paso,USW00023019,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",BIGGS AFB,31.8333,-106.4,2025-01-01,2026-07-03,536,2,2025-01-01,2026-07-03,536,2,2025,2026,False,entrant (joins mid-record)
48303,Lubbock,USW00023042,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",LUBBOCK,33.6542,-101.8142,1979-01-01,2026-07-04,17350,48,1979-01-01,2026-07-04,17350,48,1979,2026,True,anchor (full-span airport)
48303,Lubbock,USC00415409,USC,"COOP cooperative observer - often manual, variable observation time",LUBBOCK WFO,33.5281,-101.8761,2012-02-01,2026-07-04,5267,15,2012-02-01,2026-07-04,5268,15,2012,2026,False,entrant (joins mid-record)
48453,Travis,USW00013958,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",AUSTIN-CAMP MABRY,30.3208,-97.7603,1979-01-01,2026-07-04,17352,48,1979-01-01,2026-07-04,17352,48,1979,2026,True,anchor (full-span airport)
48453,Travis,USW00013904,USW,"ASOS/AWOS first-order (WBAN) - mostly airport, automated, ~local-midnight day",AUSTIN BERGSTROM INTL AP,30.1831,-97.68,1992-10-15,2026-07-04,11594,35,1992-10-15,2026-07-04,11536,35,1992,2026,False,entrant (joins mid-record)
48453,Travis,USC00410427,USC,"COOP cooperative observer - often manual, variable observation time",AUSTIN WTP,30.2806,-97.6536,1997-02-01,1997-07-31,170,1,1997-02-01,1997-07-31,170,1,1997,1997,False,intermittent/partial
48453,Travis,USR0000TBEL,USR,RAWS remote automated (interagency fire-weather),BALCONES TEXAS,30.5661,-98.0389,2000-05-30,2026-07-05,9412,27,2000-05-30,2026-07-05,9407,27,2000,2026,False,entrant (joins mid-record)
