county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days_imputed
48001,Anderson,2015,13,44,2015-01-28,2015-12-27,7,0
48001,Anderson,2016,21,81,2016-01-30,2016-12-28,11,0
48001,Anderson,2017,26,80,2017-01-01,2017-12-20,8,0
48001,Anderson,2018,16,57,2018-02-15,2018-10-08,8,0
48001,Anderson,2019,11,36,2019-01-07,2019-11-06,9,0
48001,Anderson,2020,16,43,2020-01-09,2020-12-29,5,0
48001,Anderson,2021,15,48,2021-01-24,2022-01-01,10,0
48001,Anderson,2022,13,46,2022-04-21,2022-12-11,7,0
48001,Anderson,2023,20,80,2023-01-01,2023-12-09,14,0
48001,Anderson,2024,18,68,2024-02-08,2024-12-17,13,0
48001,Anderson,2025,22,78,2025-01-29,2025-12-28,9,0
48003,Andrews,2015,13,42,2015-01-19,2015-12-12,6,2
48003,Andrews,2016,15,38,2016-01-30,2016-11-08,5,0
48003,Andrews,2017,18,62,2017-01-01,2017-12-05,9,0
48003,Andrews,2018,10,38,2018-02-15,2018-10-08,8,0
48003,Andrews,2019,16,45,2019-01-06,2019-12-25,7,2
48003,Andrews,2020,16,38,2020-01-14,2020-12-11,4,0
48003,Andrews,2021,16,51,2021-01-23,2021-12-29,8,0
48003,Andrews,2022,15,51,2022-03-27,2023-01-02,8,8
48003,Andrews,2023,17,69,2023-01-10,2023-12-08,10,0
48003,Andrews,2024,18,55,2024-02-01,2024-12-30,5,15
48003,Andrews,2025,16,59,2025-02-06,2025-12-28,8,1
48005,Angelina,2015,16,46,2015-03-19,2015-12-27,5,0
48005,Angelina,2016,22,76,2016-01-30,2016-12-28,6,0
48005,Angelina,2017,22,69,2017-01-01,2017-11-17,8,0
48005,Angelina,2018,18,64,2018-01-20,2018-11-07,8,0
48005,Angelina,2019,11,36,2019-01-07,2019-11-06,6,0
48005,Angelina,2020,17,58,2020-01-09,2020-12-30,6,0
48005,Angelina,2021,24,82,2021-01-21,2022-01-01,9,0
48005,Angelina,2022,22,75,2022-02-21,2023-01-03,8,0
48005,Angelina,2023,21,111,2023-01-10,2023-12-09,20,0
48005,Angelina,2024,25,103,2024-01-23,2024-12-17,12,0
48005,Angelina,2025,22,92,2025-01-29,2025-12-28,9,0
48007,Aransas,2015,11,32,2015-04-07,2015-12-26,4,0
48007,Aransas,2016,16,70,2016-01-31,2016-12-28,10,0
48007,Aransas,2017,28,101,2017-01-01,2017-12-04,13,0
48007,Aransas,2018,15,46,2018-02-15,2018-12-26,6,1
48007,Aransas,2019,15,57,2019-01-07,2019-10-10,7,0
48007,Aransas,2020,23,81,2020-01-09,2020-12-11,10,0
48007,Aransas,2021,20,61,2021-01-24,2022-01-01,9,0
48007,Aransas,2022,21,79,2022-02-21,2022-12-13,9,0
48007,Aransas,2023,25,129,2023-01-01,2023-12-23,19,0
48007,Aransas,2024,26,116,2024-02-09,2024-12-26,17,0
48007,Aransas,2025,26,120,2025-01-04,2025-12-28,13,0
48009,Archer,2015,11,32,2015-01-27,2015-12-24,5,32
48009,Archer,2016,15,45,2016-01-29,2016-12-28,5,11
48009,Archer,2017,19,54,2017-01-02,2017-12-04,7,17
48009,Archer,2018,9,32,2018-01-20,2018-10-08,8,32
48009,Archer,2019,8,25,2019-01-06,2019-12-28,6,25
48009,Archer,2020,11,24,2020-01-09,2020-12-11,3,24
48009,Archer,2021,12,43,2021-03-11,2021-12-31,9,43
48009,Archer,2022,11,40,2022-03-28,2022-12-13,6,40
48009,Archer,2023,17,60,2023-01-01,2023-12-24,6,60
48009,Archer,2024,24,68,2024-01-30,2024-12-30,7,68
48009,Archer,2025,15,60,2025-02-02,2025-12-28,10,60
48011,Armstrong,2015,22,78,2015-01-19,2015-12-24,8,78
48011,Armstrong,2016,23,78,2016-01-29,2016-12-25,7,78
48011,Armstrong,2017,21,72,2017-01-10,2017-12-04,8,72
48011,Armstrong,2018,18,67,2018-01-10,2018-10-06,9,67
48011,Armstrong,2019,19,75,2019-01-06,2019-12-27,13,75
48011,Armstrong,2020,19,70,2020-01-09,2020-12-11,10,70
48011,Armstrong,2021,20,62,2021-01-30,2021-12-29,6,62
48011,Armstrong,2022,22,92,2022-03-04,2022-12-29,9,92
48011,Armstrong,2023,28,105,2023-01-01,2023-12-23,11,105
48011,Armstrong,2024,26,114,2024-01-29,2024-12-31,15,114
48011,Armstrong,2025,25,92,2025-02-02,2025-12-28,9,92
48013,Atascosa,2015,10,32,2015-07-18,2015-12-12,7,0
48013,Atascosa,2016,12,40,2016-02-18,2016-12-28,7,0
48013,Atascosa,2017,23,72,2017-01-01,2017-12-05,7,0
48013,Atascosa,2018,9,30,2018-02-16,2018-11-07,7,0
48013,Atascosa,2019,15,64,2019-01-07,2019-12-28,11,0
48013,Atascosa,2020,20,70,2020-01-10,2020-12-30,8,0
48013,Atascosa,2021,23,85,2021-01-22,2022-01-01,8,0
48013,Atascosa,2022,23,81,2022-03-05,2022-12-13,8,0
48013,Atascosa,2023,22,89,2023-01-01,2023-12-24,11,0
48013,Atascosa,2024,21,70,2024-02-09,2024-12-25,8,2
48013,Atascosa,2025,11,52,2025-02-04,2025-12-28,9,0
48015,Austin,2015,12,38,2015-02-21,2015-12-27,5,6
48015,Austin,2016,21,66,2016-01-31,2016-12-29,6,10
48015,Austin,2017,27,80,2017-01-02,2017-12-20,7,2
48015,Austin,2018,14,45,2018-01-21,2018-12-01,8,5
48015,Austin,2019,13,43,2019-01-07,2019-11-07,9,12
48015,Austin,2020,12,37,2020-01-15,2020-12-31,5,8
48015,Austin,2021,16,49,2021-01-24,2022-01-01,9,8
48015,Austin,2022,21,74,2022-02-16,2022-12-30,12,7
48015,Austin,2023,23,103,2023-01-01,2023-11-09,17,24
48015,Austin,2024,20,85,2024-02-09,2024-12-17,11,49
48015,Austin,2025,20,80,2025-02-03,2025-12-28,9,29
48017,Bailey,2015,15,37,2015-01-19,2015-12-21,4,0
