county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,heatwave_days_imputed
48001,Anderson,2015,14,50,2015-01-28,2015-12-27,7,0
48001,Anderson,2016,18,75,2016-01-30,2017-01-02,11,0
48001,Anderson,2017,24,75,2017-01-10,2017-12-21,8,0
48001,Anderson,2018,18,57,2018-02-15,2018-11-30,6,0
48001,Anderson,2019,8,30,2019-01-07,2019-10-06,11,0
48001,Anderson,2020,20,53,2020-01-09,2020-12-30,5,0
48001,Anderson,2021,14,44,2021-01-24,2022-01-01,10,0
48001,Anderson,2022,11,39,2022-03-05,2023-01-03,7,0
48001,Anderson,2023,20,84,2023-01-10,2023-11-08,14,0
48001,Anderson,2024,18,68,2024-02-02,2024-12-28,14,0
48001,Anderson,2025,20,71,2025-01-29,2025-12-28,9,0
48003,Andrews,2015,14,42,2015-01-28,2015-12-24,6,1
48003,Andrews,2016,13,45,2016-01-30,2016-12-29,11,0
48003,Andrews,2017,18,56,2017-01-01,2017-12-22,11,0
48003,Andrews,2018,13,47,2018-01-09,2018-11-30,11,0
48003,Andrews,2019,14,40,2019-01-06,2019-12-25,7,2
48003,Andrews,2020,18,44,2020-01-14,2020-12-11,4,0
48003,Andrews,2021,19,58,2021-01-23,2021-12-29,8,0
48003,Andrews,2022,14,53,2022-03-27,2023-01-02,8,8
48003,Andrews,2023,21,75,2023-01-09,2023-12-21,10,0
48003,Andrews,2024,21,61,2024-02-01,2024-12-30,6,11
48003,Andrews,2025,16,52,2025-02-02,2025-12-28,8,1
48005,Angelina,2015,13,39,2015-03-31,2015-12-27,7,0
48005,Angelina,2016,21,74,2016-01-30,2016-12-28,6,0
48005,Angelina,2017,24,67,2017-01-01,2017-12-20,7,0
48005,Angelina,2018,18,59,2018-01-20,2018-11-07,7,0
48005,Angelina,2019,14,42,2019-01-07,2019-12-28,9,0
48005,Angelina,2020,16,57,2020-01-09,2020-12-30,6,0
48005,Angelina,2021,20,76,2021-01-24,2022-01-01,9,0
48005,Angelina,2022,18,69,2022-01-08,2023-01-03,8,0
