county_fips,county_name,year,valid_days_full_year,valid_days_in_junsep,heatwave_days_full_year,heatwave_days_in_junsep,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,definition_id,reference_method
48061,Cameron (Brownsville),2015,365,122,41,14,14,11.23,11.48,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2016,366,122,96,52,28,26.23,42.62,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2017,365,122,150,62,39,41.1,50.82,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2018,365,122,103,51,25,28.22,41.8,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2019,365,122,113,68,22,30.96,55.74,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2020,366,122,100,29,27,27.32,23.77,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2021,365,122,108,44,27,29.59,36.07,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2022,365,122,93,43,20,25.48,35.25,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2023,365,122,160,99,21,43.84,81.15,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2024,366,122,137,55,24,37.43,45.08,HI85_2D_FIXED7914,fixed_1979_2014
48061,Cameron (Brownsville),2025,365,122,127,49,23,34.79,40.16,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2015,365,122,0,0,0,0.0,0.0,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2016,366,122,5,0,2,1.37,0.0,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2017,365,122,40,7,11,10.96,5.74,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2018,365,122,24,3,8,6.58,2.46,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2019,365,122,21,13,8,5.75,10.66,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2020,366,122,59,27,17,16.12,22.13,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2021,365,122,25,14,7,6.85,11.48,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2022,365,122,36,16,13,9.86,13.11,HI85_2D_FIXED7914,fixed_1979_2014
48141,El Paso,2023,365,122,50,39,10,13.7,31.97,HI85_2D_FIXED7914,fixed_1979_2014
