county_fips,county_name,climate_division,year,valid_days_full_year,valid_days_in_junsep,candidate_exceedance_days,heatwave_days_full_year,heatwave_days_in_junsep,heatwave_days_flagged_suspicious,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,pct_valid_days_heatwave_PRIMARY,primary_denominator_basis,pct_candidate_removed_by_persistence,mean_event_duration,max_event_duration,mean_event_peak_hi_proxy,annual_peak_hi_proxy,annual_cumulative_exceedance,first_event_start,last_event_end,first_to_last_event_span_days,n_events_reaching_hi100,n_events_reaching_hi103,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48061,Cameron (Brownsville),Lower Valley (4110),2015,365,122,20,14,14,0,6,3.84,11.48,11.48,in_season_junsep,30.0,2.33,3,106.22,108.22,21.6,2015-06-13,2015-09-11,91,6,6,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2016,366,122,56,52,52,0,14,14.21,42.62,42.62,in_season_junsep,7.14,3.71,8,106.49,111.22,99.7,2016-06-12,2016-09-25,106,14,14,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2017,365,122,65,61,61,0,12,16.71,50.0,50.0,in_season_junsep,6.15,5.08,12,108.68,114.25,184.66,2017-06-04,2017-09-29,118,12,12,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2018,365,122,50,43,43,0,10,11.78,35.25,35.25,in_season_junsep,14.0,4.3,8,107.75,114.05,108.76,2018-06-01,2018-09-26,118,10,10,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2019,365,122,66,64,64,0,10,17.53,52.46,52.46,in_season_junsep,3.03,6.4,14,108.85,114.21,212.48,2019-06-06,2019-09-30,117,10,10,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2020,366,122,26,21,21,0,5,5.74,17.21,17.21,in_season_junsep,19.23,4.2,9,108.61,115.57,72.17,2020-06-08,2020-09-04,89,5,5,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2021,365,122,37,33,33,0,8,9.04,27.05,27.05,in_season_junsep,10.81,4.12,10,107.67,110.41,81.78,2021-06-07,2021-09-29,115,8,8,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2022,365,122,40,37,37,0,6,10.14,30.33,30.33,in_season_junsep,7.5,6.17,13,109.03,112.91,105.05,2022-06-10,2022-08-25,77,6,6,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2023,365,122,97,96,96,0,7,26.3,78.69,78.69,in_season_junsep,1.03,13.71,26,112.03,115.72,518.45,2023-06-09,2023-09-27,111,7,7,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2024,366,122,44,39,39,0,8,10.66,31.97,31.97,in_season_junsep,11.36,4.88,16,108.33,113.01,135.22,2024-06-01,2024-09-20,112,8,7,HI85_2D_JUNSEP,warm_season_heatwave,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,jun_sep,floor_hi_ge_80,80,2,>
