county_fips,county_name,climate_division,year,valid_days_full_year,valid_days_in_junsep,candidate_exceedance_days,heatwave_days_full_year,heatwave_days_in_junsep,heatwave_days_flagged_suspicious,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,pct_valid_days_heatwave_PRIMARY,primary_denominator_basis,pct_candidate_removed_by_persistence,mean_event_duration,max_event_duration,mean_event_peak_hi_proxy,annual_peak_hi_proxy,annual_cumulative_exceedance,first_event_start,last_event_end,first_to_last_event_span_days,n_events_reaching_hi100,n_events_reaching_hi103,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48061,Cameron (Brownsville),Lower Valley (4110),2015,365,122,50,41,14,0,14,11.23,11.48,11.23,full_year,18.0,2.93,7,98.18,108.22,116.59,2015-04-24,2015-12-27,248,7,6,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2016,366,122,116,96,52,0,28,26.23,42.62,26.23,full_year,17.24,3.43,8,99.55,111.22,215.78,2016-01-31,2016-12-28,333,16,14,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2017,365,122,158,149,61,0,40,40.82,50.0,40.82,full_year,5.7,3.72,12,95.94,114.25,468.81,2017-01-02,2017-12-22,355,17,14,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2018,365,122,114,92,43,0,23,25.21,35.25,25.21,full_year,19.3,4.0,13,98.72,114.05,241.57,2018-02-15,2018-11-08,267,10,10,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2019,365,122,123,103,64,0,23,28.22,52.46,28.22,full_year,16.26,4.48,14,99.15,114.21,309.13,2019-01-07,2019-12-16,344,14,10,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2020,366,122,106,84,21,0,22,22.95,17.21,22.95,full_year,20.75,3.82,10,95.58,115.57,250.15,2020-01-13,2020-12-30,353,6,5,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2021,365,122,103,90,33,0,23,24.66,27.05,24.66,full_year,12.62,3.96,10,96.26,110.41,225.22,2021-01-05,2021-12-31,361,9,8,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2022,365,122,91,79,37,0,16,21.64,30.33,21.64,full_year,13.19,4.88,13,99.0,112.91,212.83,2022-01-01,2022-12-13,347,8,7,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2023,364,122,160,151,96,0,21,41.48,78.69,41.48,full_year,5.63,7.19,26,97.85,115.72,679.33,2023-01-01,2023-11-09,313,8,7,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2024,366,122,126,110,39,0,22,30.05,31.97,30.05,full_year,12.7,5.0,30,97.21,113.01,380.1,2024-02-26,2024-12-31,310,9,8,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2025,365,122,120,111,38,0,19,30.41,31.15,30.41,full_year,7.5,5.84,14,100.83,113.64,370.57,2025-02-05,2025-12-28,327,10,9,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2015,365,122,2,0,0,0,0,0.0,0.0,0.0,full_year,100.0,,0,,,0.0,,,0,0,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2016,366,122,10,5,0,0,2,1.37,0.0,1.37,full_year,50.0,2.5,3,81.2,81.92,2.59,2016-10-26,2016-10-31,6,0,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2017,365,122,56,48,7,0,12,13.15,5.74,13.15,full_year,14.29,4.0,10,86.74,103.13,144.21,2017-02-10,2017-11-17,281,1,1,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2018,365,122,46,29,7,0,10,7.95,5.74,7.95,full_year,36.96,2.9,6,90.45,101.32,61.62,2018-03-21,2018-10-05,199,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2019,365,122,36,25,17,0,10,6.85,13.93,6.85,full_year,30.56,2.5,3,95.05,101.92,45.2,2019-03-26,2019-08-27,155,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2020,366,122,72,63,30,0,17,17.21,24.59,17.21,full_year,12.5,3.71,7,92.07,101.78,142.98,2020-03-25,2020-11-21,242,2,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2021,365,122,39,29,14,0,9,7.95,11.48,7.95,full_year,25.64,3.22,6,89.29,100.84,49.49,2021-03-08,2021-11-07,245,1,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2022,365,122,46,32,16,0,11,8.77,13.11,8.77,full_year,30.43,2.91,5,93.3,102.85,66.79,2022-03-26,2022-11-09,229,2,0,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2023,365,122,72,54,43,0,11,14.79,35.25,14.79,full_year,25.0,4.91,10,95.42,103.16,119.97,2023-04-11,2023-11-08,212,3,2,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
