event_id,county_fips,county_name,event_start_date,event_end_date,event_duration_days,peak_hi_proxy_f,mean_hi_proxy_f,peak_exceedance_f,cumulative_exceedance_f,definition_id,construct_label,reference_method
48_061_2015_001_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-04-24,2015-04-27,4.0,98.04901016600638,94.87073757480803,6.357376855686425,12.13342504629047,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_002_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-06-13,2015-06-14,2.0,104.0726882087968,103.94369800883118,1.8537583749125162,3.3661247473731493,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_003_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-07-17,2015-07-18,2.0,105.45578586719182,104.89262328074497,1.7700993602189783,2.569286472055637,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_004_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-08-14,2015-08-15,2.0,106.80578981807597,106.50381797196053,1.1257360460167405,1.6490323309602672,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_005_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-08-23,2015-08-25,3.0,107.46780706799922,106.67285926370819,2.0370333581422244,3.6769311466805163,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_006_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-09-06,2015-09-07,2.0,105.27351081052194,105.02222072355693,1.1996910448323632,2.114921660496748,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_007_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-09-09,2015-09-11,3.0,108.2173797429514,106.21739561507201,4.8766050087389345,8.22825773489275,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_008_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-10-12,2015-10-15,4.0,101.58313236622465,99.79372031732638,6.041804726967669,16.4747221541177,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_009_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-10-29,2015-10-30,2.0,93.4167852723063,92.89669201771616,2.548130049105538,4.456082687213822,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_010_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-11-05,2015-11-07,3.0,92.365414415229,91.85021898094608,4.010019385170125,10.000340385176884,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_011_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-11-11,2015-11-12,2.0,91.14497338620356,91.10172441296737,3.5570539420178733,7.066432710250552,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_012_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-11-16,2015-11-17,2.0,90.75646995484009,89.03832896765726,4.732637289253617,5.7398349029799505,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
48_061_2015_013_HI85_2D_FIXED7914,48061,Cameron (Brownsville),2015-12-10,2015-12-12,3.0,83.27962526102834,82.95534163819099,1.4981842292051226,4.0291350211233095,HI85_2D_FIXED7914,persistent_apparent_heat_anomaly,fixed_1979_2014
