event_id,county_fips,county_name,climate_division,event_start_date,event_end_date,event_duration_days,peak_hi_proxy_f,mean_hi_proxy_f,peak_exceedance_f,mean_exceedance_f,cumulative_exceedance_f,n_suspicious_days,n_days_hi_ge_95f,n_days_hi_ge_100f,n_days_hi_ge_103f,n_days_tmax_ge_95f,n_days_tmax_ge_100f,event_contains_suspicious_day,peak_day_qc_status,peak_hi_date,peak_exceedance_date,any_day_hi_ge_95f,any_day_hi_ge_100f,any_day_hi_ge_103f,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48_061_2015_001_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-04-24,2015-04-27,4,98.04901016600638,94.87073757480803,6.357376855686425,3.0333562615726137,12.133425046290455,0,2,0,0,0,0,False,valid,2015-04-25,2015-04-25,True,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_002_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-06-13,2015-06-14,2,104.0726882087968,103.94369800883118,1.8537583749125304,1.6830623736865888,3.3661247473731777,0,2,2,2,0,0,False,valid,2015-06-13,2015-06-13,True,True,True,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_003_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-07-17,2015-07-18,2,105.45578586719182,104.89262328074497,1.7700993602189783,1.2846432360278186,2.569286472055637,0,2,2,2,1,0,False,valid,2015-07-18,2015-07-18,True,True,True,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_004_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-08-14,2015-08-15,2,106.80578981807597,106.50381797196053,1.1257360460167405,0.8245161654801336,1.6490323309602672,0,2,2,2,2,0,False,valid,2015-08-14,2015-08-14,True,True,True,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_005_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-08-23,2015-08-25,3,107.46780706799922,106.67285926370819,2.0370333581422244,1.225643715560177,3.6769311466805306,0,3,3,3,1,0,False,valid,2015-08-24,2015-08-24,True,True,True,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_006_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-09-06,2015-09-07,2,105.27351081052194,105.02222072355693,1.1996910448323632,1.057460830248381,2.114921660496762,0,2,2,2,0,0,False,valid,2015-09-06,2015-09-06,True,True,True,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_007_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-09-09,2015-09-11,3,108.2173797429514,106.21739561507201,4.8766050087389345,2.7427525782975835,8.22825773489275,0,3,3,3,1,0,False,valid,2015-09-11,2015-09-11,True,True,True,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_008_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-10-12,2015-10-15,4,101.58313236622465,99.79372031732638,6.041804726967669,4.1186805385294285,16.474722154117714,0,4,2,0,0,0,False,valid,2015-10-14,2015-10-14,True,True,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_009_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-10-29,2015-10-30,2,93.4167852723063,92.89669201771616,2.548130049105538,2.228041343606911,4.456082687213822,0,0,0,0,0,0,False,valid,2015-10-29,2015-10-29,False,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_010_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-11-05,2015-11-07,3,92.365414415229,91.85021898094608,4.010019385170125,3.3334467950589612,10.000340385176884,0,0,0,0,0,0,False,valid,2015-11-07,2015-11-07,False,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_011_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-11-11,2015-11-12,2,91.14497338620356,91.10172441296737,3.5570539420178733,3.533216355125276,7.066432710250552,0,0,0,0,0,0,False,valid,2015-11-11,2015-11-12,False,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_012_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-11-16,2015-11-17,2,90.75646995484009,89.03832896765726,4.732637289253617,2.8699174514899752,5.7398349029799505,0,0,0,0,0,0,False,valid,2015-11-17,2015-11-17,False,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_013_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-12-10,2015-12-12,3,83.27962526102834,82.95534163819099,1.4981842292051226,1.343045007041103,4.0291350211233095,0,0,0,0,0,0,False,valid,2015-12-10,2015-12-10,False,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
48_061_2015_014_HI85_2D_TMAXFLOOR,48061,Cameron (Brownsville),Lower Valley (4110),2015-12-21,2015-12-27,7,86.59637304794981,84.38420899596902,7.266267786164093,5.0127370784688265,35.08915954928179,0,0,0,0,0,0,False,valid,2015-12-24,2015-12-24,False,False,False,HI85_2D_TMAXFLOOR,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,domain_tmax_ge_80,80,2,>
