county_fips,county_name,date,tmax_f,tmin_f,prcp_in,rmax_pct,rmin_pct,derived_tmax_rhmin_hi_proxy_f,qc_status,rh_pin_class,verification_basis,recommended_action,qc_tmax_lt_tmin,qc_rh_oob,qc_rmin_gt_rmax,qc_zero_diurnal_rh_range,qc_rh_pinned_at_100,qc_tiny_diurnal_temp_range,qc_hi_jump_unexplained_by_tmax,qc_rh_pin_likely_artifact,qc_rh_pin_likely_real_wet
48061,Cameron (Brownsville),2014-02-06,55.425714285714285,39.12285714285714,0.005511811023622,100.0,100.0,55.36828571428572,suspicious_retain,indeterminate,pinned but neither warm-dry nor wet (cold-dry or precip missing),manual_review,False,False,False,True,True,False,False,False,False
48061,Cameron (Brownsville),2014-02-11,52.79,39.965,0.0478065241844769,100.0,100.0,52.469,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48061,Cameron (Brownsville),2014-03-03,74.17999999999999,38.3,0.0050853018372703,100.0,100.0,75.998,suspicious_retain,indeterminate,pinned but neither warm-dry nor wet (cold-dry or precip missing),manual_review,False,False,False,True,True,False,False,False,False
48061,Cameron (Brownsville),2014-03-09,70.72571428571429,50.97714285714286,0.5893700787401576,100.0,100.0,72.19828571428572,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48061,Cameron (Brownsville),2015-02-23,71.69,43.31,0.0453484981044036,100.0,100.0,73.259,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48061,Cameron (Brownsville),2023-03-01,87.46571428571428,71.60000000000001,0.0,100.0,100.0,118.55271227437734,suspicious_retain,confirmed_artifact,precipitation~=0 + Tmax>=80F (warm dry -> saturation impossible),set_missing_or_correct,False,False,False,True,True,False,True,True,False
48061,Cameron (Brownsville),2023-03-02,90.01142857142858,72.32000000000001,0.0,99.71666,39.572414,90.55472139855506,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,False,True,False,False
48061,Cameron (Brownsville),2024-01-15,66.83,32.745714285714286,0.0489938757655293,100.0,100.0,67.913,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48061,Cameron (Brownsville),2026-07-06,,,,,53.96724,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48141,El Paso,2026-07-05,,,0.0,38.723446,10.437931,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48141,El Paso,2026-07-06,,,,,9.042758,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48201,Harris (Houston),1987-06-26,93.2,74.75,0.0,94.457375,43.28486,97.3621023010828,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,False,True,False,False
48201,Harris (Houston),1998-06-27,96.035,77.45,0.0442913385826771,96.332275,59.490437,115.76359632854982,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,False,True,False,False
48201,Harris (Houston),1998-12-23,36.275,34.745,0.0692257217847769,85.48207,69.268524,32.858120628,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,True,False,False,False
48201,Harris (Houston),2015-11-28,65.66,47.96,0.2584891732283464,100.0,100.0,66.62599999999999,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48201,Harris (Houston),2016-12-04,53.35999999999999,51.38,0.95994094488189,91.47331,83.51156,52.32104331999999,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,True,False,False,False
48201,Harris (Houston),2020-06-10,92.59999999999998,70.28,0.0079724409448818,81.78048,26.244223,90.12344661150064,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,False,True,False,False
48201,Harris (Houston),2023-03-01,85.33999999999999,71.66,0.0,100.0,100.0,109.02891800545196,suspicious_retain,confirmed_artifact,precipitation~=0 + Tmax>=80F (warm dry -> saturation impossible),set_missing_or_correct,False,False,False,True,True,False,True,True,False
48201,Harris (Houston),2026-07-04,,,0.1222261989978525,100.0,52.04462,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48201,Harris (Houston),2026-07-05,,,0.0,100.0,58.500397,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48201,Harris (Houston),2026-07-06,,,,,57.91992,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48303,Lubbock,1997-08-07,,59.0,0.4829396325459318,100.0,34.70889,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48303,Lubbock,2000-02-02,,23.0,0.0698818897637795,100.0,29.86222,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48303,Lubbock,2014-03-02,32.09,12.11,0.0006561679790026,100.0,100.0,29.699000000000005,suspicious_retain,indeterminate,pinned but neither warm-dry nor wet (cold-dry or precip missing),manual_review,False,False,False,True,True,False,False,False,False
48303,Lubbock,2014-11-16,40.55,18.05,0.0072178477690288,100.0,100.0,39.005,suspicious_retain,indeterminate,pinned but neither warm-dry nor wet (cold-dry or precip missing),manual_review,False,False,False,True,True,False,False,False,False
48303,Lubbock,2015-11-27,35.510000000000005,27.59,0.3193350831146107,100.0,100.0,33.461000000000006,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48303,Lubbock,2016-12-03,40.46,38.48,0.3727034120734908,93.23482,88.95629,38.38694563,suspicious_retain,not_applicable,n/a,n/a,False,False,False,False,False,True,False,False,False
48303,Lubbock,2017-01-14,33.98,31.46,0.0667416572928383,100.0,100.0,31.77799999999999,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48303,Lubbock,2019-11-07,57.02,32.0,0.6104073947278329,100.0,100.0,57.12200000000001,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48303,Lubbock,2023-10-28,53.06,40.55,0.0081364829396325,100.0,100.0,52.766000000000005,suspicious_retain,indeterminate,pinned but neither warm-dry nor wet (cold-dry or precip missing),manual_review,False,False,False,True,True,False,False,False,False
48303,Lubbock,2026-01-24,12.470000000000002,7.519999999999998,0.1553149606299212,100.0,100.0,8.117,suspicious_retain,likely_real_wet,precipitation>=0.01in (genuine wet-day saturation),retain,False,False,False,True,True,False,False,False,True
48303,Lubbock,2026-07-05,,,0.0,61.248886,12.561481,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
48303,Lubbock,2026-07-06,,,,,10.968148,,missing_input,not_applicable,n/a,n/a,False,False,False,False,False,False,False,False,False
